; Candidate 12173
; ADRP+ADD at VM 0xfffffff00904bb70 (fileoff 0x2047b70): page=0x1fe3fd000 add_imm=0xe9a

0xfffffff00904baf0: 9cbf1a91  add	x28, x28, #0x6af
0xfffffff00904baf4: fc0300f9  str	x28, [sp]
0xfffffff00904baf8: c01fffd0  adrp	x0, #0xfffffff007445000
0xfffffff00904bafc: 00400d91  add	x0, x0, #0x350
0xfffffff00904bb00: 2320ff90  adrp	x3, #0xfffffff00744f000
0xfffffff00904bb04: 63840791  add	x3, x3, #0x1e1
0xfffffff00904bb08: e10317aa  mov	x1, x23
0xfffffff00904bb0c: 02008052  mov	w2, #0
0xfffffff00904bb10: 889dcb97  bl	#0xfffffff008333130
0xfffffff00904bb14: e00315aa  mov	x0, x21
0xfffffff00904bb18: fa3f40f9  ldr	x26, [sp, #0x78]
0xfffffff00904bb1c: e1031aaa  mov	x1, x26
0xfffffff00904bb20: 94040094  bl	#0xfffffff00904cd70
0xfffffff00904bb24: e0031aaa  mov	x0, x26
0xfffffff00904bb28: 73330094  bl	#0xfffffff0090588f4
0xfffffff00904bb2c: 80003837  tbnz	w0, #7, #0xfffffff00904bb3c
0xfffffff00904bb30: e0031aaa  mov	x0, x26
0xfffffff00904bb34: 70330094  bl	#0xfffffff0090588f4
0xfffffff00904bb38: 80073036  tbz	w0, #6, #0xfffffff00904bc28
0xfffffff00904bb3c: e00315aa  mov	x0, x21
0xfffffff00904bb40: fa771e94  bl	#0xfffffff0097e9b28
0xfffffff00904bb44: 1f0c0071  cmp	w0, #3
0xfffffff00904bb48: a0000054  b.eq	#0xfffffff00904bb5c
0xfffffff00904bb4c: e00315aa  mov	x0, x21
0xfffffff00904bb50: f6771e94  bl	#0xfffffff0097e9b28
0xfffffff00904bb54: 1f080071  cmp	w0, #2
0xfffffff00904bb58: 81060054  b.ne	#0xfffffff00904bc28
0xfffffff00904bb5c: fc0300f9  str	x28, [sp]
0xfffffff00904bb60: e01fffd0  adrp	x0, #0xfffffff007449000
0xfffffff00904bb64: 00841c91  add	x0, x0, #0x721
0xfffffff00904bb68: 2e2dcc97  bl	#0xfffffff008357020
0xfffffff00904bb6c: fc0300f9  str	x28, [sp]
0xfffffff00904bb70: e01fffb0  adrp	x0, #0xfffffff007448000
0xfffffff00904bb74: 00683a91  add	x0, x0, #0xe9a
0xfffffff00904bb78: 2a2dcc97  bl	#0xfffffff008357020
0xfffffff00904bb7c: e0031aaa  mov	x0, x26
0xfffffff00904bb80: 5d330094  bl	#0xfffffff0090588f4
0xfffffff00904bb84: a08a02b9  str	w0, [x21, #0x288]
0xfffffff00904bb88: a03a41f9  ldr	x0, [x21, #0x270]
0xfffffff00904bb8c: 100040f9  ldr	x16, [x0]
0xfffffff00904bb90: f10300aa  mov	x17, x0
0xfffffff00904bb94: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00904bb98: 301ac1da  autda	x16, x17
0xfffffff00904bb9c: f10310aa  mov	x17, x16
0xfffffff00904bba0: f147c1da  xpacd	x17
0xfffffff00904bba4: 1f0211eb  cmp	x16, x17
0xfffffff00904bba8: 40000054  b.eq	#0xfffffff00904bbb0
0xfffffff00904bbac: 408e38d4  brk	#0xc472
0xfffffff00904bbb0: 08e20491  add	x8, x16, #0x138
0xfffffff00904bbb4: 099e40f9  ldr	x9, [x16, #0x138]
0xfffffff00904bbb8: f10308aa  mov	x17, x8
0xfffffff00904bbbc: 1174fff2  movk	x17, #0xfba0, lsl #48
0xfffffff00904bbc0: 31093fd7  blraa	x9, x17
0xfffffff00904bbc4: a03a41f9  ldr	x0, [x21, #0x270]
0xfffffff00904bbc8: 100040f9  ldr	x16, [x0]
0xfffffff00904bbcc: f10300aa  mov	x17, x0
0xfffffff00904bbd0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00904bbd4: 301ac1da  autda	x16, x17
0xfffffff00904bbd8: 080e4bf8  ldr	x8, [x16, #0xb0]!
0xfffffff00904bbdc: e90310aa  mov	x9, x16
0xfffffff00904bbe0: f10309aa  mov	x17, x9
0xfffffff00904bbe4: d162f3f2  movk	x17, #0x9b16, lsl #48
0xfffffff00904bbe8: 11093fd7  blraa	x8, x17
0xfffffff00904bbec: a03a41f9  ldr	x0, [x21, #0x270]
