; Candidate 6221
; ADRP+ADD at VM 0xfffffff00881b3ac (fileoff 0x18173ac): page=0x1fe9ce000 add_imm=0xe80

0xfffffff00881b32c: c9458152  mov	w9, #0xa2e
0xfffffff00881b330: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00881b334: 2850ff90  adrp	x8, #0xfffffff00721f000
0xfffffff00881b338: 08911491  add	x8, x8, #0x524
0xfffffff00881b33c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00881b340: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00881b344: 880e8052  mov	w8, #0x74
0xfffffff00881b348: 2050ff90  adrp	x0, #0xfffffff00721f000
0xfffffff00881b34c: 00bc1d91  add	x0, x0, #0x76f
0xfffffff00881b350: f2feff17  b	#0xfffffff00881af18
0xfffffff00881b354: 96630294  bl	#0xfffffff0088b41ac
0xfffffff00881b358: f90300aa  mov	x25, x0
0xfffffff00881b35c: 80008052  mov	w0, #4
0xfffffff00881b360: 3c810194  bl	#0xfffffff00887b850
0xfffffff00881b364: e80318aa  mov	x8, x24
0xfffffff00881b368: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff00881b36c: f7a305a9  stp	x23, x8, [sp, #0x58]
0xfffffff00881b370: e80316aa  mov	x8, x22
0xfffffff00881b374: e8d704a9  stp	x8, x21, [sp, #0x48]
0xfffffff00881b378: e9d303a9  stp	x9, x20, [sp, #0x38]
0xfffffff00881b37c: a84fffb0  adrp	x8, #0xfffffff007210000
0xfffffff00881b380: 08b92791  add	x8, x8, #0x9ee
0xfffffff00881b384: e9448152  mov	w9, #0xa27
0xfffffff00881b388: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00881b38c: 2850ff90  adrp	x8, #0xfffffff00721f000
0xfffffff00881b390: 08911491  add	x8, x8, #0x524
0xfffffff00881b394: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00881b398: 880e8052  mov	w8, #0x74
0xfffffff00881b39c: 6351ffd0  adrp	x3, #0xfffffff007249000
0xfffffff00881b3a0: 63541f91  add	x3, x3, #0x7d5
0xfffffff00881b3a4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00881b3a8: f90300f9  str	x25, [sp]
0xfffffff00881b3ac: 604effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00881b3b0: 00003a91  add	x0, x0, #0xe80
0xfffffff00881b3b4: 618fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00881b3b8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881b3bc: 02008052  mov	w2, #0
0xfffffff00881b3c0: 5c5fec97  bl	#0xfffffff008333130
0xfffffff00881b3c4: 3efbff17  b	#0xfffffff00881a0bc
0xfffffff00881b3c8: 602240f9  ldr	x0, [x19, #0x40]
0xfffffff00881b3cc: 61e240b9  ldr	w1, [x19, #0xe0]
0xfffffff00881b3d0: 251aff97  bl	#0xfffffff0087e1c64
0xfffffff00881b3d4: a0070034  cbz	w0, #0xfffffff00881b4c8
0xfffffff00881b3d8: f80300aa  mov	x24, x0
0xfffffff00881b3dc: 800e8052  mov	w0, #0x74
0xfffffff00881b3e0: 81008052  mov	w1, #4
0xfffffff00881b3e4: fb800194  bl	#0xfffffff00887b7d0
0xfffffff00881b3e8: a066ff34  cbz	w0, #0xfffffff00881a0bc
0xfffffff00881b3ec: 800e8052  mov	w0, #0x74
0xfffffff00881b3f0: 0a810194  bl	#0xfffffff00887b818
0xfffffff00881b3f4: fa0300aa  mov	x26, x0
0xfffffff00881b3f8: 6d630294  bl	#0xfffffff0088b41ac
0xfffffff00881b3fc: f90300aa  mov	x25, x0
0xfffffff00881b400: 80008052  mov	w0, #4
0xfffffff00881b404: 13810194  bl	#0xfffffff00887b850
0xfffffff00881b408: 7a0b0034  cbz	w26, #0xfffffff00881b574
0xfffffff00881b40c: e80318aa  mov	x8, x24
0xfffffff00881b410: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff00881b414: f7a305a9  stp	x23, x8, [sp, #0x58]
0xfffffff00881b418: e80316aa  mov	x8, x22
0xfffffff00881b41c: e8d704a9  stp	x8, x21, [sp, #0x48]
0xfffffff00881b420: e9d303a9  stp	x9, x20, [sp, #0x38]
0xfffffff00881b424: a84fffb0  adrp	x8, #0xfffffff007210000
0xfffffff00881b428: 08b92791  add	x8, x8, #0x9ee
