; Candidate 9163
; ADRP+ADD at VM 0xfffffff008a05ab4 (fileoff 0x1a01ab4): page=0x1fe894000 add_imm=0xe40

0xfffffff008a05a34: ff030191  add	sp, sp, #0x40
0xfffffff008a05a38: ff0f5fd6  retab	
0xfffffff008a05a3c: 54588052  mov	w20, #0x2c2
0xfffffff008a05a40: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff008a05a44: 700240f9  ldr	x16, [x19]
0xfffffff008a05a48: f10313aa  mov	x17, x19
0xfffffff008a05a4c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a05a50: 301ac1da  autda	x16, x17
0xfffffff008a05a54: 113d80d2  mov	x17, #0x1e8
0xfffffff008a05a58: 1002118b  add	x16, x16, x17
0xfffffff008a05a5c: 080240f9  ldr	x8, [x16]
0xfffffff008a05a60: e90310aa  mov	x9, x16
0xfffffff008a05a64: e00313aa  mov	x0, x19
0xfffffff008a05a68: f10309aa  mov	x17, x9
0xfffffff008a05a6c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a05a70: 11093fd7  blraa	x8, x17
0xfffffff008a05a74: 700240f9  ldr	x16, [x19]
0xfffffff008a05a78: f10313aa  mov	x17, x19
0xfffffff008a05a7c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a05a80: 301ac1da  autda	x16, x17
0xfffffff008a05a84: 113d80d2  mov	x17, #0x1e8
0xfffffff008a05a88: 1002118b  add	x16, x16, x17
0xfffffff008a05a8c: 080240f9  ldr	x8, [x16]
0xfffffff008a05a90: e90310aa  mov	x9, x16
0xfffffff008a05a94: e00313aa  mov	x0, x19
0xfffffff008a05a98: 010080d2  mov	x1, #0
0xfffffff008a05a9c: f10309aa  mov	x17, x9
0xfffffff008a05aa0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a05aa4: 11093fd7  blraa	x8, x17
0xfffffff008a05aa8: b544ffb0  adrp	x21, #0xfffffff00729a000
0xfffffff008a05aac: b5621d91  add	x21, x21, #0x758
0xfffffff008a05ab0: e05700a9  stp	x0, x21, [sp]
0xfffffff008a05ab4: a044ff90  adrp	x0, #0xfffffff007299000
0xfffffff008a05ab8: 00003991  add	x0, x0, #0xe40
0xfffffff008a05abc: 2182ffd0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a05ac0: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a05ac4: c344ffb0  adrp	x3, #0xfffffff00729e000
0xfffffff008a05ac8: 634c2091  add	x3, x3, #0x813
0xfffffff008a05acc: 02028052  mov	w2, #0x10
0xfffffff008a05ad0: 98b5e497  bl	#0xfffffff008333130
0xfffffff008a05ad4: 700240f9  ldr	x16, [x19]
0xfffffff008a05ad8: f10313aa  mov	x17, x19
0xfffffff008a05adc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a05ae0: 301ac1da  autda	x16, x17
0xfffffff008a05ae4: f10310aa  mov	x17, x16
0xfffffff008a05ae8: f147c1da  xpacd	x17
0xfffffff008a05aec: 1f0211eb  cmp	x16, x17
0xfffffff008a05af0: 40000054  b.eq	#0xfffffff008a05af8
0xfffffff008a05af4: 408e38d4  brk	#0xc472
0xfffffff008a05af8: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a05afc: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a05b00: e00313aa  mov	x0, x19
0xfffffff008a05b04: 010080d2  mov	x1, #0
0xfffffff008a05b08: f10308aa  mov	x17, x8
0xfffffff008a05b0c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a05b10: 31093fd7  blraa	x9, x17
0xfffffff008a05b14: e05700a9  stp	x0, x21, [sp]
0xfffffff008a05b18: a044ffb0  adrp	x0, #0xfffffff00729a000
0xfffffff008a05b1c: 00bc1d91  add	x0, x0, #0x76f
0xfffffff008a05b20: 4045e597  bl	#0xfffffff008357020
0xfffffff008a05b24: c0ffff17  b	#0xfffffff008a05a24
0xfffffff008a05b28: 700240f9  ldr	x16, [x19]
0xfffffff008a05b2c: f10313aa  mov	x17, x19
0xfffffff008a05b30: 31b4f9f2  movk	x17, #0xcda1, lsl #48
