; Candidate 13036
; ADRP+ADD at VM 0xfffffff0091d93b8 (fileoff 0x21d53b8): page=0x1fe2c4000 add_imm=0xd0b

0xfffffff0091d9338: 4a553c91  add	x10, x10, #0xf15
0xfffffff0091d933c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff0091d9340: e02b00a9  stp	x0, x10, [sp]
0xfffffff0091d9344: 2016ff90  adrp	x0, #0xfffffff00749d000
0xfffffff0091d9348: 00783391  add	x0, x0, #0xcde
0xfffffff0091d934c: 4578af97  bl	#0xfffffff007db7460
0xfffffff0091d9350: ffc30091  add	sp, sp, #0x30
0xfffffff0091d9354: 68ca40f9  ldr	x8, [x19, #0x190]
0xfffffff0091d9358: 158900b9  str	w21, [x8, #0x88]
0xfffffff0091d935c: 47ffff17  b	#0xfffffff0091d9078
0xfffffff0091d9360: 2016ff90  adrp	x0, #0xfffffff00749d000
0xfffffff0091d9364: 002c3491  add	x0, x0, #0xd0b
0xfffffff0091d9368: ffc300d1  sub	sp, sp, #0x30
0xfffffff0091d936c: 48308052  mov	w8, #0x182
0xfffffff0091d9370: 2916ff90  adrp	x9, #0xfffffff00749d000
0xfffffff0091d9374: 29993591  add	x9, x9, #0xd66
0xfffffff0091d9378: e81300f9  str	x8, [sp, #0x20]
0xfffffff0091d937c: 2816ff90  adrp	x8, #0xfffffff00749d000
0xfffffff0091d9380: 08d93991  add	x8, x8, #0xe76
0xfffffff0091d9384: 2a16ff90  adrp	x10, #0xfffffff00749d000
0xfffffff0091d9388: 4a353991  add	x10, x10, #0xe4d
0xfffffff0091d938c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff0091d9390: e02b00a9  stp	x0, x10, [sp]
0xfffffff0091d9394: 2016ff90  adrp	x0, #0xfffffff00749d000
0xfffffff0091d9398: 00783391  add	x0, x0, #0xcde
0xfffffff0091d939c: 3178af97  bl	#0xfffffff007db7460
0xfffffff0091d93a0: ffc30091  add	sp, sp, #0x30
0xfffffff0091d93a4: 68ca40f9  ldr	x8, [x19, #0x190]
0xfffffff0091d93a8: 895a8052  mov	w9, #0x2d4
0xfffffff0091d93ac: 0900bc72  movk	w9, #0xe000, lsl #16
0xfffffff0091d93b0: 098900b9  str	w9, [x8, #0x88]
0xfffffff0091d93b4: 31ffff17  b	#0xfffffff0091d9078
0xfffffff0091d93b8: 2016ff90  adrp	x0, #0xfffffff00749d000
0xfffffff0091d93bc: 002c3491  add	x0, x0, #0xd0b
0xfffffff0091d93c0: ffc300d1  sub	sp, sp, #0x30
0xfffffff0091d93c4: 08348052  mov	w8, #0x1a0
0xfffffff0091d93c8: 2916ff90  adrp	x9, #0xfffffff00749d000
0xfffffff0091d93cc: 29993591  add	x9, x9, #0xd66
0xfffffff0091d93d0: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0091d93d4: 2816ff90  adrp	x8, #0xfffffff00749d000
0xfffffff0091d93d8: 08413d91  add	x8, x8, #0xf50
0xfffffff0091d93dc: 2a16ff90  adrp	x10, #0xfffffff00749d000
0xfffffff0091d93e0: 4af13c91  add	x10, x10, #0xf3c
0xfffffff0091d93e4: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff0091d93e8: e00300f9  str	x0, [sp]
0xfffffff0091d93ec: 2016ff90  adrp	x0, #0xfffffff00749d000
0xfffffff0091d93f0: 00783391  add	x0, x0, #0xcde
0xfffffff0091d93f4: 1b78af97  bl	#0xfffffff007db7460
0xfffffff0091d93f8: ffc30091  add	sp, sp, #0x30
0xfffffff0091d93fc: 68ca40f9  ldr	x8, [x19, #0x190]
0xfffffff0091d9400: 895a8052  mov	w9, #0x2d4
0xfffffff0091d9404: 0900bc72  movk	w9, #0xe000, lsl #16
0xfffffff0091d9408: 295d0051  sub	w9, w9, #0x17
0xfffffff0091d940c: 098900b9  str	w9, [x8, #0x88]
0xfffffff0091d9410: ff020091  mov	sp, x23
0xfffffff0091d9414: 19ffff17  b	#0xfffffff0091d9078
0xfffffff0091d9418: 8d12ae97  bl	#0xfffffff007d5de4c
0xfffffff0091d941c: 7f2303d5  pacibsp	
0xfffffff0091d9420: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0091d9424: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0091d9428: fd430091  add	x29, sp, #0x10
0xfffffff0091d942c: f30301aa  mov	x19, x1
0xfffffff0091d9430: f40300aa  mov	x20, x0
0xfffffff0091d9434: 282446a9  ldp	x8, x9, [x1, #0x60]
