; Candidate 7983
; ADRP+ADD at VM 0xfffffff00888c0a8 (fileoff 0x18880a8): page=0x1fe9a2000 add_imm=0xe78

0xfffffff00888c028: f44f4aa9  ldp	x20, x19, [sp, #0xa0]
0xfffffff00888c02c: f65749a9  ldp	x22, x21, [sp, #0x90]
0xfffffff00888c030: f85f48a9  ldp	x24, x23, [sp, #0x80]
0xfffffff00888c034: fa6747a9  ldp	x26, x25, [sp, #0x70]
0xfffffff00888c038: ff030391  add	sp, sp, #0xc0
0xfffffff00888c03c: ff0f5fd6  retab	
0xfffffff00888c040: 80098052  mov	w0, #0x4c
0xfffffff00888c044: 81008052  mov	w1, #4
0xfffffff00888c048: e2bdff97  bl	#0xfffffff00887b7d0
0xfffffff00888c04c: a00b0034  cbz	w0, #0xfffffff00888c1c0
0xfffffff00888c050: 80098052  mov	w0, #0x4c
0xfffffff00888c054: f1bdff97  bl	#0xfffffff00887b818
0xfffffff00888c058: f50300aa  mov	x21, x0
0xfffffff00888c05c: 54a00094  bl	#0xfffffff0088b41ac
0xfffffff00888c060: f40300aa  mov	x20, x0
0xfffffff00888c064: 80008052  mov	w0, #4
0xfffffff00888c068: fabdff97  bl	#0xfffffff00887b850
0xfffffff00888c06c: 76620091  add	x22, x19, #0x18
0xfffffff00888c070: 55070034  cbz	w21, #0xfffffff00888c158
0xfffffff00888c074: 688e40f9  ldr	x8, [x19, #0x118]
0xfffffff00888c078: 094dffd0  adrp	x9, #0xfffffff00722e000
0xfffffff00888c07c: 29f53a91  add	x9, x9, #0xebd
0xfffffff00888c080: f62304a9  stp	x22, x8, [sp, #0x40]
0xfffffff00888c084: e94f03a9  stp	x9, x19, [sp, #0x30]
0xfffffff00888c088: 88a68052  mov	w8, #0x534
0xfffffff00888c08c: 094dffd0  adrp	x9, #0xfffffff00722e000
0xfffffff00888c090: 29853891  add	x9, x9, #0xe21
0xfffffff00888c094: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00888c098: 084dfff0  adrp	x8, #0xfffffff00722f000
0xfffffff00888c09c: 087d0391  add	x8, x8, #0xdf
0xfffffff00888c0a0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00888c0a4: 88098052  mov	w8, #0x4c
0xfffffff00888c0a8: 004dffd0  adrp	x0, #0xfffffff00722e000
0xfffffff00888c0ac: 00e03991  add	x0, x0, #0xe78
0xfffffff00888c0b0: f42300a9  stp	x20, x8, [sp]
0xfffffff00888c0b4: ebacd497  bl	#0xfffffff007db7460
0xfffffff00888c0b8: 42000014  b	#0xfffffff00888c1c0
0xfffffff00888c0bc: 180080d2  mov	x24, #0
0xfffffff00888c0c0: 602e40f9  ldr	x0, [x19, #0x58]
0xfffffff00888c0c4: e3d54894  bl	#0xfffffff009ac1850
0xfffffff00888c0c8: abefff97  bl	#0xfffffff008887f74
0xfffffff00888c0cc: e0010034  cbz	w0, #0xfffffff00888c108
0xfffffff00888c0d0: d60000b4  cbz	x22, #0xfffffff00888c0e8
0xfffffff00888c0d4: 602e40f9  ldr	x0, [x19, #0x58]
0xfffffff00888c0d8: 01008052  mov	w1, #0
0xfffffff00888c0dc: 4ad64894  bl	#0xfffffff009ac1a04
0xfffffff00888c0e0: 0843208b  add	x8, x24, w0, uxtw
0xfffffff00888c0e4: c80200f9  str	x8, [x22]
0xfffffff00888c0e8: 950100b4  cbz	x21, #0xfffffff00888c118
0xfffffff00888c0ec: ff0a0071  cmp	w23, #2
0xfffffff00888c0f0: 0b010054  b.lt	#0xfffffff00888c110
0xfffffff00888c0f4: 602e40f9  ldr	x0, [x19, #0x58]
0xfffffff00888c0f8: 21008052  mov	w1, #1
0xfffffff00888c0fc: 42d64894  bl	#0xfffffff009ac1a04
0xfffffff00888c100: 0843208b  add	x8, x24, w0, uxtw
0xfffffff00888c104: 04000014  b	#0xfffffff00888c114
0xfffffff00888c108: 207d8012  mov	w0, #-0x3ea
0xfffffff00888c10c: c6ffff17  b	#0xfffffff00888c024
0xfffffff00888c110: 080080d2  mov	x8, #0
0xfffffff00888c114: a80200f9  str	x8, [x21]
0xfffffff00888c118: 740100b4  cbz	x20, #0xfffffff00888c144
0xfffffff00888c11c: ff0a0071  cmp	w23, #2
0xfffffff00888c120: 6b010054  b.lt	#0xfffffff00888c14c
0xfffffff00888c124: 602e40f9  ldr	x0, [x19, #0x58]
