; Candidate 9322
; ADRP+ADD at VM 0xfffffff008a263c0 (fileoff 0x1a223c0): page=0x1fe873000 add_imm=0xe40

0xfffffff008a26340: 40000054  b.eq	#0xfffffff008a26348
0xfffffff008a26344: 408e38d4  brk	#0xc472
0xfffffff008a26348: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a2634c: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a26350: e00313aa  mov	x0, x19
0xfffffff008a26354: 010080d2  mov	x1, #0
0xfffffff008a26358: f10308aa  mov	x17, x8
0xfffffff008a2635c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a26360: 31093fd7  blraa	x9, x17
0xfffffff008a26364: f5d300a9  stp	x21, x20, [sp, #8]
0xfffffff008a26368: e00300f9  str	x0, [sp]
0xfffffff008a2636c: a043ffd0  adrp	x0, #0xfffffff00729c000
0xfffffff008a26370: 00303791  add	x0, x0, #0xdcc
0xfffffff008a26374: 2bc3e497  bl	#0xfffffff008357020
0xfffffff008a26378: bcffff17  b	#0xfffffff008a26268
0xfffffff008a2637c: 7f2303d5  pacibsp	
0xfffffff008a26380: ff4301d1  sub	sp, sp, #0x50
0xfffffff008a26384: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff008a26388: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008a2638c: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008a26390: fd030191  add	x29, sp, #0x40
0xfffffff008a26394: f50301aa  mov	x21, x1
0xfffffff008a26398: f30300aa  mov	x19, x0
0xfffffff008a2639c: 00ec40f9  ldr	x0, [x0, #0x1d8]
0xfffffff008a263a0: 54c5e497  bl	#0xfffffff0083578f0
0xfffffff008a263a4: e00313aa  mov	x0, x19
0xfffffff008a263a8: 21128052  mov	w1, #0x91
0xfffffff008a263ac: 02008052  mov	w2, #0
0xfffffff008a263b0: d8feff97  bl	#0xfffffff008a25f10
0xfffffff008a263b4: f40300aa  mov	x20, x0
0xfffffff008a263b8: f603002a  mov	w22, w0
0xfffffff008a263bc: f60300f9  str	x22, [sp]
0xfffffff008a263c0: 8043fff0  adrp	x0, #0xfffffff007299000
0xfffffff008a263c4: 00003991  add	x0, x0, #0xe40
0xfffffff008a263c8: 2181ffb0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a263cc: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a263d0: c343ffd0  adrp	x3, #0xfffffff0072a0000
0xfffffff008a263d4: 63b00e91  add	x3, x3, #0x3ac
0xfffffff008a263d8: 02028052  mov	w2, #0x10
0xfffffff008a263dc: 5533e497  bl	#0xfffffff008333130
0xfffffff008a263e0: f60300f9  str	x22, [sp]
0xfffffff008a263e4: a043ffd0  adrp	x0, #0xfffffff00729c000
0xfffffff008a263e8: 00bc3791  add	x0, x0, #0xdef
0xfffffff008a263ec: 0dc3e497  bl	#0xfffffff008357020
0xfffffff008a263f0: 68424739  ldrb	w8, [x19, #0x1d0]
0xfffffff008a263f4: b5000034  cbz	w21, #0xfffffff008a26408
0xfffffff008a263f8: 54001036  tbz	w20, #2, #0xfffffff008a26400
0xfffffff008a263fc: a8001037  tbnz	w8, #2, #0xfffffff008a26410
0xfffffff008a26400: 08011e32  orr	w8, w8, #4
0xfffffff008a26404: 06000014  b	#0xfffffff008a2641c
0xfffffff008a26408: 94001037  tbnz	w20, #2, #0xfffffff008a26418
0xfffffff008a2640c: 68001037  tbnz	w8, #2, #0xfffffff008a26418
0xfffffff008a26410: 15008052  mov	w21, #0
0xfffffff008a26414: 0b000014  b	#0xfffffff008a26440
0xfffffff008a26418: 08791d12  and	w8, w8, #0xfffffffb
0xfffffff008a2641c: 68420739  strb	w8, [x19, #0x1d0]
0xfffffff008a26420: 0801142a  orr	w8, w8, w20
0xfffffff008a26424: 021d0012  and	w2, w8, #0xff
0xfffffff008a26428: e00313aa  mov	x0, x19
0xfffffff008a2642c: 21148052  mov	w1, #0xa1
0xfffffff008a26430: 03008052  mov	w3, #0
0xfffffff008a26434: 30feff97  bl	#0xfffffff008a25cf4
0xfffffff008a26438: 15008052  mov	w21, #0
0xfffffff008a2643c: 20010035  cbnz	w0, #0xfffffff008a26460
