; Candidate 15922
; ADRP+ADD at VM 0xfffffff009de7a8c (fileoff 0x2de3a8c): page=0x5d7000 add_imm=0xd00

0xfffffff009de7a0c: 21601e91  add	x1, x1, #0x798
0xfffffff009de7a10: 300c48f8  ldr	x16, [x1, #0x80]!
0xfffffff009de7a14: e00313aa  mov	x0, x19
0xfffffff009de7a18: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009de7a1c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009de7a20: ff2303d5  autibsp	
0xfffffff009de7a24: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff009de7a28: 5100f0b6  tbz	x17, #0x3e, #0xfffffff009de7a30
0xfffffff009de7a2c: 208e38d4  brk	#0xc471
0xfffffff009de7a30: f10301aa  mov	x17, x1
0xfffffff009de7a34: b1b8fdf2  movk	x17, #0xedc5, lsl #48
0xfffffff009de7a38: 110a1fd7  braa	x16, x17
0xfffffff009de7a3c: 5f2403d5  bti	c
0xfffffff009de7a40: 006440f9  ldr	x0, [x0, #0xc8]
0xfffffff009de7a44: c0035fd6  ret	
0xfffffff009de7a48: 5f2403d5  bti	c
0xfffffff009de7a4c: 2af39317  b	#0xfffffff0082e46f4
0xfffffff009de7a50: 7f2303d5  pacibsp	
0xfffffff009de7a54: ffc300d1  sub	sp, sp, #0x30
0xfffffff009de7a58: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009de7a5c: fd830091  add	x29, sp, #0x20
0xfffffff009de7a60: a8068052  mov	w8, #0x35
0xfffffff009de7a64: a9c5fe90  adrp	x9, #0xfffffff00769b000
0xfffffff009de7a68: 29110691  add	x9, x9, #0x184
0xfffffff009de7a6c: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009de7a70: e00300f9  str	x0, [sp]
0xfffffff009de7a74: a0c5fe90  adrp	x0, #0xfffffff00769b000
0xfffffff009de7a78: 00e00591  add	x0, x0, #0x178
0xfffffff009de7a7c: a4b29a97  bl	#0xfffffff00849450c
0xfffffff009de7a80: 7f2303d5  pacibsp	
0xfffffff009de7a84: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009de7a88: fd030091  mov	x29, sp
0xfffffff009de7a8c: a02e00f0  adrp	x0, #0xfffffff00a3be000
0xfffffff009de7a90: 00003491  add	x0, x0, #0xd00
0xfffffff009de7a94: c1c5feb0  adrp	x1, #0xfffffff0076a0000
0xfffffff009de7a98: 21a80891  add	x1, x1, #0x22a
0xfffffff009de7a9c: c22e0090  adrp	x2, #0xfffffff00a3bf000
0xfffffff009de7aa0: 42400191  add	x2, x2, #0x50
0xfffffff009de7aa4: 03268052  mov	w3, #0x130
0xfffffff009de7aa8: 24f09397  bl	#0xfffffff0082e3b38
0xfffffff009de7aac: f0f9feb0  adrp	x16, #0xfffffff007d24000
0xfffffff009de7ab0: 10a22191  add	x16, x16, #0x868
0xfffffff009de7ab4: 10420091  add	x16, x16, #0x10
0xfffffff009de7ab8: f10300aa  mov	x17, x0
0xfffffff009de7abc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009de7ac0: 300ac1da  pacda	x16, x17
0xfffffff009de7ac4: 100000f9  str	x16, [x0]
0xfffffff009de7ac8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009de7acc: ff0f5fd6  retab	
0xfffffff009de7ad0: 5f2403d5  bti	c
0xfffffff009de7ad4: a02e00f0  adrp	x0, #0xfffffff00a3be000
0xfffffff009de7ad8: 00003491  add	x0, x0, #0xd00
0xfffffff009de7adc: 06f39317  b	#0xfffffff0082e46f4
0xfffffff009de7ae0: e00300f9  str	x0, [sp]
0xfffffff009de7ae4: e00308aa  mov	x0, x8
0xfffffff009de7ae8: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009de7aec: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009de7af4
0xfffffff009de7af0: 208e38d4  brk	#0xc471
0xfffffff009de7af4: 86b29a17  b	#0xfffffff00849450c
0xfffffff009de7af8: 7f2303d5  pacibsp	
0xfffffff009de7afc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009de7b00: fd030091  mov	x29, sp
0xfffffff009de7b04: c1c5feb0  adrp	x1, #0xfffffff0076a0000
0xfffffff009de7b08: 21681691  add	x1, x1, #0x59a
