; Candidate 10710
; ADRP+ADD at VM 0xfffffff008de3e60 (fileoff 0x1ddfe60): page=0x1fe5e1000 add_imm=0xd54

0xfffffff008de3de0: 519081d2  mov	x17, #0xc82
0xfffffff008de3de4: b10a3fd7  blraa	x21, x17
0xfffffff008de3de8: 40100035  cbnz	w0, #0xfffffff008de3ff0
0xfffffff008de3dec: f51740f9  ldr	x21, [sp, #0x28]
0xfffffff008de3df0: e02effd0  adrp	x0, #0xfffffff0073c1000
0xfffffff008de3df4: 00c00a91  add	x0, x0, #0x2b0
0xfffffff008de3df8: e32effd0  adrp	x3, #0xfffffff0073c1000
0xfffffff008de3dfc: 63480d91  add	x3, x3, #0x352
0xfffffff008de3e00: e52efff0  adrp	x5, #0xfffffff0073c2000
0xfffffff008de3e04: a5580c91  add	x5, x5, #0x316
0xfffffff008de3e08: e10314aa  mov	x1, x20
0xfffffff008de3e0c: e20315aa  mov	x2, x21
0xfffffff008de3e10: a4c88052  mov	w4, #0x645
0xfffffff008de3e14: ad0b0094  bl	#0xfffffff008de6cc8
0xfffffff008de3e18: e00314aa  mov	x0, x20
0xfffffff008de3e1c: e10315aa  mov	x1, x21
0xfffffff008de3e20: 530b0094  bl	#0xfffffff008de6b6c
0xfffffff008de3e24: 7f020071  cmp	w19, #0
0xfffffff008de3e28: c8088052  mov	w8, #0x46
0xfffffff008de3e2c: 49018052  mov	w9, #0xa
0xfffffff008de3e30: 2801881a  csel	w8, w9, w8, eq
0xfffffff008de3e34: f42effd0  adrp	x20, #0xfffffff0073c1000
0xfffffff008de3e38: 949e0c91  add	x20, x20, #0x327
0xfffffff008de3e3c: e9a80090  adrp	x9, #0xfffffff00a2ff000
0xfffffff008de3e40: 29412c91  add	x9, x9, #0xb10
0xfffffff008de3e44: 29014039  ldrb	w9, [x9]
0xfffffff008de3e48: 1f01096b  cmp	w8, w9
0xfffffff008de3e4c: 03010054  b.lo	#0xfffffff008de3e6c
0xfffffff008de3e50: e80313aa  mov	x8, x19
0xfffffff008de3e54: 087d4093  sxtw	x8, w8
0xfffffff008de3e58: f46f00a9  stp	x20, x27, [sp]
0xfffffff008de3e5c: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008de3e60: 002fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de3e64: 00503591  add	x0, x0, #0xd54
0xfffffff008de3e68: 6eccd597  bl	#0xfffffff008357020
0xfffffff008de3e6c: e00313aa  mov	x0, x19
0xfffffff008de3e70: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff008de3e74: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff008de3e78: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff008de3e7c: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff008de3e80: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff008de3e84: fc6f43a9  ldp	x28, x27, [sp, #0x30]
0xfffffff008de3e88: ff430291  add	sp, sp, #0x90
0xfffffff008de3e8c: ff0f5fd6  retab	
0xfffffff008de3e90: 08c68052  mov	w8, #0x630
0xfffffff008de3e94: e92effd0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de3e98: 29490d91  add	x9, x9, #0x352
0xfffffff008de3e9c: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de3ea0: 082fffb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de3ea4: 08493991  add	x8, x8, #0xe52
0xfffffff008de3ea8: ea2effd0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de3eac: 4ab51491  add	x10, x10, #0x52d
0xfffffff008de3eb0: 12000014  b	#0xfffffff008de3ef8
0xfffffff008de3eb4: 28c68052  mov	w8, #0x631
0xfffffff008de3eb8: e92effd0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de3ebc: 29490d91  add	x9, x9, #0x352
0xfffffff008de3ec0: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de3ec4: 082fffb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de3ec8: 08493991  add	x8, x8, #0xe52
0xfffffff008de3ecc: ea2effd0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de3ed0: 4add1491  add	x10, x10, #0x537
0xfffffff008de3ed4: 09000014  b	#0xfffffff008de3ef8
0xfffffff008de3ed8: 48c68052  mov	w8, #0x632
0xfffffff008de3edc: e92effd0  adrp	x9, #0xfffffff0073c1000
