; Candidate 3024
; ADRP+ADD at VM 0xfffffff008709804 (fileoff 0x1705804): page=0x1fea28000 add_imm=0xd90

0xfffffff008709784: 41070011  add	w1, w26, #1
0xfffffff008709788: 700240f9  ldr	x16, [x19]
0xfffffff00870978c: f10313aa  mov	x17, x19
0xfffffff008709790: f136f8f2  movk	x17, #0xc1b7, lsl #48
0xfffffff008709794: 301ac1da  autda	x16, x17
0xfffffff008709798: 080e44f8  ldr	x8, [x16, #0x40]!
0xfffffff00870979c: e90310aa  mov	x9, x16
0xfffffff0087097a0: e00313aa  mov	x0, x19
0xfffffff0087097a4: a24356b8  ldur	w2, [x29, #-0x9c]
0xfffffff0087097a8: f10309aa  mov	x17, x9
0xfffffff0087097ac: 71d7fef2  movk	x17, #0xf6bb, lsl #48
0xfffffff0087097b0: 11093fd7  blraa	x8, x17
0xfffffff0087097b4: ff7b00b9  str	wzr, [sp, #0x78]
0xfffffff0087097b8: f57f40b9  ldr	w21, [sp, #0x7c]
0xfffffff0087097bc: a80357f8  ldur	x8, [x29, #-0x90]
0xfffffff0087097c0: 1c0940f9  ldr	x28, [x8, #0x10]
0xfffffff0087097c4: a88356f8  ldur	x8, [x29, #-0x98]
0xfffffff0087097c8: 0941388b  add	x9, x8, w24, uxtw
0xfffffff0087097cc: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff0087097d0: c90300b4  cbz	x9, #0xfffffff008709848
0xfffffff0087097d4: 69c98052  mov	w9, #0x64b
0xfffffff0087097d8: 2852ffd0  adrp	x8, #0xfffffff00714f000
0xfffffff0087097dc: 08b90a91  add	x8, x8, #0x2ae
0xfffffff0087097e0: e82700a9  stp	x8, x9, [sp]
0xfffffff0087097e4: f77700b9  str	w23, [sp, #0x74]
0xfffffff0087097e8: f70315aa  mov	x23, x21
0xfffffff0087097ec: f50313aa  mov	x21, x19
0xfffffff0087097f0: f3031aaa  mov	x19, x26
0xfffffff0087097f4: fa031baa  mov	x26, x27
0xfffffff0087097f8: fb0316aa  mov	x27, x22
0xfffffff0087097fc: f60318aa  mov	x22, x24
0xfffffff008709800: f80300aa  mov	x24, x0
0xfffffff008709804: 4051ff90  adrp	x0, #0xfffffff007131000
0xfffffff008709808: 00403691  add	x0, x0, #0xd90
0xfffffff00870980c: a197ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008709810: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008709814: 02008052  mov	w2, #0
0xfffffff008709818: 6351ffb0  adrp	x3, #0xfffffff007136000
0xfffffff00870981c: 63983691  add	x3, x3, #0xda6
0xfffffff008709820: 44a6f097  bl	#0xfffffff008333130
0xfffffff008709824: e00318aa  mov	x0, x24
0xfffffff008709828: f80316aa  mov	x24, x22
0xfffffff00870982c: f6031baa  mov	x22, x27
0xfffffff008709830: fb031aaa  mov	x27, x26
0xfffffff008709834: fa0313aa  mov	x26, x19
0xfffffff008709838: f30315aa  mov	x19, x21
0xfffffff00870983c: f50317aa  mov	x21, x23
0xfffffff008709840: f77740b9  ldr	w23, [sp, #0x74]
0xfffffff008709844: a88356f8  ldur	x8, [x29, #-0x98]
0xfffffff008709848: 0803080b  add	w8, w24, w8
0xfffffff00870984c: 880308ab  adds	x8, x28, x8
0xfffffff008709850: a21c0054  b.hs	#0xfffffff008709be4
0xfffffff008709854: 28df0229  stp	w8, w23, [x25, #0x14]
0xfffffff008709858: f802180b  add	w24, w23, w24
0xfffffff00870985c: 57070011  add	w23, w26, #1
0xfffffff008709860: e8a340b9  ldr	w8, [sp, #0xa0]
0xfffffff008709864: ff02086b  cmp	w23, w8
0xfffffff008709868: fc0300aa  mov	x28, x0
0xfffffff00870986c: 42020054  b.hs	#0xfffffff0087098b4
0xfffffff008709870: 700240f9  ldr	x16, [x19]
0xfffffff008709874: f10313aa  mov	x17, x19
0xfffffff008709878: f136f8f2  movk	x17, #0xc1b7, lsl #48
0xfffffff00870987c: 301ac1da  autda	x16, x17
0xfffffff008709880: 080e44f8  ldr	x8, [x16, #0x40]!
