; Candidate 9215
; ADRP+ADD at VM 0xfffffff008a0d298 (fileoff 0x1a09298): page=0x1fe88c000 add_imm=0xe40

0xfffffff008a0d218: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a0d21c: 301ac1da  autda	x16, x17
0xfffffff008a0d220: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008a0d224: e90310aa  mov	x9, x16
0xfffffff008a0d228: e00313aa  mov	x0, x19
0xfffffff008a0d22c: f10309aa  mov	x17, x9
0xfffffff008a0d230: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008a0d234: 11093fd7  blraa	x8, x17
0xfffffff008a0d238: 130080d2  mov	x19, #0
0xfffffff008a0d23c: e00313aa  mov	x0, x19
0xfffffff008a0d240: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008a0d244: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008a0d248: ffc30091  add	sp, sp, #0x30
0xfffffff008a0d24c: ff0f5fd6  retab	
0xfffffff008a0d250: 7344ffd0  adrp	x19, #0xfffffff00729b000
0xfffffff008a0d254: 73461091  add	x19, x19, #0x411
0xfffffff008a0d258: f30300f9  str	x19, [sp]
0xfffffff008a0d25c: 6044ff90  adrp	x0, #0xfffffff007299000
0xfffffff008a0d260: 00003991  add	x0, x0, #0xe40
0xfffffff008a0d264: e181ffd0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a0d268: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a0d26c: 8344ffd0  adrp	x3, #0xfffffff00729f000
0xfffffff008a0d270: 63180991  add	x3, x3, #0x246
0xfffffff008a0d274: 02028052  mov	w2, #0x10
0xfffffff008a0d278: ae97e497  bl	#0xfffffff008333130
0xfffffff008a0d27c: f30300f9  str	x19, [sp]
0xfffffff008a0d280: 6044ffd0  adrp	x0, #0xfffffff00729b000
0xfffffff008a0d284: 00cc1191  add	x0, x0, #0x473
0xfffffff008a0d288: 0f000014  b	#0xfffffff008a0d2c4
0xfffffff008a0d28c: 7344ffd0  adrp	x19, #0xfffffff00729b000
0xfffffff008a0d290: 73461091  add	x19, x19, #0x411
0xfffffff008a0d294: f30300f9  str	x19, [sp]
0xfffffff008a0d298: 6044ff90  adrp	x0, #0xfffffff007299000
0xfffffff008a0d29c: 00003991  add	x0, x0, #0xe40
0xfffffff008a0d2a0: e181ffd0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a0d2a4: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a0d2a8: 8344ffd0  adrp	x3, #0xfffffff00729f000
0xfffffff008a0d2ac: 63a00991  add	x3, x3, #0x268
0xfffffff008a0d2b0: 02028052  mov	w2, #0x10
0xfffffff008a0d2b4: 9f97e497  bl	#0xfffffff008333130
0xfffffff008a0d2b8: f30300f9  str	x19, [sp]
0xfffffff008a0d2bc: 6044ffd0  adrp	x0, #0xfffffff00729b000
0xfffffff008a0d2c0: 00581291  add	x0, x0, #0x496
0xfffffff008a0d2c4: 5727e597  bl	#0xfffffff008357020
0xfffffff008a0d2c8: dcffff17  b	#0xfffffff008a0d238
0xfffffff008a0d2cc: 7f2303d5  pacibsp	
0xfffffff008a0d2d0: ff0301d1  sub	sp, sp, #0x40
0xfffffff008a0d2d4: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff008a0d2d8: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008a0d2dc: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008a0d2e0: fdc30091  add	x29, sp, #0x30
0xfffffff008a0d2e4: f50301aa  mov	x21, x1
0xfffffff008a0d2e8: f30300aa  mov	x19, x0
0xfffffff008a0d2ec: ff1f0079  strh	wzr, [sp, #0xe]
0xfffffff008a0d2f0: e881ffd0  adrp	x8, #0xfffffff007a4b000
0xfffffff008a0d2f4: 084546f9  ldr	x8, [x8, #0xc88]
0xfffffff008a0d2f8: 098d47f8  ldr	x9, [x8, #0x78]!
0xfffffff008a0d2fc: f10308aa  mov	x17, x8
0xfffffff008a0d300: 514de9f2  movk	x17, #0x4a6a, lsl #48
0xfffffff008a0d304: 31093fd7  blraa	x9, x17
0xfffffff008a0d308: f40300aa  mov	x20, x0
0xfffffff008a0d30c: c0010034  cbz	w0, #0xfffffff008a0d344
0xfffffff008a0d310: 750000b4  cbz	x21, #0xfffffff008a0d31c
0xfffffff008a0d314: a8024079  ldrh	w8, [x21]
