; Candidate 2299
; ADRP+ADD at VM 0xfffffff00860c734 (fileoff 0x1608734): page=0x1ccb000 add_imm=0xec8

0xfffffff00860c6b4: 1002118b  add	x16, x16, x17
0xfffffff00860c6b8: 080240f9  ldr	x8, [x16]
0xfffffff00860c6bc: e30310aa  mov	x3, x16
0xfffffff00860c6c0: f00308aa  mov	x16, x8
0xfffffff00860c6c4: f10303aa  mov	x17, x3
0xfffffff00860c6c8: 915cecf2  movk	x17, #0x62e4, lsl #48
0xfffffff00860c6cc: 110a1fd7  braa	x16, x17
0xfffffff00860c6d0: 5f2403d5  bti	c
0xfffffff00860c6d4: 08e04f39  ldrb	w8, [x0, #0x3f8]
0xfffffff00860c6d8: 09a00f91  add	x9, x0, #0x3e8
0xfffffff00860c6dc: 1f010071  cmp	w8, #0
0xfffffff00860c6e0: e003899a  csel	x0, xzr, x9, eq
0xfffffff00860c6e4: c0035fd6  ret	
0xfffffff00860c6e8: 5f2403d5  bti	c
0xfffffff00860c6ec: 00008052  mov	w0, #0
0xfffffff00860c6f0: c0035fd6  ret	
0xfffffff00860c6f4: 5f2403d5  bti	c
0xfffffff00860c6f8: 00008052  mov	w0, #0
0xfffffff00860c6fc: c0035fd6  ret	
0xfffffff00860c700: 5f2403d5  bti	c
0xfffffff00860c704: 00008052  mov	w0, #0
0xfffffff00860c708: c0035fd6  ret	
0xfffffff00860c70c: 5f2403d5  bti	c
0xfffffff00860c710: c0035fd6  ret	
0xfffffff00860c714: 5f2403d5  bti	c
0xfffffff00860c718: c0035fd6  ret	
0xfffffff00860c71c: 5f2403d5  bti	c
0xfffffff00860c720: 004002d1  sub	x0, x0, #0x90
0xfffffff00860c724: c0035fd6  ret	
0xfffffff00860c728: 7f2303d5  pacibsp	
0xfffffff00860c72c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00860c730: fd030091  mov	x29, sp
0xfffffff00860c734: 40e600f0  adrp	x0, #0xfffffff00a2d7000
0xfffffff00860c738: 00203b91  add	x0, x0, #0xec8
0xfffffff00860c73c: a157ff90  adrp	x1, #0xfffffff007100000
0xfffffff00860c740: 21140591  add	x1, x1, #0x145
0xfffffff00860c744: 42e600f0  adrp	x2, #0xfffffff00a2d7000
0xfffffff00860c748: 42a02e91  add	x2, x2, #0xba8
0xfffffff00860c74c: 03828052  mov	w3, #0x410
0xfffffff00860c750: fa5cf397  bl	#0xfffffff0082e3b38
0xfffffff00860c754: 109effd0  adrp	x16, #0xfffffff0079ce000
0xfffffff00860c758: 10a21491  add	x16, x16, #0x528
0xfffffff00860c75c: 10420091  add	x16, x16, #0x10
0xfffffff00860c760: f10300aa  mov	x17, x0
0xfffffff00860c764: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00860c768: 300ac1da  pacda	x16, x17
0xfffffff00860c76c: 100000f9  str	x16, [x0]
0xfffffff00860c770: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00860c774: ff0f5fd6  retab	
0xfffffff00860c778: 5f2403d5  bti	c
0xfffffff00860c77c: 40e600f0  adrp	x0, #0xfffffff00a2d7000
0xfffffff00860c780: 00203b91  add	x0, x0, #0xec8
0xfffffff00860c784: dc5ff317  b	#0xfffffff0082e46f4
0xfffffff00860c788: 7f2303d5  pacibsp	
0xfffffff00860c78c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00860c790: fd030091  mov	x29, sp
0xfffffff00860c794: a157ff90  adrp	x1, #0xfffffff007100000
0xfffffff00860c798: 21fc0891  add	x1, x1, #0x23f
0xfffffff00860c79c: 829dfff0  adrp	x2, #0xfffffff0079bf000
0xfffffff00860c7a0: 42a442f9  ldr	x2, [x2, #0x548]
0xfffffff00860c7a4: 03198052  mov	w3, #0xc8
0xfffffff00860c7a8: e45cf397  bl	#0xfffffff0082e3b38
0xfffffff00860c7ac: 109effd0  adrp	x16, #0xfffffff0079ce000
0xfffffff00860c7b0: 10822e91  add	x16, x16, #0xba0
