; Candidate 5510
; ADRP+ADD at VM 0xfffffff0087f52fc (fileoff 0x17f12fc): page=0x1fea20000 add_imm=0xcf7

0xfffffff0087f527c: a34302d1  sub	x3, x29, #0x90
0xfffffff0087f5280: e00317aa  mov	x0, x23
0xfffffff0087f5284: 040080d2  mov	x4, #0
0xfffffff0087f5288: 935f0294  bl	#0xfffffff00888d0d4
0xfffffff0087f528c: 5c000014  b	#0xfffffff0087f53fc
0xfffffff0087f5290: e00e8052  mov	w0, #0x77
0xfffffff0087f5294: 81008052  mov	w1, #4
0xfffffff0087f5298: 4e190294  bl	#0xfffffff00887b7d0
0xfffffff0087f529c: c0210034  cbz	w0, #0xfffffff0087f56d4
0xfffffff0087f52a0: e00e8052  mov	w0, #0x77
0xfffffff0087f52a4: 5d190294  bl	#0xfffffff00887b818
0xfffffff0087f52a8: f60300aa  mov	x22, x0
0xfffffff0087f52ac: c0fb0294  bl	#0xfffffff0088b41ac
0xfffffff0087f52b0: f50300aa  mov	x21, x0
0xfffffff0087f52b4: 80008052  mov	w0, #4
0xfffffff0087f52b8: 66190294  bl	#0xfffffff00887b850
0xfffffff0087f52bc: 16100034  cbz	w22, #0xfffffff0087f54bc
0xfffffff0087f52c0: 880658f9  ldr	x8, [x20, #0x3008]
0xfffffff0087f52c4: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff0087f52c8: 0a5b40b9  ldr	w10, [x24, #0x58]
0xfffffff0087f52cc: 8b1a70b9  ldr	w11, [x20, #0x3018]
0xfffffff0087f52d0: e82f05a9  stp	x8, x11, [sp, #0x50]
0xfffffff0087f52d4: f82b04a9  stp	x24, x10, [sp, #0x40]
0xfffffff0087f52d8: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff0087f52dc: 0851ff90  adrp	x8, #0xfffffff007215000
0xfffffff0087f52e0: 08893591  add	x8, x8, #0xd62
0xfffffff0087f52e4: 295b8052  mov	w9, #0x2d9
0xfffffff0087f52e8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087f52ec: 0851ff90  adrp	x8, #0xfffffff007215000
0xfffffff0087f52f0: 08213591  add	x8, x8, #0xd48
0xfffffff0087f52f4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f52f8: e80e8052  mov	w8, #0x77
0xfffffff0087f52fc: 0051ff90  adrp	x0, #0xfffffff007215000
0xfffffff0087f5300: 00dc3391  add	x0, x0, #0xcf7
0xfffffff0087f5304: f52300a9  stp	x21, x8, [sp]
0xfffffff0087f5308: 6b000014  b	#0xfffffff0087f54b4
0xfffffff0087f530c: e00e8052  mov	w0, #0x77
0xfffffff0087f5310: 81008052  mov	w1, #4
0xfffffff0087f5314: 2f190294  bl	#0xfffffff00887b7d0
0xfffffff0087f5318: e01d0034  cbz	w0, #0xfffffff0087f56d4
0xfffffff0087f531c: e00e8052  mov	w0, #0x77
0xfffffff0087f5320: 3e190294  bl	#0xfffffff00887b818
0xfffffff0087f5324: f50300aa  mov	x21, x0
0xfffffff0087f5328: a1fb0294  bl	#0xfffffff0088b41ac
0xfffffff0087f532c: f40300aa  mov	x20, x0
0xfffffff0087f5330: 80008052  mov	w0, #4
0xfffffff0087f5334: 47190294  bl	#0xfffffff00887b850
0xfffffff0087f5338: 75160034  cbz	w21, #0xfffffff0087f5604
0xfffffff0087f533c: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff0087f5340: 095b40b9  ldr	w9, [x24, #0x58]
0xfffffff0087f5344: e9ff04a9  stp	x9, xzr, [sp, #0x48]
0xfffffff0087f5348: e8e303a9  stp	x8, x24, [sp, #0x38]
0xfffffff0087f534c: e850ff90  adrp	x8, #0xfffffff007211000
0xfffffff0087f5350: 089d2c91  add	x8, x8, #0xb27
0xfffffff0087f5354: a95d8052  mov	w9, #0x2ed
0xfffffff0087f5358: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087f535c: 0851ff90  adrp	x8, #0xfffffff007215000
0xfffffff0087f5360: 08213591  add	x8, x8, #0xd48
0xfffffff0087f5364: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f5368: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087f536c: e80e8052  mov	w8, #0x77
0xfffffff0087f5370: 0051ff90  adrp	x0, #0xfffffff007215000
0xfffffff0087f5374: 002c3891  add	x0, x0, #0xe0b
0xfffffff0087f5378: 4e000014  b	#0xfffffff0087f54b0
