; Candidate 10917
; ADRP+ADD at VM 0xfffffff008decd00 (fileoff 0x1de8d00): page=0x1fe5d8000 add_imm=0xe15

0xfffffff008decc80: 4acd1d91  add	x10, x10, #0x773
0xfffffff008decc84: 2b000014  b	#0xfffffff008decd30
0xfffffff008decc88: e8328152  mov	w8, #0x997
0xfffffff008decc8c: a92effd0  adrp	x9, #0xfffffff0073c2000
0xfffffff008decc90: 29e92e91  add	x9, x9, #0xbba
0xfffffff008decc94: e81300f9  str	x8, [sp, #0x20]
0xfffffff008decc98: c82eff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008decc9c: 08493991  add	x8, x8, #0xe52
0xfffffff008decca0: aa2effd0  adrp	x10, #0xfffffff0073c2000
0xfffffff008decca4: 4aad3291  add	x10, x10, #0xcab
0xfffffff008decca8: 22000014  b	#0xfffffff008decd30
0xfffffff008deccac: 08338152  mov	w8, #0x998
0xfffffff008deccb0: a92effd0  adrp	x9, #0xfffffff0073c2000
0xfffffff008deccb4: 29e92e91  add	x9, x9, #0xbba
0xfffffff008deccb8: e81300f9  str	x8, [sp, #0x20]
0xfffffff008deccbc: c82eff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008deccc0: 08493991  add	x8, x8, #0xe52
0xfffffff008deccc4: aa2effd0  adrp	x10, #0xfffffff0073c2000
0xfffffff008deccc8: 4a713091  add	x10, x10, #0xc1c
0xfffffff008decccc: 19000014  b	#0xfffffff008decd30
0xfffffff008deccd0: f50300aa  mov	x21, x0
0xfffffff008deccd4: a87e4093  sxtw	x8, w21
0xfffffff008deccd8: 89338152  mov	w9, #0x99c
0xfffffff008deccdc: aa2effd0  adrp	x10, #0xfffffff0073c2000
0xfffffff008decce0: 4ae92e91  add	x10, x10, #0xbba
0xfffffff008decce4: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008decce8: c92eff90  adrp	x9, #0xfffffff0073c4000
0xfffffff008deccec: 29493991  add	x9, x9, #0xe52
0xfffffff008deccf0: cb2eff90  adrp	x11, #0xfffffff0073c4000
0xfffffff008deccf4: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008deccf8: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008deccfc: eb0300f9  str	x11, [sp]
0xfffffff008decd00: c02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008decd04: 00543891  add	x0, x0, #0xe15
0xfffffff008decd08: c6a8d597  bl	#0xfffffff008357020
0xfffffff008decd0c: c6ffff17  b	#0xfffffff008decc24
0xfffffff008decd10: a8338152  mov	w8, #0x99d
0xfffffff008decd14: a92effd0  adrp	x9, #0xfffffff0073c2000
0xfffffff008decd18: 29e92e91  add	x9, x9, #0xbba
0xfffffff008decd1c: e81300f9  str	x8, [sp, #0x20]
0xfffffff008decd20: c82eff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008decd24: 08493991  add	x8, x8, #0xe52
0xfffffff008decd28: aa2effd0  adrp	x10, #0xfffffff0073c2000
0xfffffff008decd2c: 4ad53291  add	x10, x10, #0xcb5
0xfffffff008decd30: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008decd34: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008decd38: c02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008decd3c: 00543891  add	x0, x0, #0xe15
0xfffffff008decd40: b8a8d597  bl	#0xfffffff008357020
0xfffffff008decd44: 55008012  mov	w21, #-3
0xfffffff008decd48: b7ffff17  b	#0xfffffff008decc24
0xfffffff008decd4c: a87e4093  sxtw	x8, w21
0xfffffff008decd50: a9358152  mov	w9, #0x9ad
0xfffffff008decd54: aa2effd0  adrp	x10, #0xfffffff0073c2000
0xfffffff008decd58: 4ae92e91  add	x10, x10, #0xbba
0xfffffff008decd5c: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008decd60: c92eff90  adrp	x9, #0xfffffff0073c4000
0xfffffff008decd64: 29493991  add	x9, x9, #0xe52
0xfffffff008decd68: cb2eff90  adrp	x11, #0xfffffff0073c4000
0xfffffff008decd6c: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008decd70: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008decd74: eb0300f9  str	x11, [sp]
0xfffffff008decd78: c02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008decd7c: 00543891  add	x0, x0, #0xe15
