; Candidate 5990
; ADRP+ADD at VM 0xfffffff00880dc70 (fileoff 0x1809c70): page=0x1fea0e000 add_imm=0xe35

0xfffffff00880dbf0: fd7b0da9  stp	x29, x30, [sp, #0xd0]
0xfffffff00880dbf4: fd430391  add	x29, sp, #0xd0
0xfffffff00880dbf8: f50304aa  mov	x21, x4
0xfffffff00880dbfc: f60303aa  mov	x22, x3
0xfffffff00880dc00: f40302aa  mov	x20, x2
0xfffffff00880dc04: f90301aa  mov	x25, x1
0xfffffff00880dc08: f30300aa  mov	x19, x0
0xfffffff00880dc0c: c00300b4  cbz	x0, #0xfffffff00880dc84
0xfffffff00880dc10: b90300b4  cbz	x25, #0xfffffff00880dc84
0xfffffff00880dc14: 940300b4  cbz	x20, #0xfffffff00880dc84
0xfffffff00880dc18: 9c0e81b9  ldrsw	x28, [x20, #0x10c]
0xfffffff00880dc1c: 88668b52  mov	w8, #0x5b34
0xfffffff00880dc20: 386b68b8  ldr	w24, [x25, x8]
0xfffffff00880dc24: 392b41b9  ldr	w25, [x25, #0x128]
0xfffffff00880dc28: 800e8052  mov	w0, #0x74
0xfffffff00880dc2c: e1008052  mov	w1, #7
0xfffffff00880dc30: e8b60194  bl	#0xfffffff00887b7d0
0xfffffff00880dc34: 60080034  cbz	w0, #0xfffffff00880dd40
0xfffffff00880dc38: 800e8052  mov	w0, #0x74
0xfffffff00880dc3c: f7b60194  bl	#0xfffffff00887b818
0xfffffff00880dc40: fb0300aa  mov	x27, x0
0xfffffff00880dc44: 5a990294  bl	#0xfffffff0088b41ac
0xfffffff00880dc48: fa0300aa  mov	x26, x0
0xfffffff00880dc4c: e0008052  mov	w0, #7
0xfffffff00880dc50: 00b70194  bl	#0xfffffff00887b850
0xfffffff00880dc54: fb040034  cbz	w27, #0xfffffff00880dcf0
0xfffffff00880dc58: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff00880dc5c: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff00880dc60: 6850ffd0  adrp	x8, #0xfffffff00721b000
0xfffffff00880dc64: 087d3791  add	x8, x8, #0xddf
0xfffffff00880dc68: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00880dc6c: 880e8052  mov	w8, #0x74
0xfffffff00880dc70: 6050ffd0  adrp	x0, #0xfffffff00721b000
0xfffffff00880dc74: 00d43891  add	x0, x0, #0xe35
0xfffffff00880dc78: fa2300a9  stp	x26, x8, [sp]
0xfffffff00880dc7c: f9a5d697  bl	#0xfffffff007db7460
0xfffffff00880dc80: 30000014  b	#0xfffffff00880dd40
0xfffffff00880dc84: c00e8052  mov	w0, #0x76
0xfffffff00880dc88: 81008052  mov	w1, #4
0xfffffff00880dc8c: d1b60194  bl	#0xfffffff00887b7d0
0xfffffff00880dc90: 400e0034  cbz	w0, #0xfffffff00880de58
0xfffffff00880dc94: c00e8052  mov	w0, #0x76
0xfffffff00880dc98: e0b60194  bl	#0xfffffff00887b818
0xfffffff00880dc9c: f80300aa  mov	x24, x0
0xfffffff00880dca0: 43990294  bl	#0xfffffff0088b41ac
0xfffffff00880dca4: f70300aa  mov	x23, x0
0xfffffff00880dca8: 80008052  mov	w0, #4
0xfffffff00880dcac: e9b60194  bl	#0xfffffff00887b850
0xfffffff00880dcb0: 780a0034  cbz	w24, #0xfffffff00880ddfc
0xfffffff00880dcb4: f9d303a9  stp	x25, x20, [sp, #0x38]
0xfffffff00880dcb8: 6850ffd0  adrp	x8, #0xfffffff00721b000
0xfffffff00880dcbc: 08d93791  add	x8, x8, #0xdf6
0xfffffff00880dcc0: 891e8052  mov	w9, #0xf4
0xfffffff00880dcc4: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00880dcc8: 6850ffd0  adrp	x8, #0xfffffff00721b000
0xfffffff00880dccc: 087d3791  add	x8, x8, #0xddf
0xfffffff00880dcd0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00880dcd4: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00880dcd8: c80e8052  mov	w8, #0x76
0xfffffff00880dcdc: 2050fff0  adrp	x0, #0xfffffff007214000
0xfffffff00880dce0: 00242491  add	x0, x0, #0x909
0xfffffff00880dce4: f72300a9  stp	x23, x8, [sp]
0xfffffff00880dce8: dea5d697  bl	#0xfffffff007db7460
0xfffffff00880dcec: 5b000014  b	#0xfffffff00880de58
