; Candidate 10078
; ADRP+ADD at VM 0xfffffff008c98c7c (fileoff 0x1c94c7c): page=0x1fe6ba000 add_imm=0xe2e

0xfffffff008c98bfc: ff262b94  bl	#0xfffffff0097627f8
0xfffffff008c98c00: 16008052  mov	w22, #0
0xfffffff008c98c04: 00010037  tbnz	w0, #0, #0xfffffff008c98c24
0xfffffff008c98c08: c035ffd0  adrp	x0, #0xfffffff007352000
0xfffffff008c98c0c: 00243691  add	x0, x0, #0xd89
0xfffffff008c98c10: 96578052  mov	w22, #0x2bc
0xfffffff008c98c14: 1600bc72  movk	w22, #0xe000, lsl #16
0xfffffff008c98c18: 88a27c39  ldrb	w8, [x20, #0xf28]
0xfffffff008c98c1c: e80300f9  str	x8, [sp]
0xfffffff008c98c20: 00f9da97  bl	#0xfffffff008357020
0xfffffff008c98c24: 75030034  cbz	w21, #0xfffffff008c98c90
0xfffffff008c98c28: 88e247f9  ldr	x8, [x20, #0xfc0]
0xfffffff008c98c2c: 480200b4  cbz	x8, #0xfffffff008c98c74
0xfffffff008c98c30: 700240f9  ldr	x16, [x19]
0xfffffff008c98c34: f10313aa  mov	x17, x19
0xfffffff008c98c38: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008c98c3c: 301ac1da  autda	x16, x17
0xfffffff008c98c40: 11b480d2  mov	x17, #0x5a0
0xfffffff008c98c44: 1002118b  add	x16, x16, x17
0xfffffff008c98c48: 080240f9  ldr	x8, [x16]
0xfffffff008c98c4c: e90310aa  mov	x9, x16
0xfffffff008c98c50: e00313aa  mov	x0, x19
0xfffffff008c98c54: 41008052  mov	w1, #2
0xfffffff008c98c58: f10309aa  mov	x17, x9
0xfffffff008c98c5c: 5110ecf2  movk	x17, #0x6082, lsl #48
0xfffffff008c98c60: 11093fd7  blraa	x8, x17
0xfffffff008c98c64: 80e247f9  ldr	x0, [x20, #0xfc0]
0xfffffff008c98c68: e10313aa  mov	x1, x19
0xfffffff008c98c6c: 5fb42894  bl	#0xfffffff0096c5de8
0xfffffff008c98c70: 08000014  b	#0xfffffff008c98c90
0xfffffff008c98c74: 88a27c39  ldrb	w8, [x20, #0xf28]
0xfffffff008c98c78: e80300f9  str	x8, [sp]
0xfffffff008c98c7c: c035ffd0  adrp	x0, #0xfffffff007352000
0xfffffff008c98c80: 00b83891  add	x0, x0, #0xe2e
0xfffffff008c98c84: e7f8da97  bl	#0xfffffff008357020
0xfffffff008c98c88: 96578052  mov	w22, #0x2bc
0xfffffff008c98c8c: 1600bc72  movk	w22, #0xe000, lsl #16
0xfffffff008c98c90: e00316aa  mov	x0, x22
0xfffffff008c98c94: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008c98c98: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008c98c9c: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff008c98ca0: ff030191  add	sp, sp, #0x40
0xfffffff008c98ca4: ff0f5fd6  retab	
0xfffffff008c98ca8: 5f2403d5  bti	c
0xfffffff008c98cac: 922ed917  b	#0xfffffff0082e46f4
0xfffffff008c98cb0: 5f2403d5  bti	c
0xfffffff008c98cb4: 005440f9  ldr	x0, [x0, #0xa8]
0xfffffff008c98cb8: c0035fd6  ret	
0xfffffff008c98cbc: 7f2303d5  pacibsp	
0xfffffff008c98cc0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008c98cc4: fd030091  mov	x29, sp
0xfffffff008c98cc8: 60b200d0  adrp	x0, #0xfffffff00a2e6000
0xfffffff008c98ccc: 00202091  add	x0, x0, #0x808
0xfffffff008c98cd0: c135ffd0  adrp	x1, #0xfffffff007352000
0xfffffff008c98cd4: 21102f91  add	x1, x1, #0xbc4
0xfffffff008c98cd8: 62b200d0  adrp	x2, #0xfffffff00a2e6000
0xfffffff008c98cdc: 42c02091  add	x2, x2, #0x830
0xfffffff008c98ce0: 03098252  mov	w3, #0x1048
0xfffffff008c98ce4: 952bd997  bl	#0xfffffff0082e3b38
0xfffffff008c98ce8: d070ff90  adrp	x16, #0xfffffff007ab0000
0xfffffff008c98cec: 10823091  add	x16, x16, #0xc20
0xfffffff008c98cf0: 10420091  add	x16, x16, #0x10
0xfffffff008c98cf4: f10300aa  mov	x17, x0
0xfffffff008c98cf8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
