; Candidate 14617
; ADRP+ADD at VM 0xfffffff00986d754 (fileoff 0x2869754): page=0xb26000 add_imm=0xcf8

0xfffffff00986d6d4: 00a140f9  ldr	x0, [x8, #0x140]
0xfffffff00986d6d8: 61620191  add	x1, x19, #0x58
0xfffffff00986d6dc: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00986d6e0: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00986d6e4: ff2303d5  autibsp	
0xfffffff00986d6e8: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00986d6ec: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00986d6f4
0xfffffff00986d6f0: 208e38d4  brk	#0xc471
0xfffffff00986d6f4: 80f7ff17  b	#0xfffffff00986b4f4
0xfffffff00986d6f8: 5f2403d5  bti	c
0xfffffff00986d6fc: fedba917  b	#0xfffffff0082e46f4
0xfffffff00986d700: 7f2303d5  pacibsp	
0xfffffff00986d704: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00986d708: fd030091  mov	x29, sp
0xfffffff00986d70c: 205900d0  adrp	x0, #0xfffffff00a393000
0xfffffff00986d710: 00e03391  add	x0, x0, #0xcf8
0xfffffff00986d714: e1eafe90  adrp	x1, #0xfffffff0075c9000
0xfffffff00986d718: 21d42a91  add	x1, x1, #0xab5
0xfffffff00986d71c: 225900d0  adrp	x2, #0xfffffff00a393000
0xfffffff00986d720: 42403391  add	x2, x2, #0xcd0
0xfffffff00986d724: 03138052  mov	w3, #0x98
0xfffffff00986d728: 04d9a997  bl	#0xfffffff0082e3b38
0xfffffff00986d72c: 901fffd0  adrp	x16, #0xfffffff007c5f000
0xfffffff00986d730: 10c21891  add	x16, x16, #0x630
0xfffffff00986d734: 10420091  add	x16, x16, #0x10
0xfffffff00986d738: f10300aa  mov	x17, x0
0xfffffff00986d73c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00986d740: 300ac1da  pacda	x16, x17
0xfffffff00986d744: 100000f9  str	x16, [x0]
0xfffffff00986d748: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00986d74c: ff0f5fd6  retab	
0xfffffff00986d750: 5f2403d5  bti	c
0xfffffff00986d754: 205900d0  adrp	x0, #0xfffffff00a393000
0xfffffff00986d758: 00e03391  add	x0, x0, #0xcf8
0xfffffff00986d75c: e6dba917  b	#0xfffffff0082e46f4
0xfffffff00986d760: 7f2303d5  pacibsp	
0xfffffff00986d764: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00986d768: fd030091  mov	x29, sp
0xfffffff00986d76c: e1eafe90  adrp	x1, #0xfffffff0075c9000
0xfffffff00986d770: 21a82b91  add	x1, x1, #0xaea
0xfffffff00986d774: 821fff90  adrp	x2, #0xfffffff007c5d000
0xfffffff00986d778: 42b044f9  ldr	x2, [x2, #0x960]
0xfffffff00986d77c: 03118052  mov	w3, #0x88
0xfffffff00986d780: eed8a997  bl	#0xfffffff0082e3b38
0xfffffff00986d784: 901fffd0  adrp	x16, #0xfffffff007c5f000
0xfffffff00986d788: 10823091  add	x16, x16, #0xc20
0xfffffff00986d78c: 10420091  add	x16, x16, #0x10
0xfffffff00986d790: f10300aa  mov	x17, x0
0xfffffff00986d794: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00986d798: 300ac1da  pacda	x16, x17
0xfffffff00986d79c: 100000f9  str	x16, [x0]
0xfffffff00986d7a0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00986d7a4: ff0f5fd6  retab	
0xfffffff00986d7a8: 5f2403d5  bti	c
0xfffffff00986d7ac: d2dba917  b	#0xfffffff0082e46f4
0xfffffff00986d7b0: 7f2303d5  pacibsp	
0xfffffff00986d7b4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00986d7b8: fd030091  mov	x29, sp
0xfffffff00986d7bc: cb59ac97  bl	#0xfffffff008383ee8
0xfffffff00986d7c0: 901fffd0  adrp	x16, #0xfffffff007c5f000
0xfffffff00986d7c4: 10221b91  add	x16, x16, #0x6c8
0xfffffff00986d7c8: 10420091  add	x16, x16, #0x10
0xfffffff00986d7cc: f10300aa  mov	x17, x0
0xfffffff00986d7d0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
