; Candidate 5768
; ADRP+ADD at VM 0xfffffff00880362c (fileoff 0x17ff62c): page=0x1fea16000 add_imm=0xe65

0xfffffff0088035ac: 63043091  add	x3, x3, #0xc01
0xfffffff0088035b0: 02008052  mov	w2, #0
0xfffffff0088035b4: dfbeec97  bl	#0xfffffff008333130
0xfffffff0088035b8: e00314aa  mov	x0, x20
0xfffffff0088035bc: e10315aa  mov	x1, x21
0xfffffff0088035c0: 84e00194  bl	#0xfffffff00887b7d0
0xfffffff0088035c4: 600b0034  cbz	w0, #0xfffffff008803730
0xfffffff0088035c8: 68ba4391  add	x8, x19, #0xee, lsl #12
0xfffffff0088035cc: 18913091  add	x24, x8, #0xc24
0xfffffff0088035d0: e00314aa  mov	x0, x20
0xfffffff0088035d4: 91e00194  bl	#0xfffffff00887b818
0xfffffff0088035d8: 3603f837  tbnz	w22, #0x1f, #0xfffffff00880363c
0xfffffff0088035dc: db021b12  and	w27, w22, #0x20
0xfffffff0088035e0: 1c000052  eor	w28, w0, #1
0xfffffff0088035e4: f2c20294  bl	#0xfffffff0088b41ac
0xfffffff0088035e8: f70300aa  mov	x23, x0
0xfffffff0088035ec: e00315aa  mov	x0, x21
0xfffffff0088035f0: 98e00194  bl	#0xfffffff00887b850
0xfffffff0088035f4: 88175b2a  orr	w8, w28, w27, lsr #5
0xfffffff0088035f8: 48040037  tbnz	w8, #0, #0xfffffff008803680
0xfffffff0088035fc: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff008803600: 292b4029  ldp	w9, w10, [x25]
0xfffffff008803604: 4b4b40b9  ldr	w11, [x26, #0x48]
0xfffffff008803608: 4c8b46b9  ldr	w12, [x26, #0x688]
0xfffffff00880360c: 0d0340b9  ldr	w13, [x24]
0xfffffff008803610: ecb704a9  stp	x12, x13, [sp, #0x48]
0xfffffff008803614: eaaf03a9  stp	x10, x11, [sp, #0x38]
0xfffffff008803618: e8a702a9  stp	x8, x9, [sp, #0x28]
0xfffffff00880361c: e8c30191  add	x8, sp, #0x70
0xfffffff008803620: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008803624: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008803628: e80314aa  mov	x8, x20
0xfffffff00880362c: a050ffd0  adrp	x0, #0xfffffff007219000
0xfffffff008803630: 00943991  add	x0, x0, #0xe65
0xfffffff008803634: f72300a9  stp	x23, x8, [sp]
0xfffffff008803638: 10000014  b	#0xfffffff008803678
0xfffffff00880363c: 60050034  cbz	w0, #0xfffffff0088036e8
0xfffffff008803640: e803164b  neg	w8, w22
0xfffffff008803644: 28052837  tbnz	w8, #5, #0xfffffff0088036e8
0xfffffff008803648: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff00880364c: 292b4029  ldp	w9, w10, [x25]
0xfffffff008803650: 4b4b40b9  ldr	w11, [x26, #0x48]
0xfffffff008803654: 4c8b46b9  ldr	w12, [x26, #0x688]
0xfffffff008803658: 0d0340b9  ldr	w13, [x24]
0xfffffff00880365c: ec3703a9  stp	x12, x13, [sp, #0x30]
0xfffffff008803660: ea2f02a9  stp	x10, x11, [sp, #0x20]
0xfffffff008803664: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008803668: e8c30191  add	x8, sp, #0x70
0xfffffff00880366c: a050ffd0  adrp	x0, #0xfffffff007219000
0xfffffff008803670: 00443891  add	x0, x0, #0xe11
0xfffffff008803674: e84f00a9  stp	x8, x19, [sp]
0xfffffff008803678: 7acfd697  bl	#0xfffffff007db7460
0xfffffff00880367c: 2d000014  b	#0xfffffff008803730
0xfffffff008803680: cbc20294  bl	#0xfffffff0088b41ac
0xfffffff008803684: f70300aa  mov	x23, x0
0xfffffff008803688: e00315aa  mov	x0, x21
0xfffffff00880368c: 71e00194  bl	#0xfffffff00887b850
0xfffffff008803690: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff008803694: 292b4029  ldp	w9, w10, [x25]
0xfffffff008803698: 4b4b40b9  ldr	w11, [x26, #0x48]
0xfffffff00880369c: 4c8b46b9  ldr	w12, [x26, #0x688]
0xfffffff0088036a0: 0d0340b9  ldr	w13, [x24]
0xfffffff0088036a4: ecb704a9  stp	x12, x13, [sp, #0x48]
0xfffffff0088036a8: eaaf03a9  stp	x10, x11, [sp, #0x38]
