; Candidate 200
; ADRP+ADD at VM 0xfffffff007e2f21c (fileoff 0xe2b21c): page=0x23c8000 add_imm=0xe2c

0xfffffff007e2f19c: 497de8c8  casa	x8, x9, [x10]
0xfffffff007e2f1a0: 1f0100f1  cmp	x8, #0
0xfffffff007e2f1a4: 21160054  b.ne	#0xfffffff007e2f468
0xfffffff007e2f1a8: 886a40b9  ldr	w8, [x20, #0x68]
0xfffffff007e2f1ac: e91c01d0  adrp	x9, #0xfffffff00a1cd000
0xfffffff007e2f1b0: 29094fb9  ldr	w9, [x9, #0xf08]
0xfffffff007e2f1b4: 1f01096b  cmp	w8, w9
0xfffffff007e2f1b8: 82000054  b.hs	#0xfffffff007e2f1c8
0xfffffff007e2f1bc: 88ce4079  ldrh	w8, [x20, #0x66]
0xfffffff007e2f1c0: 1f011071  cmp	w8, #0x400
0xfffffff007e2f1c4: 83000054  b.lo	#0xfffffff007e2f1d4
0xfffffff007e2f1c8: e00314aa  mov	x0, x20
0xfffffff007e2f1cc: e10319aa  mov	x1, x25
0xfffffff007e2f1d0: 06fdff97  bl	#0xfffffff007e2e5e8
0xfffffff007e2f1d4: 88924878  ldurh	w8, [x20, #0x89]
0xfffffff007e2f1d8: 09391f12  and	w9, w8, #0xfffe
0xfffffff007e2f1dc: 89920878  sturh	w9, [x20, #0x89]
0xfffffff007e2f1e0: 9f3e00f9  str	xzr, [x20, #0x78]
0xfffffff007e2f1e4: 08011036  tbz	w8, #2, #0xfffffff007e2f204
0xfffffff007e2f1e8: 49ff9f52  mov	w9, #0xfffa
0xfffffff007e2f1ec: 0801090a  and	w8, w8, w9
0xfffffff007e2f1f0: 88920878  sturh	w8, [x20, #0x89]
0xfffffff007e2f1f4: e00314aa  mov	x0, x20
0xfffffff007e2f1f8: 01008052  mov	w1, #0
0xfffffff007e2f1fc: 02008052  mov	w2, #0
0xfffffff007e2f200: 4e54fe97  bl	#0xfffffff007dc4338
0xfffffff007e2f204: 681a44b9  ldr	w8, [x19, #0x418]
0xfffffff007e2f208: 89220091  add	x9, x20, #8
0xfffffff007e2f20c: e20308aa  mov	x2, x8
0xfffffff007e2f210: 3ffda288  casl	w2, wzr, [x9]
0xfffffff007e2f214: 5f00086b  cmp	w2, w8
0xfffffff007e2f218: 21130054  b.ne	#0xfffffff007e2f47c
0xfffffff007e2f21c: 401e0190  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e2f220: 00b03891  add	x0, x0, #0xe2c
0xfffffff007e2f224: 01fdfd97  bl	#0xfffffff007dae628
0xfffffff007e2f228: 00008052  mov	w0, #0
0xfffffff007e2f22c: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff007e2f230: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff007e2f234: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff007e2f238: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff007e2f23c: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff007e2f240: fc6f41a9  ldp	x28, x27, [sp, #0x10]
0xfffffff007e2f244: ffc30191  add	sp, sp, #0x70
0xfffffff007e2f248: ff0f5fd6  retab	
0xfffffff007e2f24c: c0008052  mov	w0, #6
0xfffffff007e2f250: f7ffff17  b	#0xfffffff007e2f22c
0xfffffff007e2f254: f7030caa  mov	x23, x12
0xfffffff007e2f258: 8bce4079  ldrh	w11, [x20, #0x66]
0xfffffff007e2f25c: fb030eaa  mov	x27, x14
0xfffffff007e2f260: fa030daa  mov	x26, x13
0xfffffff007e2f264: 1f010b6b  cmp	w8, w11
0xfffffff007e2f268: 8d000054  b.le	#0xfffffff007e2f278
0xfffffff007e2f26c: 884e2b8b  add	x8, x20, w11, uxtw #3
0xfffffff007e2f270: 15810291  add	x21, x8, #0xa0
0xfffffff007e2f274: 04000014  b	#0xfffffff007e2f284
0xfffffff007e2f278: 8c4e40f9  ldr	x12, [x20, #0x98]
0xfffffff007e2f27c: 6801084b  sub	w8, w11, w8
0xfffffff007e2f280: 95cd288b  add	x21, x12, w8, sxtw #3
0xfffffff007e2f284: f80f40b9  ldr	w24, [sp, #0xc]
0xfffffff007e2f288: 883a40f9  ldr	x8, [x20, #0x70]
0xfffffff007e2f28c: 00090a8b  add	x0, x8, x10, lsl #2
0xfffffff007e2f290: c83a40f9  ldr	x8, [x22, #0x70]
0xfffffff007e2f294: 0129298b  add	x1, x8, w9, uxth #2
0xfffffff007e2f298: e20319aa  mov	x2, x25
