; Candidate 6640
; ADRP+ADD at VM 0xfffffff008837178 (fileoff 0x1833178): page=0x1fe9b2000 add_imm=0xe80

0xfffffff0088370f8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088370fc: 684fff90  adrp	x8, #0xfffffff007223000
0xfffffff008837100: 08890991  add	x8, x8, #0x262
0xfffffff008837104: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008837108: 280f8052  mov	w8, #0x79
0xfffffff00883710c: f52300a9  stp	x21, x8, [sp]
0xfffffff008837110: 804dffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008837114: 00003a91  add	x0, x0, #0xe80
0xfffffff008837118: 818effb0  adrp	x1, #0xfffffff007a08000
0xfffffff00883711c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008837120: a350fff0  adrp	x3, #0xfffffff00724e000
0xfffffff008837124: 63e80d91  add	x3, x3, #0x37a
0xfffffff008837128: 02008052  mov	w2, #0
0xfffffff00883712c: 01f0eb97  bl	#0xfffffff008333130
0xfffffff008837130: b6ffff17  b	#0xfffffff008837008
0xfffffff008837134: 1ef40194  bl	#0xfffffff0088b41ac
0xfffffff008837138: f50300aa  mov	x21, x0
0xfffffff00883713c: 80008052  mov	w0, #4
0xfffffff008837140: c4110194  bl	#0xfffffff00887b850
0xfffffff008837144: e80314aa  mov	x8, x20
0xfffffff008837148: 690a40b9  ldr	w9, [x19, #8]
0xfffffff00883714c: e9a303a9  stp	x9, x8, [sp, #0x38]
0xfffffff008837150: c84effb0  adrp	x8, #0xfffffff007210000
0xfffffff008837154: 08b92791  add	x8, x8, #0x9ee
0xfffffff008837158: 497d8052  mov	w9, #0x3ea
0xfffffff00883715c: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008837160: 684fff90  adrp	x8, #0xfffffff007223000
0xfffffff008837164: 08890991  add	x8, x8, #0x262
0xfffffff008837168: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00883716c: 280f8052  mov	w8, #0x79
0xfffffff008837170: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008837174: f50300f9  str	x21, [sp]
0xfffffff008837178: 804dffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00883717c: 00003a91  add	x0, x0, #0xe80
0xfffffff008837180: 818effb0  adrp	x1, #0xfffffff007a08000
0xfffffff008837184: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008837188: a350fff0  adrp	x3, #0xfffffff00724e000
0xfffffff00883718c: 63300f91  add	x3, x3, #0x3cc
0xfffffff008837190: 02008052  mov	w2, #0
0xfffffff008837194: e7efeb97  bl	#0xfffffff008333130
0xfffffff008837198: 9cffff17  b	#0xfffffff008837008
0xfffffff00883719c: 7f2303d5  pacibsp	
0xfffffff0088371a0: ff8301d1  sub	sp, sp, #0x60
0xfffffff0088371a4: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0088371a8: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0088371ac: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0088371b0: fd430191  add	x29, sp, #0x50
0xfffffff0088371b4: f30300aa  mov	x19, x0
0xfffffff0088371b8: 200f8052  mov	w0, #0x79
0xfffffff0088371bc: c1008052  mov	w1, #6
0xfffffff0088371c0: 84110194  bl	#0xfffffff00887b7d0
0xfffffff0088371c4: a0040034  cbz	w0, #0xfffffff008837258
0xfffffff0088371c8: 200f8052  mov	w0, #0x79
0xfffffff0088371cc: 93110194  bl	#0xfffffff00887b818
0xfffffff0088371d0: f50300aa  mov	x21, x0
0xfffffff0088371d4: f6f30194  bl	#0xfffffff0088b41ac
0xfffffff0088371d8: f40300aa  mov	x20, x0
0xfffffff0088371dc: c0008052  mov	w0, #6
0xfffffff0088371e0: 9c110194  bl	#0xfffffff00887b850
0xfffffff0088371e4: 75010034  cbz	w21, #0xfffffff008837210
0xfffffff0088371e8: 684fff90  adrp	x8, #0xfffffff007223000
0xfffffff0088371ec: 08cd0f91  add	x8, x8, #0x3f3
0xfffffff0088371f0: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088371f4: 280f8052  mov	w8, #0x79
