; Candidate 5454
; ADRP+ADD at VM 0xfffffff0087f1a24 (fileoff 0x17eda24): page=0x1fe9f8000 add_imm=0xe80

0xfffffff0087f19a4: 9d270294  bl	#0xfffffff00887b818
0xfffffff0087f19a8: fa0300aa  mov	x26, x0
0xfffffff0087f19ac: 000a0394  bl	#0xfffffff0088b41ac
0xfffffff0087f19b0: f90300aa  mov	x25, x0
0xfffffff0087f19b4: e0008052  mov	w0, #7
0xfffffff0087f19b8: a6270294  bl	#0xfffffff00887b850
0xfffffff0087f19bc: ba010034  cbz	w26, #0xfffffff0087f19f0
0xfffffff0087f19c0: f76304a9  stp	x23, x24, [sp, #0x40]
0xfffffff0087f19c4: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0087f19c8: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0087f19cc: 2851ff90  adrp	x8, #0xfffffff007215000
0xfffffff0087f19d0: 08150e91  add	x8, x8, #0x385
0xfffffff0087f19d4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f19d8: 080f8052  mov	w8, #0x78
0xfffffff0087f19dc: 0051fff0  adrp	x0, #0xfffffff007214000
0xfffffff0087f19e0: 00401d91  add	x0, x0, #0x750
0xfffffff0087f19e4: f92300a9  stp	x25, x8, [sp]
0xfffffff0087f19e8: 9e16d797  bl	#0xfffffff007db7460
0xfffffff0087f19ec: 16000014  b	#0xfffffff0087f1a44
0xfffffff0087f19f0: ef090394  bl	#0xfffffff0088b41ac
0xfffffff0087f19f4: f90300aa  mov	x25, x0
0xfffffff0087f19f8: e0008052  mov	w0, #7
0xfffffff0087f19fc: 95270294  bl	#0xfffffff00887b850
0xfffffff0087f1a00: e80318aa  mov	x8, x24
0xfffffff0087f1a04: f72304a9  stp	x23, x8, [sp, #0x40]
0xfffffff0087f1a08: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0087f1a0c: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0087f1a10: 2851ff90  adrp	x8, #0xfffffff007215000
0xfffffff0087f1a14: 08150e91  add	x8, x8, #0x385
0xfffffff0087f1a18: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f1a1c: 080f8052  mov	w8, #0x78
0xfffffff0087f1a20: f92300a9  stp	x25, x8, [sp]
0xfffffff0087f1a24: c04fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f1a28: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f1a2c: a190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f1a30: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f1a34: 6352ffd0  adrp	x3, #0xfffffff00723f000
0xfffffff0087f1a38: 63303691  add	x3, x3, #0xd8c
0xfffffff0087f1a3c: 02008052  mov	w2, #0
0xfffffff0087f1a40: bc05ed97  bl	#0xfffffff008333130
0xfffffff0087f1a44: e00318aa  mov	x0, x24
0xfffffff0087f1a48: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff0087f1a4c: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff0087f1a50: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff0087f1a54: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff0087f1a58: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff0087f1a5c: ffc30291  add	sp, sp, #0xb0
0xfffffff0087f1a60: ff0f5fd6  retab	
0xfffffff0087f1a64: 7f2303d5  pacibsp	
0xfffffff0087f1a68: ffc302d1  sub	sp, sp, #0xb0
0xfffffff0087f1a6c: fa6706a9  stp	x26, x25, [sp, #0x60]
0xfffffff0087f1a70: f85f07a9  stp	x24, x23, [sp, #0x70]
0xfffffff0087f1a74: f65708a9  stp	x22, x21, [sp, #0x80]
0xfffffff0087f1a78: f44f09a9  stp	x20, x19, [sp, #0x90]
0xfffffff0087f1a7c: fd7b0aa9  stp	x29, x30, [sp, #0xa0]
0xfffffff0087f1a80: fd830291  add	x29, sp, #0xa0
0xfffffff0087f1a84: f70304aa  mov	x23, x4
0xfffffff0087f1a88: f50303aa  mov	x21, x3
0xfffffff0087f1a8c: f60302aa  mov	x22, x2
0xfffffff0087f1a90: f40301aa  mov	x20, x1
0xfffffff0087f1a94: f30300aa  mov	x19, x0
0xfffffff0087f1a98: 000f8052  mov	w0, #0x78
0xfffffff0087f1a9c: e1008052  mov	w1, #7
0xfffffff0087f1aa0: 4c270294  bl	#0xfffffff00887b7d0
