; Candidate 8120
; ADRP+ADD at VM 0xfffffff008896758 (fileoff 0x1892758): page=0x1fe953000 add_imm=0xe80

0xfffffff0088966d8: 3e94ff97  bl	#0xfffffff00887b7d0
0xfffffff0088966dc: e0040034  cbz	w0, #0xfffffff008896778
0xfffffff0088966e0: 200e8052  mov	w0, #0x71
0xfffffff0088966e4: 4d94ff97  bl	#0xfffffff00887b818
0xfffffff0088966e8: f70300aa  mov	x23, x0
0xfffffff0088966ec: b0760094  bl	#0xfffffff0088b41ac
0xfffffff0088966f0: f50300aa  mov	x21, x0
0xfffffff0088966f4: a0008052  mov	w0, #5
0xfffffff0088966f8: 5694ff97  bl	#0xfffffff00887b850
0xfffffff0088966fc: f60300aa  mov	x22, x0
0xfffffff008896700: e00314aa  mov	x0, x20
0xfffffff008896704: 4863fe97  bl	#0xfffffff00882f424
0xfffffff008896708: 37010034  cbz	w23, #0xfffffff00889672c
0xfffffff00889670c: f38301a9  stp	x19, x0, [sp, #0x18]
0xfffffff008896710: 280e8052  mov	w8, #0x71
0xfffffff008896714: e8db00a9  stp	x8, x22, [sp, #8]
0xfffffff008896718: f50300f9  str	x21, [sp]
0xfffffff00889671c: c04cffb0  adrp	x0, #0xfffffff00722f000
0xfffffff008896720: 00042291  add	x0, x0, #0x881
0xfffffff008896724: 4f83d497  bl	#0xfffffff007db7460
0xfffffff008896728: 14000014  b	#0xfffffff008896778
0xfffffff00889672c: a0760094  bl	#0xfffffff0088b41ac
0xfffffff008896730: f50300aa  mov	x21, x0
0xfffffff008896734: a0008052  mov	w0, #5
0xfffffff008896738: 4694ff97  bl	#0xfffffff00887b850
0xfffffff00889673c: f60300aa  mov	x22, x0
0xfffffff008896740: e00314aa  mov	x0, x20
0xfffffff008896744: 3863fe97  bl	#0xfffffff00882f424
0xfffffff008896748: f38301a9  stp	x19, x0, [sp, #0x18]
0xfffffff00889674c: 280e8052  mov	w8, #0x71
0xfffffff008896750: e8db00a9  stp	x8, x22, [sp, #8]
0xfffffff008896754: f50300f9  str	x21, [sp]
0xfffffff008896758: 804afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889675c: 00003a91  add	x0, x0, #0xe80
0xfffffff008896760: 818bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008896764: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008896768: 434effb0  adrp	x3, #0xfffffff00725f000
0xfffffff00889676c: 63ac1e91  add	x3, x3, #0x7ab
0xfffffff008896770: 02008052  mov	w2, #0
0xfffffff008896774: 6f72ea97  bl	#0xfffffff008333130
0xfffffff008896778: e00313aa  mov	x0, x19
0xfffffff00889677c: e10314aa  mov	x1, x20
0xfffffff008896780: a2008052  mov	w2, #5
0xfffffff008896784: a9000094  bl	#0xfffffff008896a28
0xfffffff008896788: f40300aa  mov	x20, x0
0xfffffff00889678c: 7f0600f9  str	xzr, [x19, #8]
0xfffffff008896790: 600240f9  ldr	x0, [x19]
0xfffffff008896794: 600000b4  cbz	x0, #0xfffffff0088967a0
0xfffffff008896798: c503eb97  bl	#0xfffffff0083576ac
0xfffffff00889679c: 7f0200f9  str	xzr, [x19]
0xfffffff0088967a0: 7f7e01a9  stp	xzr, xzr, [x19, #0x10]
0xfffffff0088967a4: e00314aa  mov	x0, x20
0xfffffff0088967a8: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0088967ac: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0088967b0: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0088967b4: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff0088967b8: ffc30191  add	sp, sp, #0x70
0xfffffff0088967bc: ff0f5fd6  retab	
0xfffffff0088967c0: 7f2303d5  pacibsp	
0xfffffff0088967c4: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0088967c8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0088967cc: fd430091  add	x29, sp, #0x10
0xfffffff0088967d0: f30300aa  mov	x19, x0
0xfffffff0088967d4: 81ffff97  bl	#0xfffffff0088965d8
