; Candidate 11050
; ADRP+ADD at VM 0xfffffff008e3d350 (fileoff 0x1e39350): page=0x1fe594000 add_imm=0xdb8

0xfffffff008e3d2d0: 113aeef2  movk	x17, #0x71d0, lsl #48
0xfffffff008e3d2d4: 11093fd7  blraa	x8, x17
0xfffffff008e3d2d8: 601a00f9  str	x0, [x19, #0x30]
0xfffffff008e3d2dc: 400600b4  cbz	x0, #0xfffffff008e3d3a4
0xfffffff008e3d2e0: 282dffd0  adrp	x8, #0xfffffff0073e3000
0xfffffff008e3d2e4: 009543fd  ldr	d0, [x8, #0x728]
0xfffffff008e3d2e8: 602600fd  str	d0, [x19, #0x48]
0xfffffff008e3d2ec: a002c03d  ldr	q0, [x21]
0xfffffff008e3d2f0: 6016803d  str	q0, [x19, #0x50]
0xfffffff008e3d2f4: 740e00f9  str	x20, [x19, #0x18]
0xfffffff008e3d2f8: 7f1e00f9  str	xzr, [x19, #0x38]
0xfffffff008e3d2fc: 700240f9  ldr	x16, [x19]
0xfffffff008e3d300: f10313aa  mov	x17, x19
0xfffffff008e3d304: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008e3d308: 301ac1da  autda	x16, x17
0xfffffff008e3d30c: 088e49f8  ldr	x8, [x16, #0x98]!
0xfffffff008e3d310: e90310aa  mov	x9, x16
0xfffffff008e3d314: e00313aa  mov	x0, x19
0xfffffff008e3d318: f10309aa  mov	x17, x9
0xfffffff008e3d31c: d14feaf2  movk	x17, #0x527e, lsl #48
0xfffffff008e3d320: 11093fd7  blraa	x8, x17
0xfffffff008e3d324: 007c7ed3  ubfiz	x0, x0, #2, #0x20
0xfffffff008e3d328: 7066d497  bl	#0xfffffff008356ce8
0xfffffff008e3d32c: 602200f9  str	x0, [x19, #0x40]
0xfffffff008e3d330: 200200b4  cbz	x0, #0xfffffff008e3d374
0xfffffff008e3d334: 08208052  mov	w8, #0x100
0xfffffff008e3d338: 68420079  strh	w8, [x19, #0x20]
0xfffffff008e3d33c: 20008052  mov	w0, #1
0xfffffff008e3d340: 20000014  b	#0xfffffff008e3d3c0
0xfffffff008e3d344: a82cff90  adrp	x8, #0xfffffff0073d1000
0xfffffff008e3d348: 08553491  add	x8, x8, #0xd15
0xfffffff008e3d34c: e80300f9  str	x8, [sp]
0xfffffff008e3d350: a02cff90  adrp	x0, #0xfffffff0073d1000
0xfffffff008e3d354: 00e03691  add	x0, x0, #0xdb8
0xfffffff008e3d358: 18000014  b	#0xfffffff008e3d3b8
0xfffffff008e3d35c: a82cff90  adrp	x8, #0xfffffff0073d1000
0xfffffff008e3d360: 08553491  add	x8, x8, #0xd15
0xfffffff008e3d364: e80300f9  str	x8, [sp]
0xfffffff008e3d368: a02cff90  adrp	x0, #0xfffffff0073d1000
0xfffffff008e3d36c: 00303791  add	x0, x0, #0xdcc
0xfffffff008e3d370: 12000014  b	#0xfffffff008e3d3b8
0xfffffff008e3d374: a82cff90  adrp	x8, #0xfffffff0073d1000
0xfffffff008e3d378: 08553491  add	x8, x8, #0xd15
0xfffffff008e3d37c: e80300f9  str	x8, [sp]
0xfffffff008e3d380: a02cff90  adrp	x0, #0xfffffff0073d1000
0xfffffff008e3d384: 00843791  add	x0, x0, #0xde1
0xfffffff008e3d388: 0c000014  b	#0xfffffff008e3d3b8
0xfffffff008e3d38c: a82cff90  adrp	x8, #0xfffffff0073d1000
0xfffffff008e3d390: 08553491  add	x8, x8, #0xd15
0xfffffff008e3d394: e80300f9  str	x8, [sp]
0xfffffff008e3d398: a02cff90  adrp	x0, #0xfffffff0073d1000
0xfffffff008e3d39c: 00043491  add	x0, x0, #0xd01
0xfffffff008e3d3a0: 06000014  b	#0xfffffff008e3d3b8
0xfffffff008e3d3a4: a82cff90  adrp	x8, #0xfffffff0073d1000
0xfffffff008e3d3a8: 08553491  add	x8, x8, #0xd15
0xfffffff008e3d3ac: e80300f9  str	x8, [sp]
0xfffffff008e3d3b0: a02cff90  adrp	x0, #0xfffffff0073d1000
0xfffffff008e3d3b4: 008c3691  add	x0, x0, #0xda3
0xfffffff008e3d3b8: 1a67d497  bl	#0xfffffff008357020
0xfffffff008e3d3bc: 00008052  mov	w0, #0
0xfffffff008e3d3c0: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008e3d3c4: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008e3d3c8: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff008e3d3cc: ff030191  add	sp, sp, #0x40
