; Candidate 4502
; ADRP+ADD at VM 0xfffffff0087b4e4c (fileoff 0x17b0e4c): page=0x1fe97d000 add_imm=0xd90

0xfffffff0087b4dcc: bf01006b  cmp	w13, w0
0xfffffff0087b4dd0: 02ffff54  b.hs	#0xfffffff0087b4db0
0xfffffff0087b4dd4: 4d014039  ldrb	w13, [x10]
0xfffffff0087b4dd8: 3f010071  cmp	w9, #0
0xfffffff0087b4ddc: 0e01891a  csel	w14, w8, w9, eq
0xfffffff0087b4de0: bf110071  cmp	w13, #4
0xfffffff0087b4de4: 29318e1a  csel	w9, w9, w14, lo
0xfffffff0087b4de8: f2ffff17  b	#0xfffffff0087b4db0
0xfffffff0087b4dec: 49000034  cbz	w9, #0xfffffff0087b4df4
0xfffffff0087b4df0: 20090051  sub	w0, w9, #2
0xfffffff0087b4df4: c0035fd6  ret	
0xfffffff0087b4df8: 0c000000  udf	#0xc
0xfffffff0087b4dfc: 0c000000  udf	#0xc
0xfffffff0087b4e00: 0c000000  udf	#0xc
0xfffffff0087b4e04: 2c000000  udf	#0x2c
0xfffffff0087b4e08: 7f2303d5  pacibsp	
0xfffffff0087b4e0c: ff8300d1  sub	sp, sp, #0x20
0xfffffff0087b4e10: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0087b4e14: fd430091  add	x29, sp, #0x10
0xfffffff0087b4e18: 280c4079  ldrh	w8, [x1, #6]
0xfffffff0087b4e1c: 08b80eb9  str	w8, [x0, #0xeb8]
0xfffffff0087b4e20: 1ffd0371  cmp	w8, #0xff
0xfffffff0087b4e24: e8000054  b.hi	#0xfffffff0087b4e40
0xfffffff0087b4e28: 09b846f9  ldr	x9, [x0, #0xd70]
0xfffffff0087b4e2c: 8a4b8052  mov	w10, #0x25c
0xfffffff0087b4e30: 0a7daa9b  umull	x10, w8, w10
0xfffffff0087b4e34: 2a696a78  ldrh	w10, [x9, x10]
0xfffffff0087b4e38: 5f010471  cmp	w10, #0x100
0xfffffff0087b4e3c: 03020054  b.lo	#0xfffffff0087b4e7c
0xfffffff0087b4e40: 494dffd0  adrp	x9, #0xfffffff00715e000
0xfffffff0087b4e44: 296d2191  add	x9, x9, #0x85b
0xfffffff0087b4e48: e92300a9  stp	x9, x8, [sp]
0xfffffff0087b4e4c: e04bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087b4e50: 00403691  add	x0, x0, #0xd90
0xfffffff0087b4e54: 4192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b4e58: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b4e5c: c34cff90  adrp	x3, #0xfffffff00714c000
0xfffffff0087b4e60: 63801f91  add	x3, x3, #0x7e0
0xfffffff0087b4e64: 02008052  mov	w2, #0
0xfffffff0087b4e68: b2f8ed97  bl	#0xfffffff008333130
0xfffffff0087b4e6c: 00008012  mov	w0, #-1
0xfffffff0087b4e70: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0087b4e74: ff830091  add	sp, sp, #0x20
0xfffffff0087b4e78: ff0f5fd6  retab	
0xfffffff0087b4e7c: 8a4b8052  mov	w10, #0x25c
0xfffffff0087b4e80: 08250a9b  madd	x8, x8, x10, x9
0xfffffff0087b4e84: 08094039  ldrb	w8, [x8, #2]
0xfffffff0087b4e88: 08b40eb9  str	w8, [x0, #0xeb4]
0xfffffff0087b4e8c: 1f7d0071  cmp	w8, #0x1f
0xfffffff0087b4e90: e8000054  b.hi	#0xfffffff0087b4eac
0xfffffff0087b4e94: 09b446f9  ldr	x9, [x0, #0xd68]
0xfffffff0087b4e98: 0a168152  mov	w10, #0x8b0
0xfffffff0087b4e9c: 0a25aa9b  umaddl	x10, w8, w10, x9
0xfffffff0087b4ea0: 4a0d4039  ldrb	w10, [x10, #3]
0xfffffff0087b4ea4: 5f810071  cmp	w10, #0x20
0xfffffff0087b4ea8: a3010054  b.lo	#0xfffffff0087b4edc
0xfffffff0087b4eac: 494dffd0  adrp	x9, #0xfffffff00715e000
0xfffffff0087b4eb0: 296d2191  add	x9, x9, #0x85b
0xfffffff0087b4eb4: e92300a9  stp	x9, x8, [sp]
0xfffffff0087b4eb8: e04bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087b4ebc: 00403691  add	x0, x0, #0xd90
0xfffffff0087b4ec0: 4192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b4ec4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b4ec8: c34cff90  adrp	x3, #0xfffffff00714c000
