; Candidate 13747
; ADRP+ADD at VM 0xfffffff00956f228 (fileoff 0x256b228): page=0x1fdfec000 add_imm=0xd15

0xfffffff00956f1a8: 6b00b8f2  movk	x11, #0xc003, lsl #16
0xfffffff00956f1ac: 5f010beb  cmp	x10, x11
0xfffffff00956f1b0: a8000054  b.hi	#0xfffffff00956f1c4
0xfffffff00956f1b4: f32700a9  stp	x19, x9, [sp]
0xfffffff00956f1b8: 60fffe90  adrp	x0, #0xfffffff00755b000
0xfffffff00956f1bc: 00cc2f91  add	x0, x0, #0xbf3
0xfffffff00956f1c0: d5ffff17  b	#0xfffffff00956f114
0xfffffff00956f1c4: 090540f9  ldr	x9, [x8, #8]
0xfffffff00956f1c8: 3f2140f2  tst	x9, #0x1ff
0xfffffff00956f1cc: c0000054  b.eq	#0xfffffff00956f1e4
0xfffffff00956f1d0: 080540f9  ldr	x8, [x8, #8]
0xfffffff00956f1d4: f32300a9  stp	x19, x8, [sp]
0xfffffff00956f1d8: 60fffe90  adrp	x0, #0xfffffff00755b000
0xfffffff00956f1dc: 00803091  add	x0, x0, #0xc20
0xfffffff00956f1e0: cdffff17  b	#0xfffffff00956f114
0xfffffff00956f1e4: 090940f9  ldr	x9, [x8, #0x10]
0xfffffff00956f1e8: 3f2140f2  tst	x9, #0x1ff
0xfffffff00956f1ec: 00010054  b.eq	#0xfffffff00956f20c
0xfffffff00956f1f0: 090940f9  ldr	x9, [x8, #0x10]
0xfffffff00956f1f4: 082940b9  ldr	w8, [x8, #0x28]
0xfffffff00956f1f8: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff00956f1fc: f30300f9  str	x19, [sp]
0xfffffff00956f200: 60fffe90  adrp	x0, #0xfffffff00755b000
0xfffffff00956f204: 00783191  add	x0, x0, #0xc5e
0xfffffff00956f208: c3ffff17  b	#0xfffffff00956f114
0xfffffff00956f20c: 092140b9  ldr	w9, [x8, #0x20]
0xfffffff00956f210: 2901f837  tbnz	w9, #0x1f, #0xfffffff00956f234
0xfffffff00956f214: 99010837  tbnz	w25, #1, #0xfffffff00956f244
0xfffffff00956f218: e00314aa  mov	x0, x20
0xfffffff00956f21c: 72000094  bl	#0xfffffff00956f3e4
0xfffffff00956f220: 60020034  cbz	w0, #0xfffffff00956f26c
0xfffffff00956f224: f30300f9  str	x19, [sp]
0xfffffff00956f228: 60fffe90  adrp	x0, #0xfffffff00755b000
0xfffffff00956f22c: 00543491  add	x0, x0, #0xd15
0xfffffff00956f230: b9ffff17  b	#0xfffffff00956f114
0xfffffff00956f234: f32700a9  stp	x19, x9, [sp]
0xfffffff00956f238: 60fffe90  adrp	x0, #0xfffffff00755b000
0xfffffff00956f23c: 00a03291  add	x0, x0, #0xca8
0xfffffff00956f240: b5ffff17  b	#0xfffffff00956f114
0xfffffff00956f244: 090540f9  ldr	x9, [x8, #8]
0xfffffff00956f248: 080940f9  ldr	x8, [x8, #0x10]
0xfffffff00956f24c: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff00956f250: f30300f9  str	x19, [sp]
0xfffffff00956f254: 60fffe90  adrp	x0, #0xfffffff00755b000
0xfffffff00956f258: 00543391  add	x0, x0, #0xcd5
0xfffffff00956f25c: 8120a197  bl	#0xfffffff007db7460
0xfffffff00956f260: 885a40f9  ldr	x8, [x20, #0xb0]
0xfffffff00956f264: 090940f9  ldr	x9, [x8, #0x10]
0xfffffff00956f268: 090500f9  str	x9, [x8, #8]
0xfffffff00956f26c: e83740b9  ldr	w8, [sp, #0x34]
0xfffffff00956f270: e8030034  cbz	w8, #0xfffffff00956f2ec
0xfffffff00956f274: e2d30091  add	x2, sp, #0x34
0xfffffff00956f278: e00315aa  mov	x0, x21
0xfffffff00956f27c: 01838c52  mov	w1, #0x6418
0xfffffff00956f280: 8100b072  movk	w1, #0x8004, lsl #16
0xfffffff00956f284: 43008052  mov	w3, #2
0xfffffff00956f288: e40316aa  mov	x4, x22
0xfffffff00956f28c: d534a797  bl	#0xfffffff007f3c5e0
0xfffffff00956f290: e83740b9  ldr	w8, [sp, #0x34]
0xfffffff00956f294: e87f0629  stp	w8, wzr, [sp, #0x30]
0xfffffff00956f298: 895a40f9  ldr	x9, [x20, #0xb0]
0xfffffff00956f29c: 282900b9  str	w8, [x9, #0x28]
0xfffffff00956f2a0: 280500f9  str	x8, [x9, #8]
0xfffffff00956f2a4: 280900f9  str	x8, [x9, #0x10]
