; Candidate 14389
; ADRP+ADD at VM 0xfffffff00976fd74 (fileoff 0x276bd74): page=0xc1c000 add_imm=0xea8

0xfffffff00976fcf4: c00100b5  cbnz	x0, #0xfffffff00976fd2c
0xfffffff00976fcf8: 700240f9  ldr	x16, [x19]
0xfffffff00976fcfc: f10313aa  mov	x17, x19
0xfffffff00976fd00: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976fd04: 301ac1da  autda	x16, x17
0xfffffff00976fd08: 113d80d2  mov	x17, #0x1e8
0xfffffff00976fd0c: 1002118b  add	x16, x16, x17
0xfffffff00976fd10: 080240f9  ldr	x8, [x16]
0xfffffff00976fd14: e90310aa  mov	x9, x16
0xfffffff00976fd18: e00313aa  mov	x0, x19
0xfffffff00976fd1c: 010080d2  mov	x1, #0
0xfffffff00976fd20: f10309aa  mov	x17, x9
0xfffffff00976fd24: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00976fd28: 11093fd7  blraa	x8, x17
0xfffffff00976fd2c: e00313aa  mov	x0, x19
0xfffffff00976fd30: 4be3fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976fd34: e00313aa  mov	x0, x19
0xfffffff00976fd38: 49e3fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976fd3c: c00100b5  cbnz	x0, #0xfffffff00976fd74
0xfffffff00976fd40: 700240f9  ldr	x16, [x19]
0xfffffff00976fd44: f10313aa  mov	x17, x19
0xfffffff00976fd48: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976fd4c: 301ac1da  autda	x16, x17
0xfffffff00976fd50: 114380d2  mov	x17, #0x218
0xfffffff00976fd54: 1002118b  add	x16, x16, x17
0xfffffff00976fd58: 080240f9  ldr	x8, [x16]
0xfffffff00976fd5c: e90310aa  mov	x9, x16
0xfffffff00976fd60: e00313aa  mov	x0, x19
0xfffffff00976fd64: 010080d2  mov	x1, #0
0xfffffff00976fd68: f10309aa  mov	x17, x9
0xfffffff00976fd6c: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff00976fd70: 11093fd7  blraa	x8, x17
0xfffffff00976fd74: e0600090  adrp	x0, #0xfffffff00a38b000
0xfffffff00976fd78: 00a03a91  add	x0, x0, #0xea8
0xfffffff00976fd7c: f7d2ad97  bl	#0xfffffff0082e4958
0xfffffff00976fd80: f40300aa  mov	x20, x0
0xfffffff00976fd84: e00313aa  mov	x0, x19
0xfffffff00976fd88: 35e3fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976fd8c: f50300aa  mov	x21, x0
0xfffffff00976fd90: e00100b5  cbnz	x0, #0xfffffff00976fdcc
0xfffffff00976fd94: 700240f9  ldr	x16, [x19]
0xfffffff00976fd98: f10313aa  mov	x17, x19
0xfffffff00976fd9c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976fda0: 301ac1da  autda	x16, x17
0xfffffff00976fda4: 113d80d2  mov	x17, #0x1e8
0xfffffff00976fda8: 1002118b  add	x16, x16, x17
0xfffffff00976fdac: 080240f9  ldr	x8, [x16]
0xfffffff00976fdb0: e90310aa  mov	x9, x16
0xfffffff00976fdb4: e00313aa  mov	x0, x19
0xfffffff00976fdb8: 010080d2  mov	x1, #0
0xfffffff00976fdbc: f10309aa  mov	x17, x9
0xfffffff00976fdc0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00976fdc4: 11093fd7  blraa	x8, x17
0xfffffff00976fdc8: f50300aa  mov	x21, x0
0xfffffff00976fdcc: e00313aa  mov	x0, x19
0xfffffff00976fdd0: 23e3fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976fdd4: f6f0fed0  adrp	x22, #0xfffffff00758d000
0xfffffff00976fdd8: d6c63491  add	x22, x22, #0xd31
0xfffffff00976fddc: e8f0fed0  adrp	x8, #0xfffffff00758d000
0xfffffff00976fde0: 08c93491  add	x8, x8, #0xd32
0xfffffff00976fde4: 1f0000f1  cmp	x0, #0
0xfffffff00976fde8: 1701969a  csel	x23, x8, x22, eq
0xfffffff00976fdec: e00313aa  mov	x0, x19
0xfffffff00976fdf0: 1be3fc97  bl	#0xfffffff0096a8a5c
