; Candidate 14264
; ADRP+ADD at VM 0xfffffff00975b7ac (fileoff 0x27577ac): page=0xc30000 add_imm=0xea8

0xfffffff00975b72c: 995fff97  bl	#0xfffffff009733590
0xfffffff00975b730: 80c200f9  str	x0, [x20, #0x180]
0xfffffff00975b734: 95f1fed0  adrp	x21, #0xfffffff00758d000
0xfffffff00975b738: b5c63491  add	x21, x21, #0xd31
0xfffffff00975b73c: 402a00b4  cbz	x0, #0xfffffff00975bc84
0xfffffff00975b740: 3560ff97  bl	#0xfffffff009733814
0xfffffff00975b744: 900240f9  ldr	x16, [x20]
0xfffffff00975b748: f01ac1da  autda	x16, x23
0xfffffff00975b74c: 11b180d2  mov	x17, #0x588
0xfffffff00975b750: 1002118b  add	x16, x16, x17
0xfffffff00975b754: 080240f9  ldr	x8, [x16]
0xfffffff00975b758: e90310aa  mov	x9, x16
0xfffffff00975b75c: e00314aa  mov	x0, x20
0xfffffff00975b760: e1031caa  mov	x1, x28
0xfffffff00975b764: f10309aa  mov	x17, x9
0xfffffff00975b768: 5142ecf2  movk	x17, #0x6212, lsl #48
0xfffffff00975b76c: 11093fd7  blraa	x8, x17
0xfffffff00975b770: f80300aa  mov	x24, x0
0xfffffff00975b774: bc0100b4  cbz	x28, #0xfffffff00975b7a8
0xfffffff00975b778: 98010037  tbnz	w24, #0, #0xfffffff00975b7a8
0xfffffff00975b77c: 900240f9  ldr	x16, [x20]
0xfffffff00975b780: f01ac1da  autda	x16, x23
0xfffffff00975b784: 115780d2  mov	x17, #0x2b8
0xfffffff00975b788: 1002118b  add	x16, x16, x17
0xfffffff00975b78c: 080240f9  ldr	x8, [x16]
0xfffffff00975b790: e90310aa  mov	x9, x16
0xfffffff00975b794: e00314aa  mov	x0, x20
0xfffffff00975b798: e1031caa  mov	x1, x28
0xfffffff00975b79c: f10309aa  mov	x17, x9
0xfffffff00975b7a0: b110f6f2  movk	x17, #0xb085, lsl #48
0xfffffff00975b7a4: 11093fd7  blraa	x8, x17
0xfffffff00975b7a8: 98070037  tbnz	w24, #0, #0xfffffff00975b898
0xfffffff00975b7ac: 80610090  adrp	x0, #0xfffffff00a38b000
0xfffffff00975b7b0: 00a03a91  add	x0, x0, #0xea8
0xfffffff00975b7b4: 6924ae97  bl	#0xfffffff0082e4958
0xfffffff00975b7b8: f60300aa  mov	x22, x0
0xfffffff00975b7bc: e00314aa  mov	x0, x20
0xfffffff00975b7c0: a734fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975b7c4: f90300aa  mov	x25, x0
0xfffffff00975b7c8: a00100b5  cbnz	x0, #0xfffffff00975b7fc
0xfffffff00975b7cc: 900240f9  ldr	x16, [x20]
0xfffffff00975b7d0: f01ac1da  autda	x16, x23
0xfffffff00975b7d4: 113d80d2  mov	x17, #0x1e8
0xfffffff00975b7d8: 1002118b  add	x16, x16, x17
0xfffffff00975b7dc: 080240f9  ldr	x8, [x16]
0xfffffff00975b7e0: e90310aa  mov	x9, x16
0xfffffff00975b7e4: e00314aa  mov	x0, x20
0xfffffff00975b7e8: 010080d2  mov	x1, #0
0xfffffff00975b7ec: f10309aa  mov	x17, x9
0xfffffff00975b7f0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00975b7f4: 11093fd7  blraa	x8, x17
0xfffffff00975b7f8: f90300aa  mov	x25, x0
0xfffffff00975b7fc: e00314aa  mov	x0, x20
0xfffffff00975b800: 9734fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975b804: 1f0000f1  cmp	x0, #0
0xfffffff00975b808: 88f1fed0  adrp	x8, #0xfffffff00758d000
0xfffffff00975b80c: 08c93491  add	x8, x8, #0xd32
0xfffffff00975b810: 1301959a  csel	x19, x8, x21, eq
0xfffffff00975b814: e00314aa  mov	x0, x20
0xfffffff00975b818: 9134fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975b81c: a00100b5  cbnz	x0, #0xfffffff00975b850
0xfffffff00975b820: 900240f9  ldr	x16, [x20]
0xfffffff00975b824: f01ac1da  autda	x16, x23
0xfffffff00975b828: 114380d2  mov	x17, #0x218
