; Candidate 2390
; ADRP+ADD at VM 0xfffffff0086448a8 (fileoff 0x16408a8): page=0x1feace000 add_imm=0xde5

0xfffffff008644828: a88a00f9  str	x8, [x21, #0x110]
0xfffffff00864482c: b41a01b9  str	w20, [x21, #0x118]
0xfffffff008644830: a0820491  add	x0, x21, #0x120
0xfffffff008644834: f727dd97  bl	#0xfffffff007d8e810
0xfffffff008644838: 88008052  mov	w8, #4
0xfffffff00864483c: a81e01b9  str	w8, [x21, #0x11c]
0xfffffff008644840: bf9600f9  str	xzr, [x21, #0x128]
0xfffffff008644844: 88578052  mov	w8, #0x2bc
0xfffffff008644848: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff00864484c: a83201b9  str	w8, [x21, #0x130]
0xfffffff008644850: a08648ad  ldp	q0, q1, [x21, #0x110]
0xfffffff008644854: a89a40f9  ldr	x8, [x21, #0x130]
0xfffffff008644858: 681200f9  str	x8, [x19, #0x20]
0xfffffff00864485c: 600600ad  stp	q0, q1, [x19]
0xfffffff008644860: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008644864: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008644868: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff00864486c: ff030191  add	sp, sp, #0x40
0xfffffff008644870: ff0f5fd6  retab	
0xfffffff008644874: 7f2303d5  pacibsp	
0xfffffff008644878: ff4302d1  sub	sp, sp, #0x90
0xfffffff00864487c: fc6f03a9  stp	x28, x27, [sp, #0x30]
0xfffffff008644880: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff008644884: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff008644888: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff00864488c: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff008644890: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff008644894: fd030291  add	x29, sp, #0x80
0xfffffff008644898: f30300aa  mov	x19, x0
0xfffffff00864489c: 7956ffd0  adrp	x25, #0xfffffff007112000
0xfffffff0086448a0: 39e73791  add	x25, x25, #0xdf9
0xfffffff0086448a4: f90300f9  str	x25, [sp]
0xfffffff0086448a8: 6056ffd0  adrp	x0, #0xfffffff007112000
0xfffffff0086448ac: 00943791  add	x0, x0, #0xde5
0xfffffff0086448b0: f4eeff97  bl	#0xfffffff008640480
0xfffffff0086448b4: 74420491  add	x20, x19, #0x110
0xfffffff0086448b8: 7656ffd0  adrp	x22, #0xfffffff007112000
0xfffffff0086448bc: d6e63891  add	x22, x22, #0xe39
0xfffffff0086448c0: 7756ffd0  adrp	x23, #0xfffffff007112000
0xfffffff0086448c4: f70a3a91  add	x23, x23, #0xe82
0xfffffff0086448c8: 88008052  mov	w8, #4
0xfffffff0086448cc: fa0308aa  mov	x26, x8
0xfffffff0086448d0: ff7f02a9  stp	xzr, xzr, [sp, #0x20]
0xfffffff0086448d4: e0a30091  add	x0, sp, #0x28
0xfffffff0086448d8: ce27dd97  bl	#0xfffffff007d8e810
0xfffffff0086448dc: e2830091  add	x2, sp, #0x20
0xfffffff0086448e0: 00198052  mov	w0, #0xc8
0xfffffff0086448e4: 01488852  mov	w1, #0x4240
0xfffffff0086448e8: e101a072  movk	w1, #0xf, lsl #16
0xfffffff0086448ec: 6827dd97  bl	#0xfffffff007d8e68c
0xfffffff0086448f0: f96b00a9  stp	x25, x26, [sp]
0xfffffff0086448f4: 6056ffd0  adrp	x0, #0xfffffff007112000
0xfffffff0086448f8: 002c3891  add	x0, x0, #0xe0b
0xfffffff0086448fc: e1eeff97  bl	#0xfffffff008640480
0xfffffff008644900: 60a240f9  ldr	x0, [x19, #0x140]
0xfffffff008644904: e21340f9  ldr	x2, [sp, #0x20]
0xfffffff008644908: 100040f9  ldr	x16, [x0]
0xfffffff00864490c: f10300aa  mov	x17, x0
0xfffffff008644910: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008644914: 301ac1da  autda	x16, x17
0xfffffff008644918: f10310aa  mov	x17, x16
0xfffffff00864491c: f147c1da  xpacd	x17
0xfffffff008644920: 1f0211eb  cmp	x16, x17
0xfffffff008644924: 40000054  b.eq	#0xfffffff00864492c
