; Candidate 11313
; ADRP+ADD at VM 0xfffffff008eea8ec (fileoff 0x1ee68ec): page=0x1fe51d000 add_imm=0xe3f

0xfffffff008eea86c: a3000014  b	#0xfffffff008eeaaf8
0xfffffff008eea870: 48008052  mov	w8, #2
0xfffffff008eea874: e80300f9  str	x8, [sp]
0xfffffff008eea878: e028ffd0  adrp	x0, #0xfffffff007408000
0xfffffff008eea87c: 00542491  add	x0, x0, #0x915
0xfffffff008eea880: d8feff17  b	#0xfffffff008eea3e0
0xfffffff008eea884: 48008052  mov	w8, #2
0xfffffff008eea888: e85f00a9  stp	x8, x23, [sp]
0xfffffff008eea88c: e028ffd0  adrp	x0, #0xfffffff007408000
0xfffffff008eea890: 00542591  add	x0, x0, #0x955
0xfffffff008eea894: d3feff17  b	#0xfffffff008eea3e0
0xfffffff008eea898: 37008052  mov	w23, #1
0xfffffff008eea89c: ecfeff17  b	#0xfffffff008eea44c
0xfffffff008eea8a0: e00317aa  mov	x0, x23
0xfffffff008eea8a4: 807dca97  bl	#0xfffffff008189ea4
0xfffffff008eea8a8: 000d00b4  cbz	x0, #0xfffffff008eeaa48
0xfffffff008eea8ac: f70300aa  mov	x23, x0
0xfffffff008eea8b0: 757eca97  bl	#0xfffffff00818a284
0xfffffff008eea8b4: 4861ff90  adrp	x8, #0xfffffff007b12000
0xfffffff008eea8b8: 08e12791  add	x8, x8, #0x9f8
0xfffffff008eea8bc: 010140f9  ldr	x1, [x8]
0xfffffff008eea8c0: 0de5cf97  bl	#0xfffffff0082e3cf4
0xfffffff008eea8c4: 001000b4  cbz	x0, #0xfffffff008eeaac4
0xfffffff008eea8c8: 4861ffd0  adrp	x8, #0xfffffff007b14000
0xfffffff008eea8cc: 08610091  add	x8, x8, #0x18
0xfffffff008eea8d0: 027978f8  ldr	x2, [x8, x24, lsl #3]
0xfffffff008eea8d4: e128ffb0  adrp	x1, #0xfffffff007407000
0xfffffff008eea8d8: 21f02d91  add	x1, x1, #0xb7c
0xfffffff008eea8dc: a7deff97  bl	#0xfffffff008ee2378
0xfffffff008eea8e0: 20100036  tbz	w0, #0, #0xfffffff008eeaae4
0xfffffff008eea8e4: e84b40f9  ldr	x8, [sp, #0x90]
0xfffffff008eea8e8: e80300f9  str	x8, [sp]
0xfffffff008eea8ec: e028ffb0  adrp	x0, #0xfffffff007407000
0xfffffff008eea8f0: 00fc3891  add	x0, x0, #0xe3f
0xfffffff008eea8f4: cbb1d197  bl	#0xfffffff008357020
0xfffffff008eea8f8: e9cf4da9  ldp	x9, x19, [sp, #0xd8]
0xfffffff008eea8fc: 680240b9  ldr	w8, [x19]
0xfffffff008eea900: 08011232  orr	w8, w8, #0x4000
0xfffffff008eea904: 680200b9  str	w8, [x19]
0xfffffff008eea908: 28018052  mov	w8, #9
0xfffffff008eea90c: 280100b9  str	w8, [x9]
0xfffffff008eea910: e228ffb0  adrp	x2, #0xfffffff007407000
0xfffffff008eea914: 427c3991  add	x2, x2, #0xe5f
0xfffffff008eea918: f66740f9  ldr	x22, [sp, #0xc8]
0xfffffff008eea91c: e00316aa  mov	x0, x22
0xfffffff008eea920: 21018052  mov	w1, #9
0xfffffff008eea924: f1fdff17  b	#0xfffffff008eea0e8
0xfffffff008eea928: e00316aa  mov	x0, x22
0xfffffff008eea92c: 2d06d097  bl	#0xfffffff0082ec1e0
0xfffffff008eea930: c00a00b4  cbz	x0, #0xfffffff008eeaa88
0xfffffff008eea934: f30300aa  mov	x19, x0
0xfffffff008eea938: d00240f9  ldr	x16, [x22]
0xfffffff008eea93c: f10316aa  mov	x17, x22
0xfffffff008eea940: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008eea944: 301ac1da  autda	x16, x17
0xfffffff008eea948: 080e49f8  ldr	x8, [x16, #0x90]!
0xfffffff008eea94c: e90310aa  mov	x9, x16
0xfffffff008eea950: e00316aa  mov	x0, x22
0xfffffff008eea954: f10309aa  mov	x17, x9
0xfffffff008eea958: 113de5f2  movk	x17, #0x29e8, lsl #48
0xfffffff008eea95c: 11093fd7  blraa	x8, x17
0xfffffff008eea960: 00080034  cbz	w0, #0xfffffff008eeaa60
0xfffffff008eea964: 2861fff0  adrp	x8, #0xfffffff007b11000
0xfffffff008eea968: 082143f9  ldr	x8, [x8, #0x640]
