; Candidate 1912
; ADRP+ADD at VM 0xfffffff00853b7bc (fileoff 0x15377bc): page=0x1feba6000 add_imm=0xe39

0xfffffff00853b73c: ffa0f697  bl	#0xfffffff0082e3b38
0xfffffff00853b740: 10a3ffd0  adrp	x16, #0xfffffff00799d000
0xfffffff00853b744: 10621791  add	x16, x16, #0x5d8
0xfffffff00853b748: 10420091  add	x16, x16, #0x10
0xfffffff00853b74c: f10300aa  mov	x17, x0
0xfffffff00853b750: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00853b754: 300ac1da  pacda	x16, x17
0xfffffff00853b758: 100000f9  str	x16, [x0]
0xfffffff00853b75c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00853b760: ff0f5fd6  retab	
0xfffffff00853b764: 5f2403d5  bti	c
0xfffffff00853b768: c0ec00f0  adrp	x0, #0xfffffff00a2d6000
0xfffffff00853b76c: 00400591  add	x0, x0, #0x150
0xfffffff00853b770: e1a3f617  b	#0xfffffff0082e46f4
0xfffffff00853b774: 7f2303d5  pacibsp	
0xfffffff00853b778: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00853b77c: fd030091  mov	x29, sp
0xfffffff00853b780: 205dffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff00853b784: 00603791  add	x0, x0, #0xdd8
0xfffffff00853b788: acb6f797  bl	#0xfffffff008329238
0xfffffff00853b78c: c8ec00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00853b790: 00e505f9  str	x0, [x8, #0xbc8]
0xfffffff00853b794: 205dffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff00853b798: 00083891  add	x0, x0, #0xe02
0xfffffff00853b79c: a7b6f797  bl	#0xfffffff008329238
0xfffffff00853b7a0: c8ec00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00853b7a4: 00e905f9  str	x0, [x8, #0xbd0]
0xfffffff00853b7a8: 205dffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff00853b7ac: 00883891  add	x0, x0, #0xe22
0xfffffff00853b7b0: a2b6f797  bl	#0xfffffff008329238
0xfffffff00853b7b4: c8ec00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00853b7b8: 00ed05f9  str	x0, [x8, #0xbd8]
0xfffffff00853b7bc: 205dffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff00853b7c0: 00e43891  add	x0, x0, #0xe39
0xfffffff00853b7c4: 9db6f797  bl	#0xfffffff008329238
0xfffffff00853b7c8: c8ec00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00853b7cc: 00f105f9  str	x0, [x8, #0xbe0]
0xfffffff00853b7d0: 205dffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff00853b7d4: 004c3991  add	x0, x0, #0xe53
0xfffffff00853b7d8: 98b6f797  bl	#0xfffffff008329238
0xfffffff00853b7dc: c8ec00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00853b7e0: 00f505f9  str	x0, [x8, #0xbe8]
0xfffffff00853b7e4: 205dffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff00853b7e8: 00bc3991  add	x0, x0, #0xe6f
0xfffffff00853b7ec: 93b6f797  bl	#0xfffffff008329238
0xfffffff00853b7f0: c8ec00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00853b7f4: 00f905f9  str	x0, [x8, #0xbf0]
0xfffffff00853b7f8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00853b7fc: ff0f5fd6  retab	
0xfffffff00853b800: 7f2303d5  pacibsp	
0xfffffff00853b804: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff00853b808: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff00853b80c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00853b810: fd830091  add	x29, sp, #0x20
0xfffffff00853b814: 5f040031  cmn	w2, #1
0xfffffff00853b818: 60070054  b.eq	#0xfffffff00853b904
0xfffffff00853b81c: f50302aa  mov	x21, x2
0xfffffff00853b820: f30300aa  mov	x19, x0
0xfffffff00853b824: 081040b9  ldr	w8, [x0, #0x10]
0xfffffff00853b828: 1f01026b  cmp	w8, w2
0xfffffff00853b82c: cd060054  b.le	#0xfffffff00853b904
0xfffffff00853b830: f40301aa  mov	x20, x1
0xfffffff00853b834: 600640f9  ldr	x0, [x19, #8]
0xfffffff00853b838: 2e70f897  bl	#0xfffffff0083578f0
