; Candidate 16758
; ADRP+ADD at VM 0xfffffff009f4ba84 (fileoff 0x2f47a84): page=0x1fd916000 add_imm=0xdbd

0xfffffff009f4ba04: 2b01168b  add	x11, x9, x22
0xfffffff009f4ba08: 3f0100f1  cmp	x9, #0
0xfffffff009f4ba0c: ecc3959a  csel	x12, xzr, x21, gt
0xfffffff009f4ba10: df010aeb  cmp	x14, x10
0xfffffff009f4ba14: 84208b9a  csel	x4, x4, x11, hs
0xfffffff009f4ba18: 9c23899a  csel	x28, x28, x9, hs
0xfffffff009f4ba1c: b5228c9a  csel	x21, x21, x12, hs
0xfffffff009f4ba20: e9f741b9  ldr	w9, [sp, #0x1f4]
0xfffffff009f4ba24: 49050034  cbz	w9, #0xfffffff009f4bacc
0xfffffff009f4ba28: eb2f41f9  ldr	x11, [sp, #0x258]
0xfffffff009f4ba2c: 690116eb  subs	x9, x11, x22
0xfffffff009f4ba30: e9040054  b.ls	#0xfffffff009f4bacc
0xfffffff009f4ba34: 2a03168b  add	x10, x25, x22
0xfffffff009f4ba38: 7f010aeb  cmp	x11, x10
0xfffffff009f4ba3c: 82040054  b.hs	#0xfffffff009f4bacc
0xfffffff009f4ba40: eabf41b9  ldr	w10, [sp, #0x1bc]
0xfffffff009f4ba44: aa030036  tbz	w10, #0, #0xfffffff009f4bab8
0xfffffff009f4ba48: 28008052  mov	w8, #1
0xfffffff009f4ba4c: 20000014  b	#0xfffffff009f4bacc
0xfffffff009f4ba50: 486540f9  ldr	x8, [x10, #0xc8]
0xfffffff009f4ba54: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009f4ba58: ca0540f9  ldr	x10, [x14, #8]
0xfffffff009f4ba5c: f62703a9  stp	x22, x9, [sp, #0x30]
0xfffffff009f4ba60: f62b41f9  ldr	x22, [sp, #0x250]
0xfffffff009f4ba64: ea5b02a9  stp	x10, x22, [sp, #0x20]
0xfffffff009f4ba68: e9ab40f9  ldr	x9, [sp, #0x150]
0xfffffff009f4ba6c: e90f00f9  str	x9, [sp, #0x18]
0xfffffff009f4ba70: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009f4ba74: e9618352  mov	w9, #0x1b0f
0xfffffff009f4ba78: a8c8fed0  adrp	x8, #0xfffffff007861000
0xfffffff009f4ba7c: 08793091  add	x8, x8, #0xc1e
0xfffffff009f4ba80: e82700a9  stp	x8, x9, [sp]
0xfffffff009f4ba84: a0c8fed0  adrp	x0, #0xfffffff007861000
0xfffffff009f4ba88: 00f43691  add	x0, x0, #0xdbd
0xfffffff009f4ba8c: f5030eaa  mov	x21, x14
0xfffffff009f4ba90: 8dcffc97  bl	#0xfffffff009e7f8c4
0xfffffff009f4ba94: fc0741f9  ldr	x28, [sp, #0x208]
0xfffffff009f4ba98: a82240b9  ldr	w8, [x21, #0x20]
0xfffffff009f4ba9c: 6aa64429  ldp	w10, w9, [x19, #0x24]
0xfffffff009f4baa0: 2859089b  madd	x8, x9, x8, x22
0xfffffff009f4baa4: 4829089b  madd	x8, x10, x8, x10
0xfffffff009f4baa8: ed5741f9  ldr	x13, [sp, #0x2a8]
0xfffffff009f4baac: eb7742b9  ldr	w11, [sp, #0x274]
0xfffffff009f4bab0: ee0315aa  mov	x14, x21
0xfffffff009f4bab4: 7f000014  b	#0xfffffff009f4bcb0
0xfffffff009f4bab8: 3f011ceb  cmp	x9, x28
0xfffffff009f4babc: 3c819c9a  csel	x28, x9, x28, hi
0xfffffff009f4bac0: 8403168b  add	x4, x28, x22
0xfffffff009f4bac4: 9f0300f1  cmp	x28, #0
0xfffffff009f4bac8: f5c3959a  csel	x21, xzr, x21, gt
0xfffffff009f4bacc: ed0300b4  cbz	x13, #0xfffffff009f4bb48
0xfffffff009f4bad0: f5c300f9  str	x21, [sp, #0x180]
0xfffffff009f4bad4: 8903168b  add	x9, x28, x22
0xfffffff009f4bad8: 2a03168b  add	x10, x25, x22
0xfffffff009f4badc: ebf340f9  ldr	x11, [sp, #0x1e0]
0xfffffff009f4bae0: 7f010aeb  cmp	x11, x10
0xfffffff009f4bae4: ebff40f9  ldr	x11, [sp, #0x1f8]
0xfffffff009f4bae8: 622149fa  ccmp	x11, x9, #2, hs
0xfffffff009f4baec: 0b818f1a  csel	w11, w8, w15, hi
0xfffffff009f4baf0: ec1342b9  ldr	w12, [sp, #0x210]
0xfffffff009f4baf4: 1f020c6b  cmp	w16, w12
0xfffffff009f4baf8: 08118b1a  csel	w8, w8, w11, ne
0xfffffff009f4bafc: 1f010071  cmp	w8, #0
0xfffffff009f4bb00: eb079f1a  cset	w11, ne
