; Candidate 7486
; ADRP+ADD at VM 0xfffffff00886fc74 (fileoff 0x186bc74): page=0x1fe9a4000 add_imm=0xe0f

0xfffffff00886fbf4: e00314aa  mov	x0, x20
0xfffffff00886fbf8: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff00886fbfc: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff00886fc00: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff00886fc04: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff00886fc08: ff030291  add	sp, sp, #0x80
0xfffffff00886fc0c: ff0f5fd6  retab	
0xfffffff00886fc10: 7f2303d5  pacibsp	
0xfffffff00886fc14: ff8301d1  sub	sp, sp, #0x60
0xfffffff00886fc18: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff00886fc1c: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff00886fc20: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff00886fc24: fd430191  add	x29, sp, #0x50
0xfffffff00886fc28: f30300aa  mov	x19, x0
0xfffffff00886fc2c: 600b8052  mov	w0, #0x5b
0xfffffff00886fc30: 01018052  mov	w1, #8
0xfffffff00886fc34: e72e0094  bl	#0xfffffff00887b7d0
0xfffffff00886fc38: a0040034  cbz	w0, #0xfffffff00886fccc
0xfffffff00886fc3c: 600b8052  mov	w0, #0x5b
0xfffffff00886fc40: f62e0094  bl	#0xfffffff00887b818
0xfffffff00886fc44: f50300aa  mov	x21, x0
0xfffffff00886fc48: 59110194  bl	#0xfffffff0088b41ac
0xfffffff00886fc4c: f40300aa  mov	x20, x0
0xfffffff00886fc50: 00018052  mov	w0, #8
0xfffffff00886fc54: ff2e0094  bl	#0xfffffff00887b850
0xfffffff00886fc58: 75010034  cbz	w21, #0xfffffff00886fc84
0xfffffff00886fc5c: c84dfff0  adrp	x8, #0xfffffff00722a000
0xfffffff00886fc60: 08692291  add	x8, x8, #0x89a
0xfffffff00886fc64: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00886fc68: 680b8052  mov	w8, #0x5b
0xfffffff00886fc6c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00886fc70: f40300f9  str	x20, [sp]
0xfffffff00886fc74: 204dff90  adrp	x0, #0xfffffff007213000
0xfffffff00886fc78: 003c3891  add	x0, x0, #0xe0f
0xfffffff00886fc7c: f91dd597  bl	#0xfffffff007db7460
0xfffffff00886fc80: 13000014  b	#0xfffffff00886fccc
0xfffffff00886fc84: 4a110194  bl	#0xfffffff0088b41ac
0xfffffff00886fc88: f40300aa  mov	x20, x0
0xfffffff00886fc8c: 00018052  mov	w0, #8
0xfffffff00886fc90: f02e0094  bl	#0xfffffff00887b850
0xfffffff00886fc94: c84dfff0  adrp	x8, #0xfffffff00722a000
0xfffffff00886fc98: 08692291  add	x8, x8, #0x89a
0xfffffff00886fc9c: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00886fca0: 680b8052  mov	w8, #0x5b
0xfffffff00886fca4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00886fca8: f40300f9  str	x20, [sp]
0xfffffff00886fcac: c04bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00886fcb0: 00003a91  add	x0, x0, #0xe80
0xfffffff00886fcb4: c18cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00886fcb8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00886fcbc: 434fffb0  adrp	x3, #0xfffffff007258000
0xfffffff00886fcc0: 63182e91  add	x3, x3, #0xb86
0xfffffff00886fcc4: 02008052  mov	w2, #0
0xfffffff00886fcc8: 1a0deb97  bl	#0xfffffff008333130
0xfffffff00886fccc: e00313aa  mov	x0, x19
0xfffffff00886fcd0: 01009052  mov	w1, #0x8000
0xfffffff00886fcd4: e102a072  movk	w1, #0x17, lsl #16
0xfffffff00886fcd8: 02048052  mov	w2, #0x20
0xfffffff00886fcdc: c202a072  movk	w2, #0x16, lsl #16
0xfffffff00886fce0: 23008052  mov	w3, #1
0xfffffff00886fce4: 5f170094  bl	#0xfffffff008875a60
0xfffffff00886fce8: f40300aa  mov	x20, x0
0xfffffff00886fcec: 600b8052  mov	w0, #0x5b
0xfffffff00886fcf0: 01018052  mov	w1, #8
