; Candidate 8414
; ADRP+ADD at VM 0xfffffff0088a94b4 (fileoff 0x18a54b4): page=0x1fe96a000 add_imm=0xe0f

0xfffffff0088a9434: e00315aa  mov	x0, x21
0xfffffff0088a9438: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0088a943c: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0088a9440: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0088a9444: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0088a9448: ff030291  add	sp, sp, #0x80
0xfffffff0088a944c: ff0f5fd6  retab	
0xfffffff0088a9450: 7f2303d5  pacibsp	
0xfffffff0088a9454: ffc301d1  sub	sp, sp, #0x70
0xfffffff0088a9458: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff0088a945c: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff0088a9460: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff0088a9464: fd830191  add	x29, sp, #0x60
0xfffffff0088a9468: f30300aa  mov	x19, x0
0xfffffff0088a946c: c00f8052  mov	w0, #0x7e
0xfffffff0088a9470: c1008052  mov	w1, #6
0xfffffff0088a9474: d748ff97  bl	#0xfffffff00887b7d0
0xfffffff0088a9478: 40020034  cbz	w0, #0xfffffff0088a94c0
0xfffffff0088a947c: c00f8052  mov	w0, #0x7e
0xfffffff0088a9480: e648ff97  bl	#0xfffffff00887b818
0xfffffff0088a9484: f50300aa  mov	x21, x0
0xfffffff0088a9488: 492b0094  bl	#0xfffffff0088b41ac
0xfffffff0088a948c: f40300aa  mov	x20, x0
0xfffffff0088a9490: c0008052  mov	w0, #6
0xfffffff0088a9494: ef48ff97  bl	#0xfffffff00887b850
0xfffffff0088a9498: f5010034  cbz	w21, #0xfffffff0088a94d4
0xfffffff0088a949c: 484cffb0  adrp	x8, #0xfffffff007232000
0xfffffff0088a94a0: 08193e91  add	x8, x8, #0xf86
0xfffffff0088a94a4: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088a94a8: c80f8052  mov	w8, #0x7e
0xfffffff0088a94ac: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088a94b0: f40300f9  str	x20, [sp]
0xfffffff0088a94b4: 404bffd0  adrp	x0, #0xfffffff007213000
0xfffffff0088a94b8: 003c3891  add	x0, x0, #0xe0f
0xfffffff0088a94bc: e937d497  bl	#0xfffffff007db7460
0xfffffff0088a94c0: 130300b4  cbz	x19, #0xfffffff0088a9520
0xfffffff0088a94c4: 60820391  add	x0, x19, #0xe0
0xfffffff0088a94c8: 2b18fe97  bl	#0xfffffff00882f574
0xfffffff0088a94cc: 14008052  mov	w20, #0
0xfffffff0088a94d0: 45000014  b	#0xfffffff0088a95e4
0xfffffff0088a94d4: 362b0094  bl	#0xfffffff0088b41ac
0xfffffff0088a94d8: f40300aa  mov	x20, x0
0xfffffff0088a94dc: c0008052  mov	w0, #6
0xfffffff0088a94e0: dc48ff97  bl	#0xfffffff00887b850
0xfffffff0088a94e4: 484cffb0  adrp	x8, #0xfffffff007232000
0xfffffff0088a94e8: 08193e91  add	x8, x8, #0xf86
0xfffffff0088a94ec: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088a94f0: c80f8052  mov	w8, #0x7e
0xfffffff0088a94f4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088a94f8: f40300f9  str	x20, [sp]
0xfffffff0088a94fc: 004aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a9500: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a9504: e18afff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088a9508: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a950c: c34dffd0  adrp	x3, #0xfffffff007263000
0xfffffff0088a9510: 63800191  add	x3, x3, #0x60
0xfffffff0088a9514: 02008052  mov	w2, #0
0xfffffff0088a9518: 0627ea97  bl	#0xfffffff008333130
0xfffffff0088a951c: 53fdffb5  cbnz	x19, #0xfffffff0088a94c4
0xfffffff0088a9520: c00f8052  mov	w0, #0x7e
0xfffffff0088a9524: 81008052  mov	w1, #4
0xfffffff0088a9528: aa48ff97  bl	#0xfffffff00887b7d0
0xfffffff0088a952c: a0050034  cbz	w0, #0xfffffff0088a95e0
0xfffffff0088a9530: c00f8052  mov	w0, #0x7e
