; Candidate 12514
; ADRP+ADD at VM 0xfffffff0090ab950 (fileoff 0x20a7950): page=0x1feaa0000 add_imm=0xda0

0xfffffff0090ab8d0: c91dffd0  adrp	x9, #0xfffffff007465000
0xfffffff0090ab8d4: 29a90a91  add	x9, x9, #0x2aa
0xfffffff0090ab8d8: f72700a9  stp	x23, x9, [sp]
0xfffffff0090ab8dc: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090ab8e0: 601dffd0  adrp	x0, #0xfffffff007459000
0xfffffff0090ab8e4: 00903891  add	x0, x0, #0xe24
0xfffffff0090ab8e8: ceadca97  bl	#0xfffffff008357020
0xfffffff0090ab8ec: e00314aa  mov	x0, x20
0xfffffff0090ab8f0: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0090ab8f4: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0090ab8f8: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0090ab8fc: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff0090ab900: ffc30191  add	sp, sp, #0x70
0xfffffff0090ab904: ff0f5fd6  retab	
0xfffffff0090ab908: 9f2403d5  bti	j
0xfffffff0090ab90c: a8368052  mov	w8, #0x1b5
0xfffffff0090ab910: c91dffb0  adrp	x9, #0xfffffff007464000
0xfffffff0090ab914: 29a52d91  add	x9, x9, #0xb69
0xfffffff0090ab918: e81300f9  str	x8, [sp, #0x20]
0xfffffff0090ab91c: 681dffd0  adrp	x8, #0xfffffff007459000
0xfffffff0090ab920: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090ab924: 6a1dfff0  adrp	x10, #0xfffffff00745a000
0xfffffff0090ab928: 4a713791  add	x10, x10, #0xddc
0xfffffff0090ab92c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff0090ab930: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff0090ab934: 601dffd0  adrp	x0, #0xfffffff007459000
0xfffffff0090ab938: 00d42c91  add	x0, x0, #0xb35
0xfffffff0090ab93c: b9adca97  bl	#0xfffffff008357020
0xfffffff0090ab940: 54008012  mov	w20, #-3
0xfffffff0090ab944: c8088052  mov	w8, #0x46
0xfffffff0090ab948: deffff17  b	#0xfffffff0090ab8c0
0xfffffff0090ab94c: 9f2403d5  bti	j
0xfffffff0090ab950: 0055ff90  adrp	x0, #0xfffffff007b4b000
0xfffffff0090ab954: 00803691  add	x0, x0, #0xda0
0xfffffff0090ab958: 81028052  mov	w1, #0x14
0xfffffff0090ab95c: 1dadca97  bl	#0xfffffff008356dd0
0xfffffff0090ab960: f60300aa  mov	x22, x0
0xfffffff0090ab964: c01dffd0  adrp	x0, #0xfffffff007465000
0xfffffff0090ab968: 006c0c91  add	x0, x0, #0x31b
0xfffffff0090ab96c: c31dffb0  adrp	x3, #0xfffffff007464000
0xfffffff0090ab970: 63a42d91  add	x3, x3, #0xb69
0xfffffff0090ab974: c51dffd0  adrp	x5, #0xfffffff007465000
0xfffffff0090ab978: a5a80a91  add	x5, x5, #0x2aa
0xfffffff0090ab97c: e10316aa  mov	x1, x22
0xfffffff0090ab980: 82028052  mov	w2, #0x14
0xfffffff0090ab984: 242a8052  mov	w4, #0x151
0xfffffff0090ab988: 11010014  b	#0xfffffff0090abdcc
0xfffffff0090ab98c: 9f2403d5  bti	j
0xfffffff0090ab990: 0055ff90  adrp	x0, #0xfffffff007b4b000
0xfffffff0090ab994: 00c03791  add	x0, x0, #0xdf0
0xfffffff0090ab998: 81028052  mov	w1, #0x14
0xfffffff0090ab99c: 0dadca97  bl	#0xfffffff008356dd0
0xfffffff0090ab9a0: f60300aa  mov	x22, x0
0xfffffff0090ab9a4: c01dffd0  adrp	x0, #0xfffffff007465000
0xfffffff0090ab9a8: 00200e91  add	x0, x0, #0x388
0xfffffff0090ab9ac: c31dffb0  adrp	x3, #0xfffffff007464000
0xfffffff0090ab9b0: 63a42d91  add	x3, x3, #0xb69
0xfffffff0090ab9b4: c51dffd0  adrp	x5, #0xfffffff007465000
0xfffffff0090ab9b8: a5a80a91  add	x5, x5, #0x2aa
0xfffffff0090ab9bc: e10316aa  mov	x1, x22
0xfffffff0090ab9c0: 82028052  mov	w2, #0x14
0xfffffff0090ab9c4: c42a8052  mov	w4, #0x156
0xfffffff0090ab9c8: 01010014  b	#0xfffffff0090abdcc
0xfffffff0090ab9cc: 9f2403d5  bti	j
