; Candidate 6965
; ADRP+ADD at VM 0xfffffff00884d1f8 (fileoff 0x18491f8): page=0x1fe99c000 add_imm=0xe80

0xfffffff00884d178: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00884d17c: c84effd0  adrp	x8, #0xfffffff007227000
0xfffffff00884d180: 08811191  add	x8, x8, #0x460
0xfffffff00884d184: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00884d188: e80d8052  mov	w8, #0x6f
0xfffffff00884d18c: a04eff90  adrp	x0, #0xfffffff007221000
0xfffffff00884d190: 00e01f91  add	x0, x0, #0x7f8
0xfffffff00884d194: f72300a9  stp	x23, x8, [sp]
0xfffffff00884d198: 3f000014  b	#0xfffffff00884d294
0xfffffff00884d19c: 049c0194  bl	#0xfffffff0088b41ac
0xfffffff00884d1a0: f80300aa  mov	x24, x0
0xfffffff00884d1a4: 80008052  mov	w0, #4
0xfffffff00884d1a8: aab90094  bl	#0xfffffff00887b850
0xfffffff00884d1ac: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00884d1b0: e90316aa  mov	x9, x22
0xfffffff00884d1b4: e9df05a9  stp	x9, x23, [sp, #0x58]
0xfffffff00884d1b8: f4d704a9  stp	x20, x21, [sp, #0x48]
0xfffffff00884d1bc: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00884d1c0: c84effb0  adrp	x8, #0xfffffff007226000
0xfffffff00884d1c4: 0af50191  add	x10, x8, #0x7d
0xfffffff00884d1c8: 28158052  mov	w8, #0xa9
0xfffffff00884d1cc: c94eff90  adrp	x9, #0xfffffff007225000
0xfffffff00884d1d0: 29c53d91  add	x9, x9, #0xf71
0xfffffff00884d1d4: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00884d1d8: c84effd0  adrp	x8, #0xfffffff007227000
0xfffffff00884d1dc: 08811191  add	x8, x8, #0x460
0xfffffff00884d1e0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00884d1e4: e80d8052  mov	w8, #0x6f
0xfffffff00884d1e8: 2350ff90  adrp	x3, #0xfffffff007251000
0xfffffff00884d1ec: 63b43e91  add	x3, x3, #0xfad
0xfffffff00884d1f0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00884d1f4: f80300f9  str	x24, [sp]
0xfffffff00884d1f8: e04cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00884d1fc: 00003a91  add	x0, x0, #0xe80
0xfffffff00884d200: c18dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff00884d204: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884d208: 02008052  mov	w2, #0
0xfffffff00884d20c: c997eb97  bl	#0xfffffff008333130
0xfffffff00884d210: 187d8012  mov	w24, #-0x3e9
0xfffffff00884d214: ad000014  b	#0xfffffff00884d4c8
0xfffffff00884d218: e00d8052  mov	w0, #0x6f
0xfffffff00884d21c: 81008052  mov	w1, #4
0xfffffff00884d220: 6cb90094  bl	#0xfffffff00887b7d0
0xfffffff00884d224: 00150034  cbz	w0, #0xfffffff00884d4c4
0xfffffff00884d228: e00d8052  mov	w0, #0x6f
0xfffffff00884d22c: 7bb90094  bl	#0xfffffff00887b818
0xfffffff00884d230: f90300aa  mov	x25, x0
0xfffffff00884d234: de9b0194  bl	#0xfffffff0088b41ac
0xfffffff00884d238: f80300aa  mov	x24, x0
0xfffffff00884d23c: 80008052  mov	w0, #4
0xfffffff00884d240: 84b90094  bl	#0xfffffff00887b850
0xfffffff00884d244: 79100034  cbz	w25, #0xfffffff00884d450
0xfffffff00884d248: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00884d24c: e90316aa  mov	x9, x22
0xfffffff00884d250: e9df05a9  stp	x9, x23, [sp, #0x58]
0xfffffff00884d254: f4d704a9  stp	x20, x21, [sp, #0x48]
0xfffffff00884d258: 494effd0  adrp	x9, #0xfffffff007217000
0xfffffff00884d25c: 2aa90f91  add	x10, x9, #0x3ea
0xfffffff00884d260: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00884d264: 28168052  mov	w8, #0xb1
0xfffffff00884d268: c94eff90  adrp	x9, #0xfffffff007225000
0xfffffff00884d26c: 29c53d91  add	x9, x9, #0xf71
0xfffffff00884d270: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00884d274: c84effd0  adrp	x8, #0xfffffff007227000
