; Candidate 7603
; ADRP+ADD at VM 0xfffffff0088746ac (fileoff 0x18706ac): page=0x1fe99f000 add_imm=0xe0f

0xfffffff00887462c: 00008052  mov	w0, #0
0xfffffff008874630: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008874634: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008874638: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00887463c: ff830191  add	sp, sp, #0x60
0xfffffff008874640: ff0f5fd6  retab	
0xfffffff008874644: 7f2303d5  pacibsp	
0xfffffff008874648: ff0302d1  sub	sp, sp, #0x80
0xfffffff00887464c: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff008874650: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff008874654: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff008874658: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff00887465c: fdc30191  add	x29, sp, #0x70
0xfffffff008874660: f30300aa  mov	x19, x0
0xfffffff008874664: 600b8052  mov	w0, #0x5b
0xfffffff008874668: 01018052  mov	w1, #8
0xfffffff00887466c: 591c0094  bl	#0xfffffff00887b7d0
0xfffffff008874670: a0040034  cbz	w0, #0xfffffff008874704
0xfffffff008874674: 600b8052  mov	w0, #0x5b
0xfffffff008874678: 681c0094  bl	#0xfffffff00887b818
0xfffffff00887467c: f50300aa  mov	x21, x0
0xfffffff008874680: cbfe0094  bl	#0xfffffff0088b41ac
0xfffffff008874684: f40300aa  mov	x20, x0
0xfffffff008874688: 00018052  mov	w0, #8
0xfffffff00887468c: 711c0094  bl	#0xfffffff00887b850
0xfffffff008874690: 75010034  cbz	w21, #0xfffffff0088746bc
0xfffffff008874694: a84dffd0  adrp	x8, #0xfffffff00722a000
0xfffffff008874698: 08a53091  add	x8, x8, #0xc29
0xfffffff00887469c: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088746a0: 680b8052  mov	w8, #0x5b
0xfffffff0088746a4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088746a8: f40300f9  str	x20, [sp]
0xfffffff0088746ac: e04cfff0  adrp	x0, #0xfffffff007213000
0xfffffff0088746b0: 003c3891  add	x0, x0, #0xe0f
0xfffffff0088746b4: 6b0bd597  bl	#0xfffffff007db7460
0xfffffff0088746b8: 13000014  b	#0xfffffff008874704
0xfffffff0088746bc: bcfe0094  bl	#0xfffffff0088b41ac
0xfffffff0088746c0: f40300aa  mov	x20, x0
0xfffffff0088746c4: 00018052  mov	w0, #8
0xfffffff0088746c8: 621c0094  bl	#0xfffffff00887b850
0xfffffff0088746cc: a84dffd0  adrp	x8, #0xfffffff00722a000
0xfffffff0088746d0: 08a53091  add	x8, x8, #0xc29
0xfffffff0088746d4: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088746d8: 680b8052  mov	w8, #0x5b
0xfffffff0088746dc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088746e0: f40300f9  str	x20, [sp]
0xfffffff0088746e4: a04bffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088746e8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088746ec: a18cff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088746f0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088746f4: 234fffb0  adrp	x3, #0xfffffff007259000
0xfffffff0088746f8: 63e41a91  add	x3, x3, #0x6b9
0xfffffff0088746fc: 02008052  mov	w2, #0
0xfffffff008874700: 8cfaea97  bl	#0xfffffff008333130
0xfffffff008874704: e00313aa  mov	x0, x19
0xfffffff008874708: 21008052  mov	w1, #1
0xfffffff00887470c: 02098052  mov	w2, #0x48
0xfffffff008874710: 0208a072  movk	w2, #0x40, lsl #16
0xfffffff008874714: 7d420094  bl	#0xfffffff008885108
0xfffffff008874718: f50300aa  mov	x21, x0
0xfffffff00887471c: 1f040072  tst	w0, #3
0xfffffff008874720: 14009f1a  csel	w20, w0, wzr, eq
0xfffffff008874724: 600b8052  mov	w0, #0x5b
0xfffffff008874728: 01018052  mov	w1, #8
