; Candidate 3303
; ADRP+ADD at VM 0xfffffff00872c068 (fileoff 0x1728068): page=0x1fea05000 add_imm=0xd90

0xfffffff00872bfe8: 2263fd97  bl	#0xfffffff008684c70
0xfffffff00872bfec: c0821ff8  stur	x0, [x22, #-8]
0xfffffff00872bff0: 600300b4  cbz	x0, #0xfffffff00872c05c
0xfffffff00872bff4: e851ff90  adrp	x8, #0xfffffff007167000
0xfffffff00872bff8: 003547fd  ldr	d0, [x8, #0xe68]
0xfffffff00872bffc: e20314aa  mov	x2, x20
0xfffffff00872c000: 400c03fc  str	d0, [x2, #0x30]!
0xfffffff00872c004: 550400f9  str	x21, [x2, #8]
0xfffffff00872c008: 100040f9  ldr	x16, [x0]
0xfffffff00872c00c: f10300aa  mov	x17, x0
0xfffffff00872c010: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00872c014: 301ac1da  autda	x16, x17
0xfffffff00872c018: 080e48f8  ldr	x8, [x16, #0x80]!
0xfffffff00872c01c: e90310aa  mov	x9, x16
0xfffffff00872c020: 21008052  mov	w1, #1
0xfffffff00872c024: e30316aa  mov	x3, x22
0xfffffff00872c028: f10309aa  mov	x17, x9
0xfffffff00872c02c: f1a8eef2  movk	x17, #0x7547, lsl #48
0xfffffff00872c030: 11093fd7  blraa	x8, x17
0xfffffff00872c034: a0020034  cbz	w0, #0xfffffff00872c088
0xfffffff00872c038: 2050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff00872c03c: 00403691  add	x0, x0, #0xd90
0xfffffff00872c040: 8196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00872c044: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00872c048: 6350ffd0  adrp	x3, #0xfffffff00713a000
0xfffffff00872c04c: 63ec2591  add	x3, x3, #0x97b
0xfffffff00872c050: 02008052  mov	w2, #0
0xfffffff00872c054: 371cf097  bl	#0xfffffff008333130
0xfffffff00872c058: 0c000014  b	#0xfffffff00872c088
0xfffffff00872c05c: 4851ffd0  adrp	x8, #0xfffffff007156000
0xfffffff00872c060: 08cd1a91  add	x8, x8, #0x6b3
0xfffffff00872c064: e80300f9  str	x8, [sp]
0xfffffff00872c068: 2050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff00872c06c: 00403691  add	x0, x0, #0xd90
0xfffffff00872c070: 8196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00872c074: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00872c078: 6350ffd0  adrp	x3, #0xfffffff00713a000
0xfffffff00872c07c: 63042591  add	x3, x3, #0x941
0xfffffff00872c080: 02008052  mov	w2, #0
0xfffffff00872c084: 2b1cf097  bl	#0xfffffff008333130
0xfffffff00872c088: 932e00f9  str	x19, [x20, #0x58]
0xfffffff00872c08c: e00314aa  mov	x0, x20
0xfffffff00872c090: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff00872c094: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff00872c098: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff00872c09c: ff030191  add	sp, sp, #0x40
0xfffffff00872c0a0: ff0f5fd6  retab	
0xfffffff00872c0a4: 5f2403d5  bti	c
0xfffffff00872c0a8: 9effff17  b	#0xfffffff00872bf20
0xfffffff00872c0ac: 7f2303d5  pacibsp	
0xfffffff00872c0b0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00872c0b4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00872c0b8: fd430091  add	x29, sp, #0x10
0xfffffff00872c0bc: f30300aa  mov	x19, x0
0xfffffff00872c0c0: 9096ffd0  adrp	x16, #0xfffffff0079fe000
0xfffffff00872c0c4: 10422891  add	x16, x16, #0xa10
0xfffffff00872c0c8: 10420091  add	x16, x16, #0x10
0xfffffff00872c0cc: f10300aa  mov	x17, x0
0xfffffff00872c0d0: b1a6f3f2  movk	x17, #0x9d35, lsl #48
0xfffffff00872c0d4: 300ac1da  pacda	x16, x17
0xfffffff00872c0d8: 100000f9  str	x16, [x0]
0xfffffff00872c0dc: 002840f9  ldr	x0, [x0, #0x50]
0xfffffff00872c0e0: 600100b4  cbz	x0, #0xfffffff00872c10c
0xfffffff00872c0e4: 100040f9  ldr	x16, [x0]
