; Candidate 4201
; ADRP+ADD at VM 0xfffffff00879642c (fileoff 0x179242c): page=0x1fe99b000 add_imm=0xd90

0xfffffff0087963ac: 886a6cb9  ldr	w8, [x20, #0x2c68]
0xfffffff0087963b0: 28080034  cbz	w8, #0xfffffff0087964b4
0xfffffff0087963b4: 1f030071  cmp	w24, #0
0xfffffff0087963b8: c10240b9  ldr	w1, [x22]
0xfffffff0087963bc: e7079f1a  cset	w7, ne
0xfffffff0087963c0: c20640f9  ldr	x2, [x22, #8]
0xfffffff0087963c4: c3124229  ldp	w3, w4, [x22, #0x10]
0xfffffff0087963c8: 80964da9  ldp	x0, x5, [x20, #0xd8]
0xfffffff0087963cc: c8a641a9  ldp	x8, x9, [x22, #0x18]
0xfffffff0087963d0: 8a726cb9  ldr	w10, [x20, #0x2c70]
0xfffffff0087963d4: ea1b00b9  str	w10, [sp, #0x18]
0xfffffff0087963d8: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff0087963dc: ff030039  strb	wzr, [sp]
0xfffffff0087963e0: e60313aa  mov	x6, x19
0xfffffff0087963e4: 77c3fe97  bl	#0xfffffff0087471c0
0xfffffff0087963e8: f60300aa  mov	x22, x0
0xfffffff0087963ec: c8578052  mov	w8, #0x2be
0xfffffff0087963f0: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff0087963f4: 1f00086b  cmp	w0, w8
0xfffffff0087963f8: 60040054  b.eq	#0xfffffff008796484
0xfffffff0087963fc: f6020035  cbnz	w22, #0xfffffff008796458
0xfffffff008796400: 57070034  cbz	w23, #0xfffffff0087964e8
0xfffffff008796404: 88ba54f9  ldr	x8, [x20, #0x2970]
0xfffffff008796408: a82200f9  str	x8, [x21, #0x40]
0xfffffff00879640c: 480000b4  cbz	x8, #0xfffffff008796414
0xfffffff008796410: 152500f9  str	x21, [x8, #0x48]
0xfffffff008796414: 16008052  mov	w22, #0
0xfffffff008796418: 95ba14f9  str	x21, [x20, #0x2970]
0xfffffff00879641c: 1f000014  b	#0xfffffff008796498
0xfffffff008796420: 284effb0  adrp	x8, #0xfffffff00715b000
0xfffffff008796424: 08110791  add	x8, x8, #0x1c4
0xfffffff008796428: e80300f9  str	x8, [sp]
0xfffffff00879642c: c04cfff0  adrp	x0, #0xfffffff007131000
0xfffffff008796430: 00403691  add	x0, x0, #0xd90
0xfffffff008796434: 2193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008796438: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879643c: 834dffb0  adrp	x3, #0xfffffff007147000
0xfffffff008796440: 63f81a91  add	x3, x3, #0x6be
0xfffffff008796444: 02008052  mov	w2, #0
0xfffffff008796448: 3a73ee97  bl	#0xfffffff008333130
0xfffffff00879644c: 56588052  mov	w22, #0x2c2
0xfffffff008796450: 1600bc72  movk	w22, #0xe000, lsl #16
0xfffffff008796454: 11000014  b	#0xfffffff008796498
0xfffffff008796458: 284effb0  adrp	x8, #0xfffffff00715b000
0xfffffff00879645c: 08110791  add	x8, x8, #0x1c4
0xfffffff008796460: e85b00a9  stp	x8, x22, [sp]
0xfffffff008796464: c04cfff0  adrp	x0, #0xfffffff007131000
0xfffffff008796468: 00403691  add	x0, x0, #0xd90
0xfffffff00879646c: 2193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008796470: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008796474: 834dffb0  adrp	x3, #0xfffffff007147000
0xfffffff008796478: 63641b91  add	x3, x3, #0x6d9
0xfffffff00879647c: 02008052  mov	w2, #0
0xfffffff008796480: 2c73ee97  bl	#0xfffffff008333130
0xfffffff008796484: 6093fff0  adrp	x0, #0xfffffff007a05000
0xfffffff008796488: 00a02991  add	x0, x0, #0xa68
0xfffffff00879648c: e10315aa  mov	x1, x21
0xfffffff008796490: 9f00ef97  bl	#0xfffffff00835670c
0xfffffff008796494: 7f1200f9  str	xzr, [x19, #0x20]
0xfffffff008796498: e00316aa  mov	x0, x22
0xfffffff00879649c: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0087964a0: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0087964a4: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0087964a8: f85f42a9  ldp	x24, x23, [sp, #0x20]
