; Candidate 4357
; ADRP+ADD at VM 0xfffffff0087a43f8 (fileoff 0x17a03f8): page=0x1fe98d000 add_imm=0xd90

0xfffffff0087a4378: f70f00f9  str	x23, [sp, #0x18]
0xfffffff0087a437c: 4a0d00b4  cbz	x10, #0xfffffff0087a4524
0xfffffff0087a4380: 150080d2  mov	x21, #0
0xfffffff0087a4384: ab0d40f9  ldr	x11, [x13, #0x18]
0xfffffff0087a4388: 7c595cf9  ldr	x28, [x11, #0x38b0]
0xfffffff0087a438c: 8a03178b  add	x10, x28, x23
0xfffffff0087a4390: 4c694039  ldrb	w12, [x10, #0x1a]
0xfffffff0087a4394: ec0b0035  cbnz	w12, #0xfffffff0087a4510
0xfffffff0087a4398: d90a0079  strh	w25, [x22, #4]
0xfffffff0087a439c: df0e0079  strh	wzr, [x22, #6]
0xfffffff0087a43a0: db160079  strh	w27, [x22, #0xa]
0xfffffff0087a43a4: c8b88752  mov	w8, #0x3dc6
0xfffffff0087a43a8: 68696838  ldrb	w8, [x11, x8]
0xfffffff0087a43ac: 88000034  cbz	w8, #0xfffffff0087a43bc
0xfffffff0087a43b0: 74e55ef9  ldr	x20, [x11, #0x3dc8]
0xfffffff0087a43b4: 88220091  add	x8, x20, #8
0xfffffff0087a43b8: 04000014  b	#0xfffffff0087a43c8
0xfffffff0087a43bc: 680d42f9  ldr	x8, [x11, #0x418]
0xfffffff0087a43c0: 14210091  add	x20, x8, #8
0xfffffff0087a43c4: 08410091  add	x8, x8, #0x10
0xfffffff0087a43c8: 491540b9  ldr	w9, [x10, #0x14]
0xfffffff0087a43cc: ea1b40f9  ldr	x10, [sp, #0x30]
0xfffffff0087a43d0: 4901098b  add	x9, x10, x9
0xfffffff0087a43d4: 080140f9  ldr	x8, [x8]
0xfffffff0087a43d8: 3a0108cb  sub	x26, x9, x8
0xfffffff0087a43dc: 930a40f9  ldr	x19, [x20, #0x10]
0xfffffff0087a43e0: 58ff60d3  lsr	x24, x26, #0x20
0xfffffff0087a43e4: b80100b4  cbz	x24, #0xfffffff0087a4418
0xfffffff0087a43e8: 89898052  mov	w9, #0x44c
0xfffffff0087a43ec: 484dfff0  adrp	x8, #0xfffffff00714f000
0xfffffff0087a43f0: 08b90a91  add	x8, x8, #0x2ae
0xfffffff0087a43f4: e82700a9  stp	x8, x9, [sp]
0xfffffff0087a43f8: 604cffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087a43fc: 00403691  add	x0, x0, #0xd90
0xfffffff0087a4400: c192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087a4404: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087a4408: 02008052  mov	w2, #0
0xfffffff0087a440c: 234dffd0  adrp	x3, #0xfffffff00714a000
0xfffffff0087a4410: 63802591  add	x3, x3, #0x960
0xfffffff0087a4414: 473bee97  bl	#0xfffffff008333130
0xfffffff0087a4418: 68423aab  adds	x8, x19, w26, uxtw
0xfffffff0087a441c: 42090054  b.hs	#0xfffffff0087a4544
0xfffffff0087a4420: 08a560d3  ubfx	x8, x8, #0x20, #0xa
0xfffffff0087a4424: c8260079  strh	w8, [x22, #0x12]
0xfffffff0087a4428: 930a40f9  ldr	x19, [x20, #0x10]
0xfffffff0087a442c: b80100b4  cbz	x24, #0xfffffff0087a4460
0xfffffff0087a4430: a9898052  mov	w9, #0x44d
0xfffffff0087a4434: 484dfff0  adrp	x8, #0xfffffff00714f000
0xfffffff0087a4438: 08b90a91  add	x8, x8, #0x2ae
0xfffffff0087a443c: e82700a9  stp	x8, x9, [sp]
0xfffffff0087a4440: 604cffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087a4444: 00403691  add	x0, x0, #0xd90
0xfffffff0087a4448: c192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087a444c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087a4450: 02008052  mov	w2, #0
0xfffffff0087a4454: 234dffd0  adrp	x3, #0xfffffff00714a000
0xfffffff0087a4458: 63502691  add	x3, x3, #0x994
0xfffffff0087a445c: 353bee97  bl	#0xfffffff008333130
0xfffffff0087a4460: 487f4092  and	x8, x26, #0xffffffff
0xfffffff0087a4464: 680208ab  adds	x8, x19, x8
0xfffffff0087a4468: e2060054  b.hs	#0xfffffff0087a4544
0xfffffff0087a446c: 8903178b  add	x9, x28, x23
0xfffffff0087a4470: 2a1140b9  ldr	w10, [x9, #0x10]
0xfffffff0087a4474: c8aa0229  stp	w8, w10, [x22, #0x14]
