; Candidate 8398
; ADRP+ADD at VM 0xfffffff0088a8850 (fileoff 0x18a4850): page=0x1fe941000 add_imm=0xe80

0xfffffff0088a87d0: 243bd497  bl	#0xfffffff007db7460
0xfffffff0088a87d4: f60b0036  tbz	w22, #0, #0xfffffff0088a8950
0xfffffff0088a87d8: 685a41b9  ldr	w8, [x19, #0x158]
0xfffffff0088a87dc: 1f090071  cmp	w8, #2
0xfffffff0088a87e0: 600d0054  b.eq	#0xfffffff0088a898c
0xfffffff0088a87e4: 1f050071  cmp	w8, #1
0xfffffff0088a87e8: 010f0054  b.ne	#0xfffffff0088a89c8
0xfffffff0088a87ec: 6a1640b9  ldr	w10, [x19, #0x14]
0xfffffff0088a87f0: 294bff90  adrp	x9, #0xfffffff00720c000
0xfffffff0088a87f4: 29813f91  add	x9, x9, #0xfe0
0xfffffff0088a87f8: 5f0d0071  cmp	w10, #3
0xfffffff0088a87fc: 6b0e0054  b.lt	#0xfffffff0088a89c8
0xfffffff0088a8800: 4b0500d1  sub	x11, x10, #1
0xfffffff0088a8804: 685241b9  ldr	w8, [x19, #0x150]
0xfffffff0088a8808: 0c0d088b  add	x12, x8, x8, lsl #3
0xfffffff0088a880c: 2c010c8b  add	x12, x9, x12
0xfffffff0088a8810: 8a010a8b  add	x10, x12, x10
0xfffffff0088a8814: 4cf15f38  ldurb	w12, [x10, #-1]
0xfffffff0088a8818: ea030baa  mov	x10, x11
0xfffffff0088a881c: ecfeff34  cbz	w12, #0xfffffff0088a87f8
0xfffffff0088a8820: 6b1600b9  str	w11, [x19, #0x14]
0xfffffff0088a8824: 4c000014  b	#0xfffffff0088a8954
0xfffffff0088a8828: 612e0094  bl	#0xfffffff0088b41ac
0xfffffff0088a882c: f40300aa  mov	x20, x0
0xfffffff0088a8830: e0008052  mov	w0, #7
0xfffffff0088a8834: 074cff97  bl	#0xfffffff00887b850
0xfffffff0088a8838: 484cffd0  adrp	x8, #0xfffffff007232000
0xfffffff0088a883c: 08813a91  add	x8, x8, #0xea0
0xfffffff0088a8840: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088a8844: c80f8052  mov	w8, #0x7e
0xfffffff0088a8848: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088a884c: f40300f9  str	x20, [sp]
0xfffffff0088a8850: 004affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a8854: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a8858: 018bff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088a885c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a8860: c34dffd0  adrp	x3, #0xfffffff007262000
0xfffffff0088a8864: 63443991  add	x3, x3, #0xe51
0xfffffff0088a8868: 02008052  mov	w2, #0
0xfffffff0088a886c: 312aea97  bl	#0xfffffff008333130
0xfffffff0088a8870: 93f5ffb5  cbnz	x19, #0xfffffff0088a8720
0xfffffff0088a8874: c00f8052  mov	w0, #0x7e
0xfffffff0088a8878: 81008052  mov	w1, #4
0xfffffff0088a887c: d54bff97  bl	#0xfffffff00887b7d0
0xfffffff0088a8880: 20180034  cbz	w0, #0xfffffff0088a8b84
0xfffffff0088a8884: c00f8052  mov	w0, #0x7e
0xfffffff0088a8888: e44bff97  bl	#0xfffffff00887b818
0xfffffff0088a888c: f50300aa  mov	x21, x0
0xfffffff0088a8890: 472e0094  bl	#0xfffffff0088b41ac
0xfffffff0088a8894: f40300aa  mov	x20, x0
0xfffffff0088a8898: 80008052  mov	w0, #4
0xfffffff0088a889c: ed4bff97  bl	#0xfffffff00887b850
0xfffffff0088a88a0: 75140034  cbz	w21, #0xfffffff0088a8b2c
0xfffffff0088a88a4: 484cffd0  adrp	x8, #0xfffffff007232000
0xfffffff0088a88a8: 08d13a91  add	x8, x8, #0xeb4
0xfffffff0088a88ac: 69078052  mov	w9, #0x3b
0xfffffff0088a88b0: e8ff02a9  stp	x8, xzr, [sp, #0x28]
0xfffffff0088a88b4: 484cffd0  adrp	x8, #0xfffffff007232000
0xfffffff0088a88b8: 08813a91  add	x8, x8, #0xea0
0xfffffff0088a88bc: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088a88c0: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088a88c4: c80f8052  mov	w8, #0x7e
0xfffffff0088a88c8: 604bffb0  adrp	x0, #0xfffffff007215000
0xfffffff0088a88cc: 00a81491  add	x0, x0, #0x52a
