; Candidate 10701
; ADRP+ADD at VM 0xfffffff008de3910 (fileoff 0x1ddf910): page=0x1fe5e1000 add_imm=0xe15

0xfffffff008de3890: ea2300a9  stp	x10, x8, [sp]
0xfffffff008de3894: 002fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de3898: 00543891  add	x0, x0, #0xe15
0xfffffff008de389c: e1cdd597  bl	#0xfffffff008357020
0xfffffff008de38a0: 0f000014  b	#0xfffffff008de38dc
0xfffffff008de38a4: abba8052  mov	w11, #0x5d5
0xfffffff008de38a8: 082fffb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de38ac: 08493991  add	x8, x8, #0xe52
0xfffffff008de38b0: e92efff0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de38b4: 293d0a91  add	x9, x9, #0x28f
0xfffffff008de38b8: ea2effd0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de38bc: 4a490d91  add	x10, x10, #0x352
0xfffffff008de38c0: eaaf01a9  stp	x10, x11, [sp, #0x18]
0xfffffff008de38c4: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008de38c8: e90300f9  str	x9, [sp]
0xfffffff008de38cc: 002fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de38d0: 00543891  add	x0, x0, #0xe15
0xfffffff008de38d4: d3cdd597  bl	#0xfffffff008357020
0xfffffff008de38d8: 96008012  mov	w22, #-5
0xfffffff008de38dc: fa031caa  mov	x26, x28
0xfffffff008de38e0: fb0315aa  mov	x27, x21
0xfffffff008de38e4: 0f000014  b	#0xfffffff008de3920
0xfffffff008de38e8: cbba8052  mov	w11, #0x5d6
0xfffffff008de38ec: 082fffb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de38f0: 08493991  add	x8, x8, #0xe52
0xfffffff008de38f4: e92efff0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de38f8: 29d90a91  add	x9, x9, #0x2b6
0xfffffff008de38fc: ea2effd0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de3900: 4a490d91  add	x10, x10, #0x352
0xfffffff008de3904: eaaf01a9  stp	x10, x11, [sp, #0x18]
0xfffffff008de3908: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008de390c: e90300f9  str	x9, [sp]
0xfffffff008de3910: 002fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de3914: 00543891  add	x0, x0, #0xe15
0xfffffff008de3918: c2cdd597  bl	#0xfffffff008357020
0xfffffff008de391c: f6018012  mov	w22, #-0x10
0xfffffff008de3920: f5a80090  adrp	x21, #0xfffffff00a2ff000
0xfffffff008de3924: b5422c91  add	x21, x21, #0xb10
0xfffffff008de3928: e02effd0  adrp	x0, #0xfffffff0073c1000
0xfffffff008de392c: 00681591  add	x0, x0, #0x55a
0xfffffff008de3930: e32effd0  adrp	x3, #0xfffffff0073c1000
0xfffffff008de3934: 63480d91  add	x3, x3, #0x352
0xfffffff008de3938: e52efff0  adrp	x5, #0xfffffff0073c2000
0xfffffff008de393c: a5d80891  add	x5, x5, #0x236
0xfffffff008de3940: e10313aa  mov	x1, x19
0xfffffff008de3944: 82028052  mov	w2, #0x14
0xfffffff008de3948: 84bc8052  mov	w4, #0x5e4
0xfffffff008de394c: df0c0094  bl	#0xfffffff008de6cc8
0xfffffff008de3950: 6068ffd0  adrp	x0, #0xfffffff007af1000
0xfffffff008de3954: 00002f91  add	x0, x0, #0xbc0
0xfffffff008de3958: e10313aa  mov	x1, x19
0xfffffff008de395c: 6ccbd597  bl	#0xfffffff00835670c
0xfffffff008de3960: c8088052  mov	w8, #0x46
0xfffffff008de3964: 7fffff17  b	#0xfffffff008de3760
0xfffffff008de3968: 39e9bd97  bl	#0xfffffff007d5de4c
0xfffffff008de396c: 7f2303d5  pacibsp	
0xfffffff008de3970: fc6fbaa9  stp	x28, x27, [sp, #-0x60]!
0xfffffff008de3974: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff008de3978: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff008de397c: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008de3980: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008de3984: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008de3988: fd430191  add	x29, sp, #0x50
0xfffffff008de398c: 092c8252  mov	w9, #0x1160
