; Candidate 8386
; ADRP+ADD at VM 0xfffffff0088a80f0 (fileoff 0x18a40f0): page=0x1fe98a000 add_imm=0xda9

0xfffffff0088a8070: f92300a9  stp	x25, x8, [sp]
0xfffffff0088a8074: 004affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a8078: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a807c: 018bff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088a8080: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a8084: 02008052  mov	w2, #0
0xfffffff0088a8088: 2a2cea97  bl	#0xfffffff008333130
0xfffffff0088a808c: 197d8012  mov	w25, #-0x3e9
0xfffffff0088a8090: 600f8052  mov	w0, #0x7b
0xfffffff0088a8094: e1008052  mov	w1, #7
0xfffffff0088a8098: ce4dff97  bl	#0xfffffff00887b7d0
0xfffffff0088a809c: 80060034  cbz	w0, #0xfffffff0088a816c
0xfffffff0088a80a0: 600f8052  mov	w0, #0x7b
0xfffffff0088a80a4: dd4dff97  bl	#0xfffffff00887b818
0xfffffff0088a80a8: fb0300aa  mov	x27, x0
0xfffffff0088a80ac: 40300094  bl	#0xfffffff0088b41ac
0xfffffff0088a80b0: fa0300aa  mov	x26, x0
0xfffffff0088a80b4: e0008052  mov	w0, #7
0xfffffff0088a80b8: e64dff97  bl	#0xfffffff00887b850
0xfffffff0088a80bc: 5b020034  cbz	w27, #0xfffffff0088a8104
0xfffffff0088a80c0: 680240b9  ldr	w8, [x19]
0xfffffff0088a80c4: f7e705a9  stp	x23, x25, [sp, #0x58]
0xfffffff0088a80c8: f6e304a9  stp	x22, x24, [sp, #0x48]
0xfffffff0088a80cc: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff0088a80d0: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff0088a80d4: 484cffd0  adrp	x8, #0xfffffff007232000
0xfffffff0088a80d8: 097d3491  add	x9, x8, #0xd1f
0xfffffff0088a80dc: 484cffd0  adrp	x8, #0xfffffff007232000
0xfffffff0088a80e0: 08593a91  add	x8, x8, #0xe96
0xfffffff0088a80e4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088a80e8: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088a80ec: 680f8052  mov	w8, #0x7b
0xfffffff0088a80f0: 404cffd0  adrp	x0, #0xfffffff007232000
0xfffffff0088a80f4: 00a43691  add	x0, x0, #0xda9
0xfffffff0088a80f8: fa2300a9  stp	x26, x8, [sp]
0xfffffff0088a80fc: d93cd497  bl	#0xfffffff007db7460
0xfffffff0088a8100: 1b000014  b	#0xfffffff0088a816c
0xfffffff0088a8104: 2a300094  bl	#0xfffffff0088b41ac
0xfffffff0088a8108: fa0300aa  mov	x26, x0
0xfffffff0088a810c: e0008052  mov	w0, #7
0xfffffff0088a8110: d04dff97  bl	#0xfffffff00887b850
0xfffffff0088a8114: e80319aa  mov	x8, x25
0xfffffff0088a8118: 690240b9  ldr	w9, [x19]
0xfffffff0088a811c: f7a305a9  stp	x23, x8, [sp, #0x58]
0xfffffff0088a8120: f6e304a9  stp	x22, x24, [sp, #0x48]
0xfffffff0088a8124: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff0088a8128: f3a702a9  stp	x19, x9, [sp, #0x28]
0xfffffff0088a812c: 484cffd0  adrp	x8, #0xfffffff007232000
0xfffffff0088a8130: 0a7d3491  add	x10, x8, #0xd1f
0xfffffff0088a8134: 484cffd0  adrp	x8, #0xfffffff007232000
0xfffffff0088a8138: 08593a91  add	x8, x8, #0xe96
0xfffffff0088a813c: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff0088a8140: 680f8052  mov	w8, #0x7b
0xfffffff0088a8144: c34dffd0  adrp	x3, #0xfffffff007262000
0xfffffff0088a8148: 63a43591  add	x3, x3, #0xd69
0xfffffff0088a814c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088a8150: fa0300f9  str	x26, [sp]
0xfffffff0088a8154: 004affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a8158: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a815c: 018bff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088a8160: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a8164: 02008052  mov	w2, #0
0xfffffff0088a8168: f22bea97  bl	#0xfffffff008333130
0xfffffff0088a816c: e00319aa  mov	x0, x25
