; Candidate 16552
; ADRP+ADD at VM 0xfffffff009edaff0 (fileoff 0x2ed6ff0): page=0x1fd96e000 add_imm=0xe9d

0xfffffff009edaf70: e90b00f9  str	x9, [sp, #0x10]
0xfffffff009edaf74: 68cbfed0  adrp	x8, #0xfffffff007848000
0xfffffff009edaf78: 08b12e91  add	x8, x8, #0xbac
0xfffffff009edaf7c: a9478852  mov	w9, #0x423d
0xfffffff009edaf80: e82700a9  stp	x8, x9, [sp]
0xfffffff009edaf84: 60cbfed0  adrp	x0, #0xfffffff007848000
0xfffffff009edaf88: 00983791  add	x0, x0, #0xde6
0xfffffff009edaf8c: 4e92fe97  bl	#0xfffffff009e7f8c4
0xfffffff009edaf90: d8028052  mov	w24, #0x16
0xfffffff009edaf94: 740000b4  cbz	x20, #0xfffffff009edafa0
0xfffffff009edaf98: 20830291  add	x0, x25, #0xa0
0xfffffff009edaf9c: 184e7b97  bl	#0xfffffff007dae7fc
0xfffffff009edafa0: e01b40f9  ldr	x0, [sp, #0x30]
0xfffffff009edafa4: 164e7b97  bl	#0xfffffff007dae7fc
0xfffffff009edafa8: e00313aa  mov	x0, x19
0xfffffff009edafac: 09170094  bl	#0xfffffff009ee0bd0
0xfffffff009edafb0: 7b00c036  tbz	w27, #0x18, #0xfffffff009edafbc
0xfffffff009edafb4: e00315aa  mov	x0, x21
0xfffffff009edafb8: 48d0fd97  bl	#0xfffffff009e4f0d8
0xfffffff009edafbc: e01740f9  ldr	x0, [sp, #0x28]
0xfffffff009edafc0: e0e6ffb4  cbz	x0, #0xfffffff009edac9c
0xfffffff009edafc4: d7b98097  bl	#0xfffffff007f09720
0xfffffff009edafc8: 35ffff17  b	#0xfffffff009edac9c
0xfffffff009edafcc: 083e8452  mov	w8, #0x21f0
0xfffffff009edafd0: 6802088b  add	x8, x19, x8
0xfffffff009edafd4: a90640f9  ldr	x9, [x21, #8]
0xfffffff009edafd8: e9e301a9  stp	x9, x24, [sp, #0x18]
0xfffffff009edafdc: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009edafe0: 68cbfed0  adrp	x8, #0xfffffff007848000
0xfffffff009edafe4: 08b12e91  add	x8, x8, #0xbac
0xfffffff009edafe8: 89498852  mov	w9, #0x424c
0xfffffff009edafec: e82700a9  stp	x8, x9, [sp]
0xfffffff009edaff0: 60cbfed0  adrp	x0, #0xfffffff007848000
0xfffffff009edaff4: 00743a91  add	x0, x0, #0xe9d
0xfffffff009edaff8: 1292fe97  bl	#0xfffffff009e7f840
0xfffffff009edaffc: e00313aa  mov	x0, x19
0xfffffff009edb000: e10315aa  mov	x1, x21
0xfffffff009edb004: e20319aa  mov	x2, x25
0xfffffff009edb008: e30318aa  mov	x3, x24
0xfffffff009edb00c: 02390194  bl	#0xfffffff009f29414
0xfffffff009edb010: f80300aa  mov	x24, x0
0xfffffff009edb014: 34fcffb5  cbnz	x20, #0xfffffff009edaf98
0xfffffff009edb018: e2ffff17  b	#0xfffffff009edafa0
0xfffffff009edb01c: 7f2303d5  pacibsp	
0xfffffff009edb020: ffc301d1  sub	sp, sp, #0x70
0xfffffff009edb024: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff009edb028: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff009edb02c: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff009edb030: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff009edb034: fd830191  add	x29, sp, #0x60
0xfffffff009edb038: f40300aa  mov	x20, x0
0xfffffff009edb03c: ff1700f9  str	xzr, [sp, #0x28]
0xfffffff009edb040: 089c40f9  ldr	x8, [x0, #0x138]
0xfffffff009edb044: 1f0100f1  cmp	x8, #0
0xfffffff009edb048: 0800889a  csel	x8, x0, x8, eq
0xfffffff009edb04c: 086140f9  ldr	x8, [x8, #0xc0]
0xfffffff009edb050: 08214439  ldrb	w8, [x8, #0x108]
0xfffffff009edb054: 29018052  mov	w9, #9
0xfffffff009edb058: 1f01096a  tst	w8, w9
0xfffffff009edb05c: 60020054  b.eq	#0xfffffff009edb0a8
0xfffffff009edb060: 083e8452  mov	w8, #0x21f0
0xfffffff009edb064: 8802088b  add	x8, x20, x8
0xfffffff009edb068: 294e8852  mov	w9, #0x4271
0xfffffff009edb06c: 6acbfeb0  adrp	x10, #0xfffffff007848000
