; Candidate 3216
; ADRP+ADD at VM 0xfffffff00871d658 (fileoff 0x1719658): page=0x1fea14000 add_imm=0xd90

0xfffffff00871d5d8: 82feff54  b.hs	#0xfffffff00871d5a8
0xfffffff00871d5dc: 7f3d0072  tst	w11, #0xffff
0xfffffff00871d5e0: e0070054  b.eq	#0xfffffff00871d6dc
0xfffffff00871d5e4: 6f0e40b9  ldr	w15, [x19, #0xc]
0xfffffff00871d5e8: ef050011  add	w15, w15, #1
0xfffffff00871d5ec: ff212b6b  cmp	w15, w11, uxth
0xfffffff00871d5f0: a3070054  b.lo	#0xfffffff00871d6e4
0xfffffff00871d5f4: ce050011  add	w14, w14, #1
0xfffffff00871d5f8: 20008052  mov	w0, #1
0xfffffff00871d5fc: 1f212e6b  cmp	w8, w14, uxth
0xfffffff00871d600: c2fcff54  b.hs	#0xfffffff00871d598
0xfffffff00871d604: 31000014  b	#0xfffffff00871d6c8
0xfffffff00871d608: a050ff90  adrp	x0, #0xfffffff007131000
0xfffffff00871d60c: 00403691  add	x0, x0, #0xd90
0xfffffff00871d610: 0197ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00871d614: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871d618: e350ff90  adrp	x3, #0xfffffff007139000
0xfffffff00871d61c: 638c1191  add	x3, x3, #0x463
0xfffffff00871d620: 02008052  mov	w2, #0
0xfffffff00871d624: c356f097  bl	#0xfffffff008333130
0xfffffff00871d628: 00008052  mov	w0, #0
0xfffffff00871d62c: 27000014  b	#0xfffffff00871d6c8
0xfffffff00871d630: a050ff90  adrp	x0, #0xfffffff007131000
0xfffffff00871d634: 00403691  add	x0, x0, #0xd90
0xfffffff00871d638: 0197ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00871d63c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871d640: e350ff90  adrp	x3, #0xfffffff007139000
0xfffffff00871d644: 63841291  add	x3, x3, #0x4a1
0xfffffff00871d648: 02008052  mov	w2, #0
0xfffffff00871d64c: b956f097  bl	#0xfffffff008333130
0xfffffff00871d650: 00008052  mov	w0, #0
0xfffffff00871d654: 1d000014  b	#0xfffffff00871d6c8
0xfffffff00871d658: a050ff90  adrp	x0, #0xfffffff007131000
0xfffffff00871d65c: 00403691  add	x0, x0, #0xd90
0xfffffff00871d660: 0197ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00871d664: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871d668: e350ff90  adrp	x3, #0xfffffff007139000
0xfffffff00871d66c: 63841391  add	x3, x3, #0x4e1
0xfffffff00871d670: 02008052  mov	w2, #0
0xfffffff00871d674: af56f097  bl	#0xfffffff008333130
0xfffffff00871d678: 00008052  mov	w0, #0
0xfffffff00871d67c: 13000014  b	#0xfffffff00871d6c8
0xfffffff00871d680: 693d0012  and	w9, w11, #0xffff
0xfffffff00871d684: ca51ff90  adrp	x10, #0xfffffff007155000
0xfffffff00871d688: 4a1d3691  add	x10, x10, #0xd87
0xfffffff00871d68c: ff2302a9  stp	xzr, x8, [sp, #0x20]
0xfffffff00871d690: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff00871d694: 68b88052  mov	w8, #0x5c3
0xfffffff00871d698: c951ff90  adrp	x9, #0xfffffff007155000
0xfffffff00871d69c: 29bd3591  add	x9, x9, #0xd6f
0xfffffff00871d6a0: e92300a9  stp	x9, x8, [sp]
0xfffffff00871d6a4: a050ff90  adrp	x0, #0xfffffff007131000
0xfffffff00871d6a8: 00403691  add	x0, x0, #0xd90
0xfffffff00871d6ac: 0197ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00871d6b0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871d6b4: e350ff90  adrp	x3, #0xfffffff007139000
0xfffffff00871d6b8: 63901491  add	x3, x3, #0x524
0xfffffff00871d6bc: 02008052  mov	w2, #0
0xfffffff00871d6c0: 9c56f097  bl	#0xfffffff008333130
0xfffffff00871d6c4: 00008052  mov	w0, #0
0xfffffff00871d6c8: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00871d6cc: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00871d6d0: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00871d6d4: ff830191  add	sp, sp, #0x60
