; Candidate 14204
; ADRP+ADD at VM 0xfffffff00974db10 (fileoff 0x2749b10): page=0x1fde4a000 add_imm=0xdfa

0xfffffff00974da90: 6499407a  ccmp	w11, #0, #4, ls
0xfffffff00974da94: e0000054  b.eq	#0xfffffff00974dab0
0xfffffff00974da98: 0c008052  mov	w12, #0
0xfffffff00974da9c: 07000014  b	#0xfffffff00974dab8
0xfffffff00974daa0: 0a008052  mov	w10, #0
0xfffffff00974daa4: 1b008052  mov	w27, #0
0xfffffff00974daa8: 09008052  mov	w9, #0
0xfffffff00974daac: 9c061e12  and	w28, w20, #0xc
0xfffffff00974dab0: 4b011b2a  orr	w11, w10, w27
0xfffffff00974dab4: 6c010052  eor	w12, w11, #1
0xfffffff00974dab8: b30b40f9  ldr	x19, [x29, #0x10]
0xfffffff00974dabc: 2b090051  sub	w11, w9, #2
0xfffffff00974dac0: 7f190071  cmp	w11, #6
0xfffffff00974dac4: ed0e8052  mov	w13, #0x77
0xfffffff00974dac8: ad25cb1a  lsr	w13, w13, w11
0xfffffff00974dacc: ad010012  and	w13, w13, #1
0xfffffff00974dad0: ad011b2a  orr	w13, w13, w27
0xfffffff00974dad4: 6d838d1a  csel	w13, w27, w13, hi
0xfffffff00974dad8: 4e534339  ldrb	w14, [x26, #0xd4]
0xfffffff00974dadc: df010071  cmp	w14, #0
0xfffffff00974dae0: ee179f1a  cset	w14, eq
0xfffffff00974dae4: cc010c2a  orr	w12, w14, w12
0xfffffff00974dae8: 8c030037  tbnz	w12, #0, #0xfffffff00974db58
0xfffffff00974daec: cd000034  cbz	w13, #0xfffffff00974db04
0xfffffff00974daf0: 29190051  sub	w9, w9, #6
0xfffffff00974daf4: 3f0d0071  cmp	w9, #3
0xfffffff00974daf8: 82020054  b.hs	#0xfffffff00974db48
0xfffffff00974dafc: 94021a32  orr	w20, w20, #0x40
0xfffffff00974db00: 16000014  b	#0xfffffff00974db58
0xfffffff00974db04: 8a020035  cbnz	w10, #0xfffffff00974db54
0xfffffff00974db08: 29034039  ldrb	w9, [x25]
0xfffffff00974db0c: e82700a9  stp	x8, x9, [sp]
0xfffffff00974db10: 40f2fed0  adrp	x0, #0xfffffff007597000
0xfffffff00974db14: 00e83791  add	x0, x0, #0xdfa
0xfffffff00974db18: f80f00f9  str	x24, [sp, #0x18]
0xfffffff00974db1c: f80317aa  mov	x24, x23
0xfffffff00974db20: f70316aa  mov	x23, x22
0xfffffff00974db24: f60315aa  mov	x22, x21
0xfffffff00974db28: f50307aa  mov	x21, x7
0xfffffff00974db2c: 3d25b097  bl	#0xfffffff008357020
0xfffffff00974db30: e70315aa  mov	x7, x21
0xfffffff00974db34: f50316aa  mov	x21, x22
0xfffffff00974db38: f60317aa  mov	x22, x23
0xfffffff00974db3c: f70318aa  mov	x23, x24
0xfffffff00974db40: f80f40f9  ldr	x24, [sp, #0x18]
0xfffffff00974db44: 05000014  b	#0xfffffff00974db58
0xfffffff00974db48: 29034039  ldrb	w9, [x25]
0xfffffff00974db4c: 3f410271  cmp	w9, #0x90
0xfffffff00974db50: 21050054  b.ne	#0xfffffff00974dbf4
0xfffffff00974db54: 94021c32  orr	w20, w20, #0x10
0xfffffff00974db58: 9f230071  cmp	w28, #8
0xfffffff00974db5c: e1000054  b.ne	#0xfffffff00974db78
0xfffffff00974db60: 48574339  ldrb	w8, [x26, #0xd5]
0xfffffff00974db64: 89021832  orr	w9, w20, #0x100
0xfffffff00974db68: 7f030071  cmp	w27, #0
0xfffffff00974db6c: 2911941a  csel	w9, w9, w20, ne
0xfffffff00974db70: 1f010071  cmp	w8, #0
0xfffffff00974db74: 9402891a  csel	w20, w20, w9, eq
0xfffffff00974db78: 500340f9  ldr	x16, [x26]
0xfffffff00974db7c: f1031aaa  mov	x17, x26
0xfffffff00974db80: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974db84: 301ac1da  autda	x16, x17
0xfffffff00974db88: 11ab80d2  mov	x17, #0x558
0xfffffff00974db8c: 1002118b  add	x16, x16, x17
