; Candidate 2460
; ADRP+ADD at VM 0xfffffff00868fa0c (fileoff 0x168ba0c): page=0x1fea97000 add_imm=0xd7e

0xfffffff00868f98c: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff00868f990: e90310aa  mov	x9, x16
0xfffffff00868f994: e00315aa  mov	x0, x21
0xfffffff00868f998: f10309aa  mov	x17, x9
0xfffffff00868f99c: 1148faf2  movk	x17, #0xd240, lsl #48
0xfffffff00868f9a0: 11093fd7  blraa	x8, x17
0xfffffff00868f9a4: a154fff0  adrp	x1, #0xfffffff007126000
0xfffffff00868f9a8: 21cc3591  add	x1, x1, #0xd73
0xfffffff00868f9ac: c2008052  mov	w2, #6
0xfffffff00868f9b0: 3837db97  bl	#0xfffffff007d5d690
0xfffffff00868f9b4: 40030035  cbnz	w0, #0xfffffff00868fa1c
0xfffffff00868f9b8: 700240f9  ldr	x16, [x19]
0xfffffff00868f9bc: f10313aa  mov	x17, x19
0xfffffff00868f9c0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00868f9c4: 301ac1da  autda	x16, x17
0xfffffff00868f9c8: 11c080d2  mov	x17, #0x600
0xfffffff00868f9cc: 1002118b  add	x16, x16, x17
0xfffffff00868f9d0: 080240f9  ldr	x8, [x16]
0xfffffff00868f9d4: e90310aa  mov	x9, x16
0xfffffff00868f9d8: e00313aa  mov	x0, x19
0xfffffff00868f9dc: e10314aa  mov	x1, x20
0xfffffff00868f9e0: f10309aa  mov	x17, x9
0xfffffff00868f9e4: 1177e2f2  movk	x17, #0x13b8, lsl #48
0xfffffff00868f9e8: 11093fd7  blraa	x8, x17
0xfffffff00868f9ec: 0c000014  b	#0xfffffff00868fa1c
0xfffffff00868f9f0: 68224439  ldrb	w8, [x19, #0x108]
0xfffffff00868f9f4: 48010034  cbz	w8, #0xfffffff00868fa1c
0xfffffff00868f9f8: a154fff0  adrp	x1, #0xfffffff007126000
0xfffffff00868f9fc: 21e83591  add	x1, x1, #0xd7a
0xfffffff00868fa00: e00314aa  mov	x0, x20
0xfffffff00868fa04: 4e34f397  bl	#0xfffffff00835cb3c
0xfffffff00868fa08: a0000034  cbz	w0, #0xfffffff00868fa1c
0xfffffff00868fa0c: a054fff0  adrp	x0, #0xfffffff007126000
0xfffffff00868fa10: 00f83591  add	x0, x0, #0xd7e
0xfffffff00868fa14: e10313aa  mov	x1, x19
0xfffffff00868fa18: 88e2f397  bl	#0xfffffff008388438
0xfffffff00868fa1c: 20008052  mov	w0, #1
0xfffffff00868fa20: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff00868fa24: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff00868fa28: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff00868fa2c: ff0f5fd6  retab	
0xfffffff00868fa30: 7f2303d5  pacibsp	
0xfffffff00868fa34: fa67bba9  stp	x26, x25, [sp, #-0x50]!
0xfffffff00868fa38: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff00868fa3c: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff00868fa40: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff00868fa44: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff00868fa48: fd030191  add	x29, sp, #0x40
0xfffffff00868fa4c: f40304aa  mov	x20, x4
0xfffffff00868fa50: f50303aa  mov	x21, x3
0xfffffff00868fa54: f30300aa  mov	x19, x0
0xfffffff00868fa58: 48e200d0  adrp	x8, #0xfffffff00a2d9000
0xfffffff00868fa5c: 089145f9  ldr	x8, [x8, #0xb20]
0xfffffff00868fa60: 1f0101eb  cmp	x8, x1
0xfffffff00868fa64: e0050054  b.eq	#0xfffffff00868fb20
0xfffffff00868fa68: f90301aa  mov	x25, x1
0xfffffff00868fa6c: 48e200d0  adrp	x8, #0xfffffff00a2d9000
0xfffffff00868fa70: 089545f9  ldr	x8, [x8, #0xb28]
0xfffffff00868fa74: 1f0101eb  cmp	x8, x1
0xfffffff00868fa78: 200a0054  b.eq	#0xfffffff00868fbbc
0xfffffff00868fa7c: f60306aa  mov	x22, x6
0xfffffff00868fa80: f70305aa  mov	x23, x5
0xfffffff00868fa84: f80302aa  mov	x24, x2
0xfffffff00868fa88: 300340f9  ldr	x16, [x25]
