; Candidate 4642
; ADRP+ADD at VM 0xfffffff0087bf240 (fileoff 0x17bb240): page=0x1fe972000 add_imm=0xd90

0xfffffff0087bf1c0: 21640191  add	x1, x1, #0x59
0xfffffff0087bf1c4: e00313aa  mov	x0, x19
0xfffffff0087bf1c8: 22018052  mov	w2, #9
0xfffffff0087bf1cc: 3df0ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087bf1d0: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087bf1d4: 00690bb9  str	w0, [x8, #0xb68]
0xfffffff0087bf1d8: 08d549b9  ldr	w8, [x8, #0x9d4]
0xfffffff0087bf1dc: 68110034  cbz	w8, #0xfffffff0087bf408
0xfffffff0087bf1e0: 014dff90  adrp	x1, #0xfffffff00715f000
0xfffffff0087bf1e4: 218c0191  add	x1, x1, #0x63
0xfffffff0087bf1e8: e00313aa  mov	x0, x19
0xfffffff0087bf1ec: 02018052  mov	w2, #8
0xfffffff0087bf1f0: 34f0ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087bf1f4: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087bf1f8: 006d0bb9  str	w0, [x8, #0xb6c]
0xfffffff0087bf1fc: 1f000471  cmp	w0, #0x100
0xfffffff0087bf200: 03080054  b.lo	#0xfffffff0087bf300
0xfffffff0087bf204: e84cfff0  adrp	x8, #0xfffffff00715e000
0xfffffff0087bf208: 08793b91  add	x8, x8, #0xede
0xfffffff0087bf20c: e80300a9  stp	x8, x0, [sp]
0xfffffff0087bf210: 804bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087bf214: 00403691  add	x0, x0, #0xd90
0xfffffff0087bf218: e191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bf21c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bf220: 634cffd0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bf224: 63043891  add	x3, x3, #0xe01
0xfffffff0087bf228: 02008052  mov	w2, #0
0xfffffff0087bf22c: c1cfed97  bl	#0xfffffff008333130
0xfffffff0087bf230: 38feff17  b	#0xfffffff0087beb10
0xfffffff0087bf234: e94cfff0  adrp	x9, #0xfffffff00715e000
0xfffffff0087bf238: 29793b91  add	x9, x9, #0xede
0xfffffff0087bf23c: e92300a9  stp	x9, x8, [sp]
0xfffffff0087bf240: 804bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087bf244: 00403691  add	x0, x0, #0xd90
0xfffffff0087bf248: e191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bf24c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bf250: 634cffd0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bf254: 633c3691  add	x3, x3, #0xd8f
0xfffffff0087bf258: 02008052  mov	w2, #0
0xfffffff0087bf25c: b5cfed97  bl	#0xfffffff008333130
0xfffffff0087bf260: 2cfeff17  b	#0xfffffff0087beb10
0xfffffff0087bf264: e84cfff0  adrp	x8, #0xfffffff00715e000
0xfffffff0087bf268: 08793b91  add	x8, x8, #0xede
0xfffffff0087bf26c: e80300a9  stp	x8, x0, [sp]
0xfffffff0087bf270: 804bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087bf274: 00403691  add	x0, x0, #0xd90
0xfffffff0087bf278: e191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bf27c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bf280: 634cffd0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bf284: 63e43091  add	x3, x3, #0xc39
0xfffffff0087bf288: 02008052  mov	w2, #0
0xfffffff0087bf28c: a9cfed97  bl	#0xfffffff008333130
0xfffffff0087bf290: 20feff17  b	#0xfffffff0087beb10
0xfffffff0087bf294: e84cfff0  adrp	x8, #0xfffffff00715e000
0xfffffff0087bf298: 08793b91  add	x8, x8, #0xede
0xfffffff0087bf29c: e80300a9  stp	x8, x0, [sp]
0xfffffff0087bf2a0: 804bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087bf2a4: 00403691  add	x0, x0, #0xd90
0xfffffff0087bf2a8: e191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bf2ac: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bf2b0: 634cffd0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bf2b4: 637c3191  add	x3, x3, #0xc5f
0xfffffff0087bf2b8: 02008052  mov	w2, #0
0xfffffff0087bf2bc: 9dcfed97  bl	#0xfffffff008333130
