; Candidate 7776
; ADRP+ADD at VM 0xfffffff00887ea9c (fileoff 0x187aa9c): page=0x1fe96b000 add_imm=0xe80

0xfffffff00887ea1c: 604dffd0  adrp	x0, #0xfffffff00722c000
0xfffffff00887ea20: 00001791  add	x0, x0, #0x5c0
0xfffffff00887ea24: 8fe2d497  bl	#0xfffffff007db7460
0xfffffff00887ea28: 25000014  b	#0xfffffff00887eabc
0xfffffff00887ea2c: e0d50094  bl	#0xfffffff0088b41ac
0xfffffff00887ea30: f50300aa  mov	x21, x0
0xfffffff00887ea34: e00316aa  mov	x0, x22
0xfffffff00887ea38: 86f3ff97  bl	#0xfffffff00887b850
0xfffffff00887ea3c: 681240f9  ldr	x8, [x19, #0x20]
0xfffffff00887ea40: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff00887ea44: ea030191  add	x10, sp, #0x40
0xfffffff00887ea48: e82b03a9  stp	x8, x10, [sp, #0x30]
0xfffffff00887ea4c: f32702a9  stp	x19, x9, [sp, #0x20]
0xfffffff00887ea50: a8c301d1  sub	x8, x29, #0x70
0xfffffff00887ea54: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00887ea58: f55300a9  stp	x21, x20, [sp]
0xfffffff00887ea5c: 404bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00887ea60: 00003a91  add	x0, x0, #0xe80
0xfffffff00887ea64: 418cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00887ea68: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00887ea6c: e34effb0  adrp	x3, #0xfffffff00725b000
0xfffffff00887ea70: 63f41191  add	x3, x3, #0x47d
0xfffffff00887ea74: 02008052  mov	w2, #0
0xfffffff00887ea78: aed1ea97  bl	#0xfffffff008333130
0xfffffff00887ea7c: 10000014  b	#0xfffffff00887eabc
0xfffffff00887ea80: 681240f9  ldr	x8, [x19, #0x20]
0xfffffff00887ea84: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff00887ea88: ea030191  add	x10, sp, #0x40
0xfffffff00887ea8c: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff00887ea90: f3a700a9  stp	x19, x9, [sp, #8]
0xfffffff00887ea94: a8c301d1  sub	x8, x29, #0x70
0xfffffff00887ea98: e80300f9  str	x8, [sp]
0xfffffff00887ea9c: 404bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00887eaa0: 00003a91  add	x0, x0, #0xe80
0xfffffff00887eaa4: 418cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00887eaa8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00887eaac: e34effb0  adrp	x3, #0xfffffff00725b000
0xfffffff00887eab0: 633c1191  add	x3, x3, #0x44f
0xfffffff00887eab4: 02008052  mov	w2, #0
0xfffffff00887eab8: 9ed1ea97  bl	#0xfffffff008333130
0xfffffff00887eabc: a8835bf8  ldur	x8, [x29, #-0x48]
0xfffffff00887eac0: 498cffd0  adrp	x9, #0xfffffff007a08000
0xfffffff00887eac4: 292942f9  ldr	x9, [x9, #0x450]
0xfffffff00887eac8: 290140f9  ldr	x9, [x9]
0xfffffff00887eacc: 3f0108eb  cmp	x9, x8
0xfffffff00887ead0: 21010054  b.ne	#0xfffffff00887eaf4
0xfffffff00887ead4: 00008052  mov	w0, #0
0xfffffff00887ead8: fd7b53a9  ldp	x29, x30, [sp, #0x130]
0xfffffff00887eadc: f44f52a9  ldp	x20, x19, [sp, #0x120]
0xfffffff00887eae0: f65751a9  ldp	x22, x21, [sp, #0x110]
0xfffffff00887eae4: f85f50a9  ldp	x24, x23, [sp, #0x100]
0xfffffff00887eae8: fc6f4fa9  ldp	x28, x27, [sp, #0xf0]
0xfffffff00887eaec: ff030591  add	sp, sp, #0x140
0xfffffff00887eaf0: ff0f5fd6  retab	
0xfffffff00887eaf4: d67cd397  bl	#0xfffffff007d5de4c
0xfffffff00887eaf8: 7f2303d5  pacibsp	
0xfffffff00887eafc: ffc302d1  sub	sp, sp, #0xb0
0xfffffff00887eb00: f85f07a9  stp	x24, x23, [sp, #0x70]
0xfffffff00887eb04: f65708a9  stp	x22, x21, [sp, #0x80]
0xfffffff00887eb08: f44f09a9  stp	x20, x19, [sp, #0x90]
0xfffffff00887eb0c: fd7b0aa9  stp	x29, x30, [sp, #0xa0]
0xfffffff00887eb10: fd830291  add	x29, sp, #0xa0
0xfffffff00887eb14: f40301aa  mov	x20, x1
0xfffffff00887eb18: f30300aa  mov	x19, x0
