; Candidate 16402
; ADRP+ADD at VM 0xfffffff009e853c8 (fileoff 0x2e813c8): page=0x1fd9b2000 add_imm=0xdd4

0xfffffff009e85348: 750200b4  cbz	x21, #0xfffffff009e85394
0xfffffff009e8534c: e00315aa  mov	x0, x21
0xfffffff009e85350: dead0194  bl	#0xfffffff009ef0ac8
0xfffffff009e85354: e07f00f9  str	x0, [sp, #0xf8]
0xfffffff009e85358: 600100b4  cbz	x0, #0xfffffff009e85384
0xfffffff009e8535c: a32240f9  ldr	x3, [x21, #0x40]
0xfffffff009e85360: ff0300f9  str	xzr, [sp]
0xfffffff009e85364: e5e30391  add	x5, sp, #0xf8
0xfffffff009e85368: a60302d1  sub	x6, x29, #0x80
0xfffffff009e8536c: e00313aa  mov	x0, x19
0xfffffff009e85370: e10315aa  mov	x1, x21
0xfffffff009e85374: e24740f9  ldr	x2, [sp, #0x88]
0xfffffff009e85378: 040080d2  mov	x4, #0
0xfffffff009e8537c: 47008052  mov	w7, #2
0xfffffff009e85380: a7c60194  bl	#0xfffffff009ef6e1c
0xfffffff009e85384: e00313aa  mov	x0, x19
0xfffffff009e85388: e10315aa  mov	x1, x21
0xfffffff009e8538c: 020080d2  mov	x2, #0
0xfffffff009e85390: f0c90194  bl	#0xfffffff009ef7b50
0xfffffff009e85394: e00313aa  mov	x0, x19
0xfffffff009e85398: 0e6e0194  bl	#0xfffffff009ee0bd0
0xfffffff009e8539c: f8f740b9  ldr	w24, [sp, #0xf4]
0xfffffff009e853a0: e5fdff17  b	#0xfffffff009e84b34
0xfffffff009e853a4: 35cefeb0  adrp	x21, #0xfffffff00784a000
0xfffffff009e853a8: b59e0691  add	x21, x21, #0x1a7
0xfffffff009e853ac: e9031caa  mov	x9, x28
0xfffffff009e853b0: e95703a9  stp	x9, x21, [sp, #0x30]
0xfffffff009e853b4: f62302a9  stp	x22, x8, [sp, #0x20]
0xfffffff009e853b8: f46701a9  stp	x20, x25, [sp, #0x10]
0xfffffff009e853bc: 88cdfed0  adrp	x8, #0xfffffff007837000
0xfffffff009e853c0: 08a53891  add	x8, x8, #0xe29
0xfffffff009e853c4: a9f68952  mov	w9, #0x4fb5
0xfffffff009e853c8: 80cdfed0  adrp	x0, #0xfffffff007837000
0xfffffff009e853cc: 00503791  add	x0, x0, #0xdd4
0xfffffff009e853d0: e82700a9  stp	x8, x9, [sp]
0xfffffff009e853d4: 3ce9ff97  bl	#0xfffffff009e7f8c4
0xfffffff009e853d8: fcf700b9  str	w28, [sp, #0xf4]
0xfffffff009e853dc: fcd701a9  stp	x28, x21, [sp, #0x18]
0xfffffff009e853e0: 88cdfed0  adrp	x8, #0xfffffff007837000
0xfffffff009e853e4: 08e52b91  add	x8, x8, #0xaf9
0xfffffff009e853e8: 090f8a52  mov	w9, #0x5078
0xfffffff009e853ec: e9d300a9  stp	x9, x20, [sp, #8]
0xfffffff009e853f0: e80300f9  str	x8, [sp]
0xfffffff009e853f4: 80cdfed0  adrp	x0, #0xfffffff007837000
0xfffffff009e853f8: 00102d91  add	x0, x0, #0xb44
0xfffffff009e853fc: 38ffff17  b	#0xfffffff009e850dc
0xfffffff009e85400: 190080d2  mov	x25, #0
0xfffffff009e85404: b68311f8  stur	x22, [x29, #-0xe8]
0xfffffff009e85408: e83b40f9  ldr	x8, [sp, #0x70]
0xfffffff009e8540c: e802088b  add	x8, x23, x8
0xfffffff009e85410: e92740f9  ldr	x9, [sp, #0x48]
0xfffffff009e85414: 0809c99a  udiv	x8, x8, x9
0xfffffff009e85418: 08fd41d3  lsr	x8, x8, #1
0xfffffff009e8541c: 69e19ad2  mov	x9, #0xd70b
0xfffffff009e85420: 6914aef2  movk	x9, #0x70a3, lsl #16
0xfffffff009e85424: a947c1f2  movk	x9, #0xa3d, lsl #32
0xfffffff009e85428: e97af4f2  movk	x9, #0xa3d7, lsl #48
0xfffffff009e8542c: 087dc99b  umulh	x8, x8, x9
0xfffffff009e85430: 08fd44d3  lsr	x8, x8, #4
0xfffffff009e85434: 020d0091  add	x2, x8, #3
0xfffffff009e85438: e3030391  add	x3, sp, #0xc0
0xfffffff009e8543c: e00313aa  mov	x0, x19
0xfffffff009e85440: 81008052  mov	w1, #4
0xfffffff009e85444: 57020094  bl	#0xfffffff009e85da0
