; Candidate 7576
; ADRP+ADD at VM 0xfffffff008873548 (fileoff 0x186f548): page=0x1fe9a0000 add_imm=0xe0f

0xfffffff0088734c8: 00008052  mov	w0, #0
0xfffffff0088734cc: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0088734d0: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0088734d4: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0088734d8: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0088734dc: ff030291  add	sp, sp, #0x80
0xfffffff0088734e0: ff0f5fd6  retab	
0xfffffff0088734e4: 7f2303d5  pacibsp	
0xfffffff0088734e8: ff8301d1  sub	sp, sp, #0x60
0xfffffff0088734ec: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0088734f0: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0088734f4: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0088734f8: fd430191  add	x29, sp, #0x50
0xfffffff0088734fc: f30300aa  mov	x19, x0
0xfffffff008873500: 600b8052  mov	w0, #0x5b
0xfffffff008873504: e1008052  mov	w1, #7
0xfffffff008873508: b2200094  bl	#0xfffffff00887b7d0
0xfffffff00887350c: a0040034  cbz	w0, #0xfffffff0088735a0
0xfffffff008873510: 600b8052  mov	w0, #0x5b
0xfffffff008873514: c1200094  bl	#0xfffffff00887b818
0xfffffff008873518: f50300aa  mov	x21, x0
0xfffffff00887351c: 24030194  bl	#0xfffffff0088b41ac
0xfffffff008873520: f40300aa  mov	x20, x0
0xfffffff008873524: e0008052  mov	w0, #7
0xfffffff008873528: ca200094  bl	#0xfffffff00887b850
0xfffffff00887352c: 75010034  cbz	w21, #0xfffffff008873558
0xfffffff008873530: a84dfff0  adrp	x8, #0xfffffff00722a000
0xfffffff008873534: 08ed2c91  add	x8, x8, #0xb3b
0xfffffff008873538: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00887353c: 680b8052  mov	w8, #0x5b
0xfffffff008873540: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008873544: f40300f9  str	x20, [sp]
0xfffffff008873548: 004dff90  adrp	x0, #0xfffffff007213000
0xfffffff00887354c: 003c3891  add	x0, x0, #0xe0f
0xfffffff008873550: c40fd597  bl	#0xfffffff007db7460
0xfffffff008873554: 13000014  b	#0xfffffff0088735a0
0xfffffff008873558: 15030194  bl	#0xfffffff0088b41ac
0xfffffff00887355c: f40300aa  mov	x20, x0
0xfffffff008873560: e0008052  mov	w0, #7
0xfffffff008873564: bb200094  bl	#0xfffffff00887b850
0xfffffff008873568: a84dfff0  adrp	x8, #0xfffffff00722a000
0xfffffff00887356c: 08ed2c91  add	x8, x8, #0xb3b
0xfffffff008873570: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008873574: 680b8052  mov	w8, #0x5b
0xfffffff008873578: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00887357c: f40300f9  str	x20, [sp]
0xfffffff008873580: a04bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008873584: 00003a91  add	x0, x0, #0xe80
0xfffffff008873588: a18cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00887358c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008873590: 234fffd0  adrp	x3, #0xfffffff007259000
0xfffffff008873594: 63e41091  add	x3, x3, #0x439
0xfffffff008873598: 02008052  mov	w2, #0
0xfffffff00887359c: e5feea97  bl	#0xfffffff008333130
0xfffffff0088735a0: 94088052  mov	w20, #0x44
0xfffffff0088735a4: 1408a072  movk	w20, #0x40, lsl #16
0xfffffff0088735a8: 82121f11  add	w2, w20, #0x7c4
0xfffffff0088735ac: e00313aa  mov	x0, x19
0xfffffff0088735b0: 21008052  mov	w1, #1
0xfffffff0088735b4: 23008052  mov	w3, #1
0xfffffff0088735b8: ee460094  bl	#0xfffffff008885170
0xfffffff0088735bc: e00313aa  mov	x0, x19
0xfffffff0088735c0: 21008052  mov	w1, #1
0xfffffff0088735c4: 82088052  mov	w2, #0x44
