; Candidate 203
; ADRP+ADD at VM 0xfffffff007e312f4 (fileoff 0xe2d2f4): page=0x23a0000 add_imm=0xd20

0xfffffff007e31274: 3ffda288  casl	w2, wzr, [x9]
0xfffffff007e31278: 5f00086b  cmp	w2, w8
0xfffffff007e3127c: 21050054  b.ne	#0xfffffff007e31320
0xfffffff007e31280: e86e40b9  ldr	w8, [x23, #0x6c]
0xfffffff007e31284: e9ff8752  mov	w9, #0x3fff
0xfffffff007e31288: 2809082b  adds	w8, w9, w8, lsl #2
0xfffffff007e3128c: 22110054  b.hs	#0xfffffff007e314b0
0xfffffff007e31290: 087d0e53  lsr	w8, w8, #0xe
0xfffffff007e31294: ea1e01f0  adrp	x10, #0xfffffff00a210000
0xfffffff007e31298: 494147f9  ldr	x9, [x10, #0xe80]
0xfffffff007e3129c: 2801088b  add	x8, x9, x8
0xfffffff007e312a0: 484107f9  str	x8, [x10, #0xe80]
0xfffffff007e312a4: 081d0190  adrp	x8, #0xfffffff00a1d1000
0xfffffff007e312a8: 08b13391  add	x8, x8, #0xcec
0xfffffff007e312ac: 08000014  b	#0xfffffff007e312cc
0xfffffff007e312b0: 08010032  orr	w8, w8, #1
0xfffffff007e312b4: e8920878  sturh	w8, [x23, #0x89]
0xfffffff007e312b8: f33e00f9  str	x19, [x23, #0x78]
0xfffffff007e312bc: e00317aa  mov	x0, x23
0xfffffff007e312c0: b8e6ff97  bl	#0xfffffff007e2ada0
0xfffffff007e312c4: 081d0190  adrp	x8, #0xfffffff00a1d1000
0xfffffff007e312c8: 08c13391  add	x8, x8, #0xcf0
0xfffffff007e312cc: 090140b9  ldr	w9, [x8]
0xfffffff007e312d0: 29050011  add	w9, w9, #1
0xfffffff007e312d4: 090100b9  str	w9, [x8]
0xfffffff007e312d8: e00315aa  mov	x0, x21
0xfffffff007e312dc: d3f4fd97  bl	#0xfffffff007dae628
0xfffffff007e312e0: 68265839  ldrb	w8, [x19, #0x609]
0xfffffff007e312e4: 68e6ff34  cbz	w8, #0xfffffff007e30fb0
0xfffffff007e312e8: 20008052  mov	w0, #1
0xfffffff007e312ec: c3630494  bl	#0xfffffff007f4a1f8
0xfffffff007e312f0: 30ffff17  b	#0xfffffff007e30fb0
0xfffffff007e312f4: 001d0190  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e312f8: 00803491  add	x0, x0, #0xd20
0xfffffff007e312fc: e10313aa  mov	x1, x19
0xfffffff007e31300: 42008052  mov	w2, #2
0xfffffff007e31304: fde9fd97  bl	#0xfffffff007dabaf8
0xfffffff007e31308: 35ffff17  b	#0xfffffff007e30fdc
0xfffffff007e3130c: 001d0190  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e31310: 00803491  add	x0, x0, #0xd20
0xfffffff007e31314: e10313aa  mov	x1, x19
0xfffffff007e31318: 13edfd97  bl	#0xfffffff007dac764
0xfffffff007e3131c: 83ffff17  b	#0xfffffff007e31128
0xfffffff007e31320: e00317aa  mov	x0, x23
0xfffffff007e31324: e10313aa  mov	x1, x19
0xfffffff007e31328: 0fedfd97  bl	#0xfffffff007dac764
0xfffffff007e3132c: d5ffff17  b	#0xfffffff007e31280
0xfffffff007e31330: 091d0190  adrp	x9, #0xfffffff00a1d1000
0xfffffff007e31334: 28e94cb9  ldr	w8, [x9, #0xce8]
0xfffffff007e31338: 08050011  add	w8, w8, #1
0xfffffff007e3133c: 28e90cb9  str	w8, [x9, #0xce8]
0xfffffff007e31340: 681a44b9  ldr	w8, [x19, #0x418]
0xfffffff007e31344: e20308aa  mov	x2, x8
0xfffffff007e31348: 9fffa288  casl	w2, wzr, [x28]
0xfffffff007e3134c: 5f00086b  cmp	w2, w8
0xfffffff007e31350: a1030054  b.ne	#0xfffffff007e313c4
0xfffffff007e31354: e00315aa  mov	x0, x21
0xfffffff007e31358: b4f4fd97  bl	#0xfffffff007dae628
0xfffffff007e3135c: 0c1d0190  adrp	x12, #0xfffffff00a1d1000
0xfffffff007e31360: 0d1d0190  adrp	x13, #0xfffffff00a1d1000
0xfffffff007e31364: eb1f40b9  ldr	w11, [sp, #0x1c]
0xfffffff007e31368: ebdaff34  cbz	w11, #0xfffffff007e30ec4
0xfffffff007e3136c: 58000094  bl	#0xfffffff007e314cc
0xfffffff007e31370: 0d1d0190  adrp	x13, #0xfffffff00a1d1000
