; Candidate 702
; ADRP+ADD at VM 0xfffffff008032380 (fileoff 0x102e380): page=0x1ff944000 add_imm=0xdf0

0xfffffff008032300: 29008052  mov	w9, #1
0xfffffff008032304: 095d00b9  str	w9, [x8, #0x5c]
0xfffffff008032308: 682341f9  ldr	x8, [x27, #0x240]
0xfffffff00803230c: f4031caa  mov	x20, x28
0xfffffff008032310: fc0315aa  mov	x28, x21
0xfffffff008032314: f50318aa  mov	x21, x24
0xfffffff008032318: f85b40b9  ldr	w24, [sp, #0x58]
0xfffffff00803231c: e80000b4  cbz	x8, #0xfffffff008032338
0xfffffff008032320: 09d946b9  ldr	w9, [x8, #0x6d8]
0xfffffff008032324: 29050071  subs	w9, w9, #1
0xfffffff008032328: 09d906b9  str	w9, [x8, #0x6d8]
0xfffffff00803232c: 61000054  b.ne	#0xfffffff008032338
0xfffffff008032330: 00011291  add	x0, x8, #0x480
0xfffffff008032334: f13e0094  bl	#0xfffffff008041ef8
0xfffffff008032338: e00317aa  mov	x0, x23
0xfffffff00803233c: e10316aa  mov	x1, x22
0xfffffff008032340: 02818052  mov	w2, #0x408
0xfffffff008032344: 5e3efa97  bl	#0xfffffff007ec1cbc
0xfffffff008032348: e09b0035  cbnz	w0, #0xfffffff0080336c4
0xfffffff00803234c: 5a070011  add	w26, w26, #1
0xfffffff008032350: d6221091  add	x22, x22, #0x408
0xfffffff008032354: 5f03186b  cmp	w26, w24
0xfffffff008032358: 21f6ff54  b.ne	#0xfffffff00803221c
0xfffffff00803235c: 20caff90  adrp	x0, #0xfffffff007976000
0xfffffff008032360: 00c03591  add	x0, x0, #0xd70
0xfffffff008032364: e10319aa  mov	x1, x25
0xfffffff008032368: 295ef797  bl	#0xfffffff007e09c0c
0xfffffff00803236c: 20caff90  adrp	x0, #0xfffffff007976000
0xfffffff008032370: 00c03691  add	x0, x0, #0xdb0
0xfffffff008032374: 1f020014  b	#0xfffffff008032bf0
0xfffffff008032378: 1f211071  cmp	w8, #0x408
0xfffffff00803237c: e1170054  b.ne	#0xfffffff008032678
0xfffffff008032380: 20caff90  adrp	x0, #0xfffffff007976000
0xfffffff008032384: 00c03791  add	x0, x0, #0xdf0
0xfffffff008032388: 01008052  mov	w1, #0
0xfffffff00803238c: d2d2f597  bl	#0xfffffff007da6ed4
0xfffffff008032390: f70300aa  mov	x23, x0
0xfffffff008032394: 20caff90  adrp	x0, #0xfffffff007976000
0xfffffff008032398: 00c03891  add	x0, x0, #0xe30
0xfffffff00803239c: 01008052  mov	w1, #0
0xfffffff0080323a0: cdd2f597  bl	#0xfffffff007da6ed4
0xfffffff0080323a4: e02300f9  str	x0, [sp, #0x40]
0xfffffff0080323a8: f85b40b9  ldr	w24, [sp, #0x58]
0xfffffff0080323ac: 1f070071  cmp	w24, #1
0xfffffff0080323b0: 4b410054  b.lt	#0xfffffff008032bd8
0xfffffff0080323b4: 1b008052  mov	w27, #0
0xfffffff0080323b8: e8120091  add	x8, x23, #4
0xfffffff0080323bc: e82700f9  str	x8, [sp, #0x48]
0xfffffff0080323c0: 14000014  b	#0xfffffff008032410
0xfffffff0080323c4: f32340f9  ldr	x19, [sp, #0x40]
0xfffffff0080323c8: e00313aa  mov	x0, x19
0xfffffff0080323cc: 01858052  mov	w1, #0x428
0xfffffff0080323d0: dc69f497  bl	#0xfffffff007d4cb40
0xfffffff0080323d4: e00313aa  mov	x0, x19
0xfffffff0080323d8: e12740f9  ldr	x1, [sp, #0x48]
0xfffffff0080323dc: 02808052  mov	w2, #0x400
0xfffffff0080323e0: 03808052  mov	w3, #0x400
0xfffffff0080323e4: 94b6f997  bl	#0xfffffff007e9fe34
0xfffffff0080323e8: e10644b9  ldr	w1, [x23, #0x404]
0xfffffff0080323ec: e00313aa  mov	x0, x19
0xfffffff0080323f0: 020080d2  mov	x2, #0
0xfffffff0080323f4: 03008052  mov	w3, #0
0xfffffff0080323f8: 0f570094  bl	#0xfffffff008048034
0xfffffff0080323fc: 80c40035  cbnz	w0, #0xfffffff008033c8c
