; Candidate 3816
; ADRP+ADD at VM 0xfffffff00876455c (fileoff 0x176055c): page=0x1fe9cd000 add_imm=0xd90

0xfffffff0087644dc: fd030191  add	x29, sp, #0x40
0xfffffff0087644e0: f30300aa  mov	x19, x0
0xfffffff0087644e4: 090080d2  mov	x9, #0
0xfffffff0087644e8: 16008052  mov	w22, #0
0xfffffff0087644ec: 081041b9  ldr	w8, [x0, #0x110]
0xfffffff0087644f0: 0a0a8052  mov	w10, #0x50
0xfffffff0087644f4: 0a010a9b  madd	x10, x8, x10, x0
0xfffffff0087644f8: 4ba94b79  ldrh	w11, [x10, #0x5d4]
0xfffffff0087644fc: 0c118052  mov	w12, #0x88
0xfffffff008764500: 6b010c9b  madd	x11, x11, x12, x0
0xfffffff008764504: 74e153a9  ldp	x20, x24, [x11, #0x138]
0xfffffff008764508: 55ad4b79  ldrh	w21, [x10, #0x5d6]
0xfffffff00876450c: 17008012  mov	w23, #-1
0xfffffff008764510: 2a008052  mov	w10, #1
0xfffffff008764514: eb030aaa  mov	x11, x10
0xfffffff008764518: 8a06098b  add	x10, x20, x9, lsl #1
0xfffffff00876451c: 4a394079  ldrh	w10, [x10, #0x1c]
0xfffffff008764520: ff060031  cmn	w23, #1
0xfffffff008764524: 2901971a  csel	w9, w9, w23, eq
0xfffffff008764528: 5f010071  cmp	w10, #0
0xfffffff00876452c: f702891a  csel	w23, w23, w9, eq
0xfffffff008764530: d606961a  cinc	w22, w22, ne
0xfffffff008764534: 29008052  mov	w9, #1
0xfffffff008764538: 0a008052  mov	w10, #0
0xfffffff00876453c: cbfe0737  tbnz	w11, #0, #0xfffffff008764514
0xfffffff008764540: df020071  cmp	w22, #0
0xfffffff008764544: e41a413a  ccmn	w23, #1, #4, ne
0xfffffff008764548: c1010054  b.ne	#0xfffffff008764580
0xfffffff00876454c: 081f8052  mov	w8, #0xf8
0xfffffff008764550: 894fffb0  adrp	x9, #0xfffffff007155000
0xfffffff008764554: 29412a91  add	x9, x9, #0xa90
0xfffffff008764558: e92300a9  stp	x9, x8, [sp]
0xfffffff00876455c: 604effb0  adrp	x0, #0xfffffff007131000
0xfffffff008764560: 00403691  add	x0, x0, #0xd90
0xfffffff008764564: c194ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008764568: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00876456c: e34effd0  adrp	x3, #0xfffffff007142000
0xfffffff008764570: 63101691  add	x3, x3, #0x584
0xfffffff008764574: 02008052  mov	w2, #0
0xfffffff008764578: ee3aef97  bl	#0xfffffff008333130
0xfffffff00876457c: 681241b9  ldr	w8, [x19, #0x110]
0xfffffff008764580: 090a8052  mov	w9, #0x50
0xfffffff008764584: 0a4d099b  madd	x10, x8, x9, x19
0xfffffff008764588: 58d905b9  str	w24, [x10, #0x5d8]
0xfffffff00876458c: 09a30811  add	w9, w24, #0x228
0xfffffff008764590: 49f105b9  str	w9, [x10, #0x5f0]
0xfffffff008764594: 000f040e  dup	v0.2s, w24
0xfffffff008764598: e950fff0  adrp	x9, #0xfffffff007183000
0xfffffff00876459c: 21f543fd  ldr	d1, [x9, #0x7e8]
0xfffffff0087645a0: 0184a10e  add	v1.2s, v0.2s, v1.2s
0xfffffff0087645a4: 41fd02fd  str	d1, [x10, #0x5f8]
0xfffffff0087645a8: 894a378b  add	x9, x20, w23, uxtw #2
0xfffffff0087645ac: 2b0d42b8  ldr	w11, [x9, #0x20]!
0xfffffff0087645b0: 6b01180b  add	w11, w11, w24
0xfffffff0087645b4: 4b0106b9  str	w11, [x10, #0x600]
0xfffffff0087645b8: df0a0071  cmp	w22, #2
0xfffffff0087645bc: e3000054  b.lo	#0xfffffff0087645d8
0xfffffff0087645c0: ea060011  add	w10, w23, #1
0xfffffff0087645c4: 8a4a2a8b  add	x10, x20, w10, uxtw #2
0xfffffff0087645c8: 4a2140b9  ldr	w10, [x10, #0x20]
0xfffffff0087645cc: 290140b9  ldr	w9, [x9]
0xfffffff0087645d0: 4901094b  sub	w9, w10, w9
0xfffffff0087645d4: 02000014  b	#0xfffffff0087645dc
0xfffffff0087645d8: 09008052  mov	w9, #0
