; Candidate 12603
; ADRP+ADD at VM 0xfffffff0090c361c (fileoff 0x20bf61c): page=0x1fe396000 add_imm=0xe24

0xfffffff0090c359c: 769200d0  adrp	x22, #0xfffffff00a311000
0xfffffff0090c35a0: c8c24339  ldrb	w8, [x22, #0xf0]
0xfffffff0090c35a4: 341dffd0  adrp	x20, #0xfffffff007469000
0xfffffff0090c35a8: 946a2191  add	x20, x20, #0x85a
0xfffffff0090c35ac: 151dff90  adrp	x21, #0xfffffff007463000
0xfffffff0090c35b0: b5d22991  add	x21, x21, #0xa74
0xfffffff0090c35b4: 1f290071  cmp	w8, #0xa
0xfffffff0090c35b8: a8000054  b.hi	#0xfffffff0090c35cc
0xfffffff0090c35bc: f55300a9  stp	x21, x20, [sp]
0xfffffff0090c35c0: a01cffd0  adrp	x0, #0xfffffff007459000
0xfffffff0090c35c4: 00583191  add	x0, x0, #0xc56
0xfffffff0090c35c8: 964eca97  bl	#0xfffffff008357020
0xfffffff0090c35cc: 81920090  adrp	x1, #0xfffffff00a313000
0xfffffff0090c35d0: 21403a91  add	x1, x1, #0xe90
0xfffffff0090c35d4: b0fffff0  adrp	x16, #0xfffffff0090ba000
0xfffffff0090c35d8: 10a20a91  add	x16, x16, #0x2a8
0xfffffff0090c35dc: 519081d2  mov	x17, #0xc82
0xfffffff0090c35e0: 3002c1da  pacia	x16, x17
0xfffffff0090c35e4: e00310aa  mov	x0, x16
0xfffffff0090c35e8: e2058052  mov	w2, #0x2f
0xfffffff0090c35ec: 11eaff97  bl	#0xfffffff0090bde30
0xfffffff0090c35f0: f30300aa  mov	x19, x0
0xfffffff0090c35f4: 1f000071  cmp	w0, #0
0xfffffff0090c35f8: c8088052  mov	w8, #0x46
0xfffffff0090c35fc: 49018052  mov	w9, #0xa
0xfffffff0090c3600: 2801881a  csel	w8, w9, w8, eq
0xfffffff0090c3604: c9c24339  ldrb	w9, [x22, #0xf0]
0xfffffff0090c3608: 1f01096b  cmp	w8, w9
0xfffffff0090c360c: e3000054  b.lo	#0xfffffff0090c3628
0xfffffff0090c3610: 687e4093  sxtw	x8, w19
0xfffffff0090c3614: f55300a9  stp	x21, x20, [sp]
0xfffffff0090c3618: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090c361c: a01cffd0  adrp	x0, #0xfffffff007459000
0xfffffff0090c3620: 00903891  add	x0, x0, #0xe24
0xfffffff0090c3624: 7f4eca97  bl	#0xfffffff008357020
0xfffffff0090c3628: e00313aa  mov	x0, x19
0xfffffff0090c362c: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0090c3630: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0090c3634: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff0090c3638: ff430191  add	sp, sp, #0x50
0xfffffff0090c363c: ff0f5fd6  retab	
0xfffffff0090c3640: 7f2303d5  pacibsp	
0xfffffff0090c3644: ffc301d1  sub	sp, sp, #0x70
0xfffffff0090c3648: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff0090c364c: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff0090c3650: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff0090c3654: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff0090c3658: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff0090c365c: fd830191  add	x29, sp, #0x60
0xfffffff0090c3660: f40304aa  mov	x20, x4
0xfffffff0090c3664: f50303aa  mov	x21, x3
0xfffffff0090c3668: f60302aa  mov	x22, x2
0xfffffff0090c366c: f70301aa  mov	x23, x1
0xfffffff0090c3670: f30300aa  mov	x19, x0
0xfffffff0090c3674: 7a9200d0  adrp	x26, #0xfffffff00a311000
0xfffffff0090c3678: 48c34339  ldrb	w8, [x26, #0xf0]
0xfffffff0090c367c: 381dffd0  adrp	x24, #0xfffffff007469000
0xfffffff0090c3680: 18cf2191  add	x24, x24, #0x873
0xfffffff0090c3684: 191dff90  adrp	x25, #0xfffffff007463000
0xfffffff0090c3688: 39d32991  add	x25, x25, #0xa74
0xfffffff0090c368c: 1f290071  cmp	w8, #0xa
0xfffffff0090c3690: a8000054  b.hi	#0xfffffff0090c36a4
0xfffffff0090c3694: f96300a9  stp	x25, x24, [sp]
0xfffffff0090c3698: a01cffd0  adrp	x0, #0xfffffff007459000
