; Candidate 11262
; ADRP+ADD at VM 0xfffffff008ed24fc (fileoff 0x1ece4fc): page=0x1fe510000 add_imm=0xd30

0xfffffff008ed247c: a90000b4  cbz	x9, #0xfffffff008ed2490
0xfffffff008ed2480: e92300a9  stp	x9, x8, [sp]
0xfffffff008ed2484: 8028ff90  adrp	x0, #0xfffffff0073e2000
0xfffffff008ed2488: 00c82691  add	x0, x0, #0x9b2
0xfffffff008ed248c: 04000014  b	#0xfffffff008ed249c
0xfffffff008ed2490: e80300f9  str	x8, [sp]
0xfffffff008ed2494: 8028ff90  adrp	x0, #0xfffffff0073e2000
0xfffffff008ed2498: 00b42791  add	x0, x0, #0x9ed
0xfffffff008ed249c: e112d297  bl	#0xfffffff008357020
0xfffffff008ed24a0: 5ff30e39  strb	wzr, [x26, #0x3bc]
0xfffffff008ed24a4: 68da51f9  ldr	x8, [x19, #0x23b0]
0xfffffff008ed24a8: 89f28452  mov	w9, #0x2794
0xfffffff008ed24ac: 1f692938  strb	wzr, [x8, x9]
0xfffffff008ed24b0: 700240f9  ldr	x16, [x19]
0xfffffff008ed24b4: f10313aa  mov	x17, x19
0xfffffff008ed24b8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ed24bc: 301ac1da  autda	x16, x17
0xfffffff008ed24c0: 11e580d2  mov	x17, #0x728
0xfffffff008ed24c4: 1002118b  add	x16, x16, x17
0xfffffff008ed24c8: 080240f9  ldr	x8, [x16]
0xfffffff008ed24cc: e90310aa  mov	x9, x16
0xfffffff008ed24d0: e00313aa  mov	x0, x19
0xfffffff008ed24d4: 010080d2  mov	x1, #0
0xfffffff008ed24d8: 020080d2  mov	x2, #0
0xfffffff008ed24dc: f10309aa  mov	x17, x9
0xfffffff008ed24e0: 510af3f2  movk	x17, #0x9852, lsl #48
0xfffffff008ed24e4: 11093fd7  blraa	x8, x17
0xfffffff008ed24e8: 7c0000b4  cbz	x28, #0xfffffff008ed24f4
0xfffffff008ed24ec: 60e653f9  ldr	x0, [x19, #0x27c8]
0xfffffff008ed24f0: 3315d297  bl	#0xfffffff0083579bc
0xfffffff008ed24f4: 36670051  sub	w22, w25, #0x19
0xfffffff008ed24f8: bbfdff17  b	#0xfffffff008ed1be4
0xfffffff008ed24fc: 8028ff90  adrp	x0, #0xfffffff0073e2000
0xfffffff008ed2500: 00c03491  add	x0, x0, #0xd30
0xfffffff008ed2504: c712d297  bl	#0xfffffff008357020
0xfffffff008ed2508: 700240f9  ldr	x16, [x19]
0xfffffff008ed250c: f10313aa  mov	x17, x19
0xfffffff008ed2510: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ed2514: 301ac1da  autda	x16, x17
0xfffffff008ed2518: 11e580d2  mov	x17, #0x728
0xfffffff008ed251c: 1002118b  add	x16, x16, x17
0xfffffff008ed2520: 080240f9  ldr	x8, [x16]
0xfffffff008ed2524: e90310aa  mov	x9, x16
0xfffffff008ed2528: e00313aa  mov	x0, x19
0xfffffff008ed252c: 010080d2  mov	x1, #0
0xfffffff008ed2530: 020080d2  mov	x2, #0
0xfffffff008ed2534: f10309aa  mov	x17, x9
0xfffffff008ed2538: 510af3f2  movk	x17, #0x9852, lsl #48
0xfffffff008ed253c: 11093fd7  blraa	x8, x17
0xfffffff008ed2540: 800c8052  mov	w0, #0x64
0xfffffff008ed2544: a912d297  bl	#0xfffffff008356fe8
0xfffffff008ed2548: 5f370f39  strb	wzr, [x26, #0x3cd]
0xfffffff008ed254c: 700240f9  ldr	x16, [x19]
0xfffffff008ed2550: f10313aa  mov	x17, x19
0xfffffff008ed2554: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ed2558: 301ac1da  autda	x16, x17
0xfffffff008ed255c: f10310aa  mov	x17, x16
0xfffffff008ed2560: f147c1da  xpacd	x17
0xfffffff008ed2564: 1f0211eb  cmp	x16, x17
0xfffffff008ed2568: 40000054  b.eq	#0xfffffff008ed2570
0xfffffff008ed256c: 408e38d4  brk	#0xc472
0xfffffff008ed2570: 08022c91  add	x8, x16, #0xb00
0xfffffff008ed2574: 098245f9  ldr	x9, [x16, #0xb00]
0xfffffff008ed2578: e00313aa  mov	x0, x19
