; Candidate 13705
; ADRP+ADD at VM 0xfffffff0093d9898 (fileoff 0x23d5898): page=0x1fe134000 add_imm=0xd25

0xfffffff0093d9818: 88f7bd97  bl	#0xfffffff008357638
0xfffffff0093d981c: 601a00f9  str	x0, [x19, #0x30]
0xfffffff0093d9820: 800c00b4  cbz	x0, #0xfffffff0093d99b0
0xfffffff0093d9824: 80028052  mov	w0, #0x14
0xfffffff0093d9828: 425ebc97  bl	#0xfffffff0082f1130
0xfffffff0093d982c: 601e00f9  str	x0, [x19, #0x38]
0xfffffff0093d9830: 200e00b4  cbz	x0, #0xfffffff0093d99f4
0xfffffff0093d9834: 20008052  mov	w0, #1
0xfffffff0093d9838: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0093d983c: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0093d9840: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0093d9844: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff0093d9848: ff830191  add	sp, sp, #0x60
0xfffffff0093d984c: ff0f5fd6  retab	
0xfffffff0093d9850: 700240f9  ldr	x16, [x19]
0xfffffff0093d9854: f10313aa  mov	x17, x19
0xfffffff0093d9858: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093d985c: 301ac1da  autda	x16, x17
0xfffffff0093d9860: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff0093d9864: e90310aa  mov	x9, x16
0xfffffff0093d9868: e00313aa  mov	x0, x19
0xfffffff0093d986c: f10309aa  mov	x17, x9
0xfffffff0093d9870: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff0093d9874: 11093fd7  blraa	x8, x17
0xfffffff0093d9878: 382cbc97  bl	#0xfffffff0082e4958
0xfffffff0093d987c: b409ff90  adrp	x20, #0xfffffff00750d000
0xfffffff0093d9880: 94123691  add	x20, x20, #0xd84
0xfffffff0093d9884: e05301a9  stp	x0, x20, [sp, #0x10]
0xfffffff0093d9888: b509ff90  adrp	x21, #0xfffffff00750d000
0xfffffff0093d988c: b50a3591  add	x21, x21, #0xd42
0xfffffff0093d9890: d6088052  mov	w22, #0x46
0xfffffff0093d9894: f55b00a9  stp	x21, x22, [sp]
0xfffffff0093d9898: a009ff90  adrp	x0, #0xfffffff00750d000
0xfffffff0093d989c: 00943491  add	x0, x0, #0xd25
0xfffffff0093d98a0: e0f5bd97  bl	#0xfffffff008357020
0xfffffff0093d98a4: 700240f9  ldr	x16, [x19]
0xfffffff0093d98a8: f10313aa  mov	x17, x19
0xfffffff0093d98ac: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093d98b0: 301ac1da  autda	x16, x17
0xfffffff0093d98b4: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff0093d98b8: e90310aa  mov	x9, x16
0xfffffff0093d98bc: e00313aa  mov	x0, x19
0xfffffff0093d98c0: f10309aa  mov	x17, x9
0xfffffff0093d98c4: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff0093d98c8: 11093fd7  blraa	x8, x17
0xfffffff0093d98cc: 232cbc97  bl	#0xfffffff0082e4958
0xfffffff0093d98d0: 700240f9  ldr	x16, [x19]
0xfffffff0093d98d4: f10313aa  mov	x17, x19
0xfffffff0093d98d8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093d98dc: 301ac1da  autda	x16, x17
0xfffffff0093d98e0: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff0093d98e4: e90310aa  mov	x9, x16
0xfffffff0093d98e8: e00313aa  mov	x0, x19
0xfffffff0093d98ec: f10309aa  mov	x17, x9
0xfffffff0093d98f0: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff0093d98f4: 11093fd7  blraa	x8, x17
0xfffffff0093d98f8: 182cbc97  bl	#0xfffffff0082e4958
0xfffffff0093d98fc: e05301a9  stp	x0, x20, [sp, #0x10]
0xfffffff0093d9900: f55b00a9  stp	x21, x22, [sp]
0xfffffff0093d9904: 8009fff0  adrp	x0, #0xfffffff00750c000
0xfffffff0093d9908: 00002a91  add	x0, x0, #0xa80
0xfffffff0093d990c: c13fff90  adrp	x1, #0xfffffff007bd1000
0xfffffff0093d9910: 213844f9  ldr	x1, [x1, #0x870]
0xfffffff0093d9914: a309ffd0  adrp	x3, #0xfffffff00750f000
