; Candidate 2688
; ADRP+ADD at VM 0xfffffff0086dfc28 (fileoff 0x16dbc28): page=0x1ff323000 add_imm=0xd28

0xfffffff0086dfba8: f10300aa  mov	x17, x0
0xfffffff0086dfbac: f136f8f2  movk	x17, #0xc1b7, lsl #48
0xfffffff0086dfbb0: 300ac1da  pacda	x16, x17
0xfffffff0086dfbb4: 100000f9  str	x16, [x0]
0xfffffff0086dfbb8: 082f8252  mov	w8, #0x1178
0xfffffff0086dfbbc: 1500088b  add	x21, x0, x8
0xfffffff0086dfbc0: 7602148b  add	x22, x19, x20
0xfffffff0086dfbc4: c8c248f9  ldr	x8, [x22, #0x1180]
0xfffffff0086dfbc8: a80000b4  cbz	x8, #0xfffffff0086dfbdc
0xfffffff0086dfbcc: a102148b  add	x1, x21, x20
0xfffffff0086dfbd0: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff0086dfbd4: 3df10194  bl	#0xfffffff00875c0c8
0xfffffff0086dfbd8: dfc208f9  str	xzr, [x22, #0x1180]
0xfffffff0086dfbdc: 94220291  add	x20, x20, #0x88
0xfffffff0086dfbe0: 9fe20ef1  cmp	x20, #0x3b8
0xfffffff0086dfbe4: e1feff54  b.ne	#0xfffffff0086dfbc0
0xfffffff0086dfbe8: 7f1600f9  str	xzr, [x19, #0x28]
0xfffffff0086dfbec: e00313aa  mov	x0, x19
0xfffffff0086dfbf0: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0086dfbf4: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0086dfbf8: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff0086dfbfc: ff2303d5  autibsp	
0xfffffff0086dfc00: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0086dfc04: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0086dfc0c
0xfffffff0086dfc08: 208e38d4  brk	#0xc471
0xfffffff0086dfc0c: 29660114  b	#0xfffffff0087394b0
0xfffffff0086dfc10: 7f2303d5  pacibsp	
0xfffffff0086dfc14: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0086dfc18: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0086dfc1c: fd430091  add	x29, sp, #0x10
0xfffffff0086dfc20: f30300aa  mov	x19, x0
0xfffffff0086dfc24: d7ffff97  bl	#0xfffffff0086dfb80
0xfffffff0086dfc28: 0099fff0  adrp	x0, #0xfffffff007a02000
0xfffffff0086dfc2c: 00a03491  add	x0, x0, #0xd28
0xfffffff0086dfc30: e10313aa  mov	x1, x19
0xfffffff0086dfc34: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0086dfc38: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0086dfc3c: ff2303d5  autibsp	
0xfffffff0086dfc40: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0086dfc44: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0086dfc4c
0xfffffff0086dfc48: 208e38d4  brk	#0xc471
0xfffffff0086dfc4c: b0daf117  b	#0xfffffff00835670c
0xfffffff0086dfc50: 7f2303d5  pacibsp	
0xfffffff0086dfc54: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff0086dfc58: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0086dfc5c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0086dfc60: fd830091  add	x29, sp, #0x20
0xfffffff0086dfc64: f30302aa  mov	x19, x2
0xfffffff0086dfc68: f40301aa  mov	x20, x1
0xfffffff0086dfc6c: f50300aa  mov	x21, x0
0xfffffff0086dfc70: 080c40f9  ldr	x8, [x0, #0x18]
0xfffffff0086dfc74: 008945f9  ldr	x0, [x8, #0xb10]
0xfffffff0086dfc78: a08e02f8  str	x0, [x21, #0x28]!
0xfffffff0086dfc7c: 884b8d52  mov	w8, #0x6a5c
0xfffffff0086dfc80: c800a072  movk	w8, #6, lsl #16
0xfffffff0086dfc84: a80a00b9  str	w8, [x21, #8]
0xfffffff0086dfc88: bfc21eb8  stur	wzr, [x21, #-0x14]
0xfffffff0086dfc8c: a0821ff8  stur	x0, [x21, #-8]
0xfffffff0086dfc90: 01008052  mov	w1, #0
0xfffffff0086dfc94: 824b8d52  mov	w2, #0x6a5c
0xfffffff0086dfc98: c200a072  movk	w2, #6, lsl #16
0xfffffff0086dfc9c: c9b3d997  bl	#0xfffffff007d4cbc0
0xfffffff0086dfca0: a8c25eb8  ldur	w8, [x21, #-0x14]
0xfffffff0086dfca4: a87a68f8  ldr	x8, [x21, x8, lsl #3]
