; Candidate 2774
; ADRP+ADD at VM 0xfffffff0086e78d4 (fileoff 0x16e38d4): page=0x1fea4a000 add_imm=0xd90

0xfffffff0086e7854: 1f01146a  tst	w8, w20
0xfffffff0086e7858: e0010054  b.eq	#0xfffffff0086e7894
0xfffffff0086e785c: f72b00a9  stp	x23, x10, [sp]
0xfffffff0086e7860: 4052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086e7864: 00403691  add	x0, x0, #0xd90
0xfffffff0086e7868: a198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e786c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e7870: 6352ff90  adrp	x3, #0xfffffff007133000
0xfffffff0086e7874: 63ac3091  add	x3, x3, #0xc2b
0xfffffff0086e7878: 02008052  mov	w2, #0
0xfffffff0086e787c: 2d2ef197  bl	#0xfffffff008333130
0xfffffff0086e7880: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff0086e7884: 05000014  b	#0xfffffff0086e7898
0xfffffff0086e7888: 19008052  mov	w25, #0
0xfffffff0086e788c: 18018052  mov	w24, #8
0xfffffff0086e7890: 03000014  b	#0xfffffff0086e789c
0xfffffff0086e7894: e8030aaa  mov	x8, x10
0xfffffff0086e7898: e90317aa  mov	x9, x23
0xfffffff0086e789c: ea03184b  neg	w10, w24
0xfffffff0086e78a0: 2a25ca1a  lsr	w10, w9, w10
0xfffffff0086e78a4: 5701192a  orr	w23, w10, w25
0xfffffff0086e78a8: 2921d81a  lsl	w9, w9, w24
0xfffffff0086e78ac: 0801184b  sub	w8, w8, w24
0xfffffff0086e78b0: 69220529  stp	w9, w8, [x19, #0x28]
0xfffffff0086e78b4: 69ce5eb9  ldr	w9, [x19, #0x1ecc]
0xfffffff0086e78b8: 3f01146a  tst	w9, w20
0xfffffff0086e78bc: c0010054  b.eq	#0xfffffff0086e78f4
0xfffffff0086e78c0: f72301a9  stp	x23, x8, [sp, #0x10]
0xfffffff0086e78c4: 4853ffb0  adrp	x8, #0xfffffff007150000
0xfffffff0086e78c8: 08c50c91  add	x8, x8, #0x331
0xfffffff0086e78cc: 09018052  mov	w9, #8
0xfffffff0086e78d0: e92300a9  stp	x9, x8, [sp]
0xfffffff0086e78d4: 4052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086e78d8: 00403691  add	x0, x0, #0xd90
0xfffffff0086e78dc: a198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e78e0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e78e4: 6352ff90  adrp	x3, #0xfffffff007133000
0xfffffff0086e78e8: 63d82d91  add	x3, x3, #0xb76
0xfffffff0086e78ec: 02008052  mov	w2, #0
0xfffffff0086e78f0: 102ef197  bl	#0xfffffff008333130
0xfffffff0086e78f4: bf260171  cmp	w21, #0x49
0xfffffff0086e78f8: e1000054  b.ne	#0xfffffff0086e7914
0xfffffff0086e78fc: df0e0271  cmp	w22, #0x83
0xfffffff0086e7900: a1000054  b.ne	#0xfffffff0086e7914
0xfffffff0086e7904: ff0a0171  cmp	w23, #0x42
0xfffffff0086e7908: 61000054  b.ne	#0xfffffff0086e7914
0xfffffff0086e790c: 00008052  mov	w0, #0
0xfffffff0086e7910: 16000014  b	#0xfffffff0086e7968
0xfffffff0086e7914: c8d98352  mov	w8, #0x1ece
0xfffffff0086e7918: 686a6838  ldrb	w8, [x19, x8]
0xfffffff0086e791c: 48020036  tbz	w8, #0, #0xfffffff0086e7964
0xfffffff0086e7920: f6df02a9  stp	x22, x23, [sp, #0x28]
0xfffffff0086e7924: 48088052  mov	w8, #0x42
0xfffffff0086e7928: 6a108052  mov	w10, #0x83
0xfffffff0086e792c: e8d701a9  stp	x8, x21, [sp, #0x18]
0xfffffff0086e7930: 28098052  mov	w8, #0x49
0xfffffff0086e7934: 4953ffb0  adrp	x9, #0xfffffff007150000
0xfffffff0086e7938: 29f50c91  add	x9, x9, #0x33d
0xfffffff0086e793c: e8ab00a9  stp	x8, x10, [sp, #8]
0xfffffff0086e7940: e90300f9  str	x9, [sp]
0xfffffff0086e7944: 4052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086e7948: 00403691  add	x0, x0, #0xd90
0xfffffff0086e794c: a198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e7950: 21dc41f9  ldr	x1, [x1, #0x3b8]
