; Candidate 3626
; ADRP+ADD at VM 0xfffffff008748c54 (fileoff 0x1744c54): page=0x1fea0f000 add_imm=0xecf

0xfffffff008748bd4: 08b141f9  ldr	x8, [x8, #0x360]
0xfffffff008748bd8: 080140f9  ldr	x8, [x8]
0xfffffff008748bdc: bf0208eb  cmp	x21, x8
0xfffffff008748be0: c0070054  b.eq	#0xfffffff008748cd8
0xfffffff008748be4: 900240f9  ldr	x16, [x20]
0xfffffff008748be8: f10314aa  mov	x17, x20
0xfffffff008748bec: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008748bf0: 301ac1da  autda	x16, x17
0xfffffff008748bf4: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff008748bf8: e90310aa  mov	x9, x16
0xfffffff008748bfc: e00314aa  mov	x0, x20
0xfffffff008748c00: f10309aa  mov	x17, x9
0xfffffff008748c04: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff008748c08: 11093fd7  blraa	x8, x17
0xfffffff008748c0c: 536fee97  bl	#0xfffffff0082e4958
0xfffffff008748c10: e00300f9  str	x0, [sp]
0xfffffff008748c14: 6050fff0  adrp	x0, #0xfffffff007157000
0xfffffff008748c18: 00003c91  add	x0, x0, #0xf00
0xfffffff008748c1c: 26000014  b	#0xfffffff008748cb4
0xfffffff008748c20: e00314aa  mov	x0, x20
0xfffffff008748c24: e10315aa  mov	x1, x21
0xfffffff008748c28: 336cee97  bl	#0xfffffff0082e3cf4
0xfffffff008748c2c: 100040f9  ldr	x16, [x0]
0xfffffff008748c30: f10300aa  mov	x17, x0
0xfffffff008748c34: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008748c38: 301ac1da  autda	x16, x17
0xfffffff008748c3c: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff008748c40: e90310aa  mov	x9, x16
0xfffffff008748c44: f10309aa  mov	x17, x9
0xfffffff008748c48: 910cf4f2  movk	x17, #0xa064, lsl #48
0xfffffff008748c4c: 11093fd7  blraa	x8, x17
0xfffffff008748c50: e00300a9  stp	x0, x0, [sp]
0xfffffff008748c54: 6050fff0  adrp	x0, #0xfffffff007157000
0xfffffff008748c58: 003c3b91  add	x0, x0, #0xecf
0xfffffff008748c5c: 16000014  b	#0xfffffff008748cb4
0xfffffff008748c60: e00314aa  mov	x0, x20
0xfffffff008748c64: e10315aa  mov	x1, x21
0xfffffff008748c68: 236cee97  bl	#0xfffffff0082e3cf4
0xfffffff008748c6c: 100040f9  ldr	x16, [x0]
0xfffffff008748c70: f10300aa  mov	x17, x0
0xfffffff008748c74: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008748c78: 301ac1da  autda	x16, x17
0xfffffff008748c7c: 088e47f8  ldr	x8, [x16, #0x78]!
0xfffffff008748c80: e90310aa  mov	x9, x16
0xfffffff008748c84: f10309aa  mov	x17, x9
0xfffffff008748c88: 11f9faf2  movk	x17, #0xd7c8, lsl #48
0xfffffff008748c8c: 11093fd7  blraa	x8, x17
0xfffffff008748c90: 6850fff0  adrp	x8, #0xfffffff007157000
0xfffffff008748c94: 08ad3b91  add	x8, x8, #0xeeb
0xfffffff008748c98: 6950fff0  adrp	x9, #0xfffffff007157000
0xfffffff008748c9c: 29993b91  add	x9, x9, #0xee6
0xfffffff008748ca0: 1f000071  cmp	w0, #0
0xfffffff008748ca4: 2811889a  csel	x8, x9, x8, ne
0xfffffff008748ca8: e80300f9  str	x8, [sp]
0xfffffff008748cac: 6050fff0  adrp	x0, #0xfffffff007157000
0xfffffff008748cb0: 00883b91  add	x0, x0, #0xee2
0xfffffff008748cb4: db38f097  bl	#0xfffffff008357020
0xfffffff008748cb8: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff008748cbc: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff008748cc0: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff008748cc4: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff008748cc8: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff008748ccc: fc6f41a9  ldp	x28, x27, [sp, #0x10]
0xfffffff008748cd0: ffc30191  add	sp, sp, #0x70
