; Candidate 1929
; ADRP+ADD at VM 0xfffffff00853c644 (fileoff 0x1538644): page=0x1ff465000 add_imm=0xd00

0xfffffff00853c5c4: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff00853c5c8: f32300a9  stp	x19, x8, [sp]
0xfffffff00853c5cc: 205dffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff00853c5d0: 00a83d91  add	x0, x0, #0xf6a
0xfffffff00853c5d4: ce5ffd97  bl	#0xfffffff00849450c
0xfffffff00853c5d8: 5f2403d5  bti	c
0xfffffff00853c5dc: c0ec00b0  adrp	x0, #0xfffffff00a2d5000
0xfffffff00853c5e0: 00003491  add	x0, x0, #0xd00
0xfffffff00853c5e4: c0035fd6  ret	
0xfffffff00853c5e8: 7f2303d5  pacibsp	
0xfffffff00853c5ec: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00853c5f0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00853c5f4: fd430091  add	x29, sp, #0x10
0xfffffff00853c5f8: f30300aa  mov	x19, x0
0xfffffff00853c5fc: d4abf697  bl	#0xfffffff0082e754c
0xfffffff00853c600: 20a3ffb0  adrp	x0, #0xfffffff0079a1000
0xfffffff00853c604: 00003491  add	x0, x0, #0xd00
0xfffffff00853c608: e10313aa  mov	x1, x19
0xfffffff00853c60c: 02188052  mov	w2, #0xc0
0xfffffff00853c610: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00853c614: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00853c618: ff2303d5  autibsp	
0xfffffff00853c61c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00853c620: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00853c628
0xfffffff00853c624: 208e38d4  brk	#0xc471
0xfffffff00853c628: 1dacf617  b	#0xfffffff0082e769c
0xfffffff00853c62c: 5f2403d5  bti	c
0xfffffff00853c630: c7abf617  b	#0xfffffff0082e754c
0xfffffff00853c634: 7f2303d5  pacibsp	
0xfffffff00853c638: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00853c63c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00853c640: fd430091  add	x29, sp, #0x10
0xfffffff00853c644: 20a3ffb0  adrp	x0, #0xfffffff0079a1000
0xfffffff00853c648: 00003491  add	x0, x0, #0xd00
0xfffffff00853c64c: 01188052  mov	w1, #0xc0
0xfffffff00853c650: faabf697  bl	#0xfffffff0082e7638
0xfffffff00853c654: f30300aa  mov	x19, x0
0xfffffff00853c658: d4ec00b0  adrp	x20, #0xfffffff00a2d5000
0xfffffff00853c65c: 94023491  add	x20, x20, #0xd00
0xfffffff00853c660: e10314aa  mov	x1, x20
0xfffffff00853c664: 42acf697  bl	#0xfffffff0082e776c
0xfffffff00853c668: 10a3ffb0  adrp	x16, #0xfffffff00799d000
0xfffffff00853c66c: 10c22891  add	x16, x16, #0xa30
0xfffffff00853c670: 10420091  add	x16, x16, #0x10
0xfffffff00853c674: f10300aa  mov	x17, x0
0xfffffff00853c678: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00853c67c: 300ac1da  pacda	x16, x17
0xfffffff00853c680: 100000f9  str	x16, [x0]
0xfffffff00853c684: 1fc00139  strb	wzr, [x0, #0x70]
0xfffffff00853c688: e00314aa  mov	x0, x20
0xfffffff00853c68c: aaa2f697  bl	#0xfffffff0082e5134
0xfffffff00853c690: e00313aa  mov	x0, x19
0xfffffff00853c694: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00853c698: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00853c69c: ff0f5fd6  retab	
0xfffffff00853c6a0: 5f2403d5  bti	c
0xfffffff00853c6a4: 14a0f617  b	#0xfffffff0082e46f4
0xfffffff00853c6a8: 5f2403d5  bti	c
0xfffffff00853c6ac: 12a0f617  b	#0xfffffff0082e46f4
0xfffffff00853c6b0: 7f2303d5  pacibsp	
0xfffffff00853c6b4: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff00853c6b8: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff00853c6bc: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00853c6c0: fd830091  add	x29, sp, #0x20
