; Candidate 2426
; ADRP+ADD at VM 0xfffffff00866489c (fileoff 0x166089c): page=0x1feab8000 add_imm=0xd44

0xfffffff00866481c: 8effff35  cbnz	w14, #0xfffffff00866480c
0xfffffff008664820: 0809cc1a  udiv	w8, w8, w12
0xfffffff008664824: 087d0b1b  mul	w8, w8, w11
0xfffffff008664828: 29050091  add	x9, x9, #1
0xfffffff00866482c: 3f2900f1  cmp	x9, #0xa
0xfffffff008664830: 41fdff54  b.ne	#0xfffffff0086647d8
0xfffffff008664834: a9298052  mov	w9, #0x14d
0xfffffff008664838: 957e091b  mul	w21, w20, w9
0xfffffff00866483c: 097d8052  mov	w9, #0x3e8
0xfffffff008664840: 097d091b  mul	w9, w8, w9
0xfffffff008664844: a90ac91a  udiv	w9, w21, w9
0xfffffff008664848: 367d081b  mul	w22, w9, w8
0xfffffff00866484c: a8999952  mov	w8, #0xcccd
0xfffffff008664850: 8899b972  movk	w8, #0xcccc, lsl #16
0xfffffff008664854: 887ea89b  umull	x8, w20, w8
0xfffffff008664858: 08fd63d3  lsr	x8, x8, #0x23
0xfffffff00866485c: df02086b  cmp	w22, w8
0xfffffff008664860: c222547a  ccmp	w22, w20, #2, hs
0xfffffff008664864: e9979f1a  cset	w9, hi
0xfffffff008664868: 2a3c40f2  ands	x10, x1, #0xffff
0xfffffff00866486c: 61000054  b.ne	#0xfffffff008664878
0xfffffff008664870: f30316aa  mov	x19, x22
0xfffffff008664874: e9050036  tbz	w9, #0, #0xfffffff008664930
0xfffffff008664878: 8a0100b4  cbz	x10, #0xfffffff0086648a8
0xfffffff00866487c: a055ff90  adrp	x0, #0xfffffff007118000
0xfffffff008664880: 00400791  add	x0, x0, #0x1d0
0xfffffff008664884: c19bfff0  adrp	x1, #0xfffffff0079df000
0xfffffff008664888: 21c845f9  ldr	x1, [x1, #0xb90]
0xfffffff00866488c: a355ffd0  adrp	x3, #0xfffffff00711a000
0xfffffff008664890: 63100b91  add	x3, x3, #0x2c4
0xfffffff008664894: 02028052  mov	w2, #0x10
0xfffffff008664898: 263af397  bl	#0xfffffff008333130
0xfffffff00866489c: c055ff90  adrp	x0, #0xfffffff00711c000
0xfffffff0086648a0: 00103591  add	x0, x0, #0xd44
0xfffffff0086648a4: 11000014  b	#0xfffffff0086648e8
0xfffffff0086648a8: 29020034  cbz	w9, #0xfffffff0086648ec
0xfffffff0086648ac: f30308aa  mov	x19, x8
0xfffffff0086648b0: f35301a9  stp	x19, x20, [sp, #0x10]
0xfffffff0086648b4: f65300a9  stp	x22, x20, [sp]
0xfffffff0086648b8: a055ff90  adrp	x0, #0xfffffff007118000
0xfffffff0086648bc: 00400791  add	x0, x0, #0x1d0
0xfffffff0086648c0: c19bfff0  adrp	x1, #0xfffffff0079df000
0xfffffff0086648c4: 21c845f9  ldr	x1, [x1, #0xb90]
0xfffffff0086648c8: a355ffd0  adrp	x3, #0xfffffff00711a000
0xfffffff0086648cc: 63a40b91  add	x3, x3, #0x2e9
0xfffffff0086648d0: 02028052  mov	w2, #0x10
0xfffffff0086648d4: 173af397  bl	#0xfffffff008333130
0xfffffff0086648d8: f35301a9  stp	x19, x20, [sp, #0x10]
0xfffffff0086648dc: f65300a9  stp	x22, x20, [sp]
0xfffffff0086648e0: c055ff90  adrp	x0, #0xfffffff00711c000
0xfffffff0086648e4: 00a83591  add	x0, x0, #0xd6a
0xfffffff0086648e8: cec9f397  bl	#0xfffffff008357020
0xfffffff0086648ec: 68ba8952  mov	w8, #0x4dd3
0xfffffff0086648f0: 480ca272  movk	w8, #0x1062, lsl #16
0xfffffff0086648f4: a87ea89b  umull	x8, w21, w8
0xfffffff0086648f8: 13fd66d3  lsr	x19, x8, #0x26
0xfffffff0086648fc: f30300f9  str	x19, [sp]
0xfffffff008664900: a055ff90  adrp	x0, #0xfffffff007118000
0xfffffff008664904: 00400791  add	x0, x0, #0x1d0
0xfffffff008664908: c19bfff0  adrp	x1, #0xfffffff0079df000
0xfffffff00866490c: 21c845f9  ldr	x1, [x1, #0xb90]
0xfffffff008664910: a355ffd0  adrp	x3, #0xfffffff00711a000
0xfffffff008664914: 63440d91  add	x3, x3, #0x351
0xfffffff008664918: 02028052  mov	w2, #0x10
