; Candidate 8836
; ADRP+ADD at VM 0xfffffff0088d9158 (fileoff 0x18d5158): page=0x1fe991000 add_imm=0xda6

0xfffffff0088d90d8: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0088d90dc: fdc30091  add	x29, sp, #0x30
0xfffffff0088d90e0: f30301aa  mov	x19, x1
0xfffffff0088d90e4: f40300aa  mov	x20, x0
0xfffffff0088d90e8: 100040f9  ldr	x16, [x0]
0xfffffff0088d90ec: f10300aa  mov	x17, x0
0xfffffff0088d90f0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088d90f4: 301ac1da  autda	x16, x17
0xfffffff0088d90f8: 115380d2  mov	x17, #0x298
0xfffffff0088d90fc: 1002118b  add	x16, x16, x17
0xfffffff0088d9100: 080240f9  ldr	x8, [x16]
0xfffffff0088d9104: e90310aa  mov	x9, x16
0xfffffff0088d9108: f10309aa  mov	x17, x9
0xfffffff0088d910c: b121f9f2  movk	x17, #0xc90d, lsl #48
0xfffffff0088d9110: 11093fd7  blraa	x8, x17
0xfffffff0088d9114: 80020837  tbnz	w0, #1, #0xfffffff0088d9164
0xfffffff0088d9118: 900240f9  ldr	x16, [x20]
0xfffffff0088d911c: f10314aa  mov	x17, x20
0xfffffff0088d9120: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088d9124: 301ac1da  autda	x16, x17
0xfffffff0088d9128: 113d80d2  mov	x17, #0x1e8
0xfffffff0088d912c: 1002118b  add	x16, x16, x17
0xfffffff0088d9130: 080240f9  ldr	x8, [x16]
0xfffffff0088d9134: e90310aa  mov	x9, x16
0xfffffff0088d9138: e00314aa  mov	x0, x20
0xfffffff0088d913c: 010080d2  mov	x1, #0
0xfffffff0088d9140: f10309aa  mov	x17, x9
0xfffffff0088d9144: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0088d9148: 11093fd7  blraa	x8, x17
0xfffffff0088d914c: 884cffb0  adrp	x8, #0xfffffff00726a000
0xfffffff0088d9150: 08293791  add	x8, x8, #0xdca
0xfffffff0088d9154: e02300a9  stp	x0, x8, [sp]
0xfffffff0088d9158: 804cffb0  adrp	x0, #0xfffffff00726a000
0xfffffff0088d915c: 00983691  add	x0, x0, #0xda6
0xfffffff0088d9160: b0f7e997  bl	#0xfffffff008357020
0xfffffff0088d9164: 330800b4  cbz	x19, #0xfffffff0088d9268
0xfffffff0088d9168: 900240f9  ldr	x16, [x20]
0xfffffff0088d916c: f10314aa  mov	x17, x20
0xfffffff0088d9170: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088d9174: 301ac1da  autda	x16, x17
0xfffffff0088d9178: 112380d2  mov	x17, #0x118
0xfffffff0088d917c: 1002118b  add	x16, x16, x17
0xfffffff0088d9180: 080240f9  ldr	x8, [x16]
0xfffffff0088d9184: e90310aa  mov	x9, x16
0xfffffff0088d9188: e00314aa  mov	x0, x20
0xfffffff0088d918c: e10313aa  mov	x1, x19
0xfffffff0088d9190: f10309aa  mov	x17, x9
0xfffffff0088d9194: b1f4e6f2  movk	x17, #0x37a5, lsl #48
0xfffffff0088d9198: 11093fd7  blraa	x8, x17
0xfffffff0088d919c: a00200b5  cbnz	x0, #0xfffffff0088d91f0
0xfffffff0088d91a0: 805640f9  ldr	x0, [x20, #0xa8]
0xfffffff0088d91a4: 600200b4  cbz	x0, #0xfffffff0088d91f0
0xfffffff0088d91a8: 100040f9  ldr	x16, [x0]
0xfffffff0088d91ac: f10300aa  mov	x17, x0
0xfffffff0088d91b0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088d91b4: 301ac1da  autda	x16, x17
0xfffffff0088d91b8: 088e4ef8  ldr	x8, [x16, #0xe8]!
0xfffffff0088d91bc: e90310aa  mov	x9, x16
0xfffffff0088d91c0: 10000090  adrp	x16, #0xfffffff0088d9000
0xfffffff0088d91c4: 10f20991  add	x16, x16, #0x27c
0xfffffff0088d91c8: 31a897d2  mov	x17, #0xbd41
0xfffffff0088d91cc: 3002c1da  pacia	x16, x17
0xfffffff0088d91d0: e10310aa  mov	x1, x16
0xfffffff0088d91d4: e20313aa  mov	x2, x19
