; Candidate 9578
; ADRP+ADD at VM 0xfffffff008a776e8 (fileoff 0x1a736e8): page=0x1feff1000 add_imm=0xe90

0xfffffff008a77668: e2230091  add	x2, sp, #8
0xfffffff008a7766c: 21609052  mov	w1, #0x8301
0xfffffff008a77670: e17fbc72  movk	w1, #0xe3ff, lsl #16
0xfffffff008a77674: 83008052  mov	w3, #4
0xfffffff008a77678: f10309aa  mov	x17, x9
0xfffffff008a7767c: 9178ecf2  movk	x17, #0x63c4, lsl #48
0xfffffff008a77680: 11093fd7  blraa	x8, x17
0xfffffff008a77684: 20008052  mov	w0, #1
0xfffffff008a77688: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008a7768c: ff830091  add	sp, sp, #0x20
0xfffffff008a77690: ff0f5fd6  retab	
0xfffffff008a77694: 7f2303d5  pacibsp	
0xfffffff008a77698: ff0302d1  sub	sp, sp, #0x80
0xfffffff008a7769c: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff008a776a0: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff008a776a4: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff008a776a8: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff008a776ac: fdc30191  add	x29, sp, #0x70
0xfffffff008a776b0: f40301aa  mov	x20, x1
0xfffffff008a776b4: f30300aa  mov	x19, x0
0xfffffff008a776b8: 28044039  ldrb	w8, [x1, #1]
0xfffffff008a776bc: 1f290271  cmp	w8, #0x8a
0xfffffff008a776c0: 40060054  b.eq	#0xfffffff008a77788
0xfffffff008a776c4: 1fd90171  cmp	w8, #0x76
0xfffffff008a776c8: 00060054  b.eq	#0xfffffff008a77788
0xfffffff008a776cc: 1fc10171  cmp	w8, #0x70
0xfffffff008a776d0: 21060054  b.ne	#0xfffffff008a77794
0xfffffff008a776d4: 98024039  ldrb	w24, [x20]
0xfffffff008a776d8: 170f00d1  sub	x23, x24, #3
0xfffffff008a776dc: e82200b1  adds	x8, x23, #8
0xfffffff008a776e0: 0900f0d2  mov	x9, #-0x8000000000000000
0xfffffff008a776e4: 3521889a  csel	x21, x9, x8, hs
0xfffffff008a776e8: 807fffb0  adrp	x0, #0xfffffff007a68000
0xfffffff008a776ec: 00403a91  add	x0, x0, #0xe90
0xfffffff008a776f0: e10315aa  mov	x1, x21
0xfffffff008a776f4: b77de397  bl	#0xfffffff008356dd0
0xfffffff008a776f8: f60300aa  mov	x22, x0
0xfffffff008a776fc: 000400b4  cbz	x0, #0xfffffff008a7777c
0xfffffff008a77700: 18170091  add	x24, x24, #5
0xfffffff008a77704: e00316aa  mov	x0, x22
0xfffffff008a77708: 178400f8  str	x23, [x0], #8
0xfffffff008a7770c: 810e0091  add	x1, x20, #3
0xfffffff008a77710: e20317aa  mov	x2, x23
0xfffffff008a77714: 9f54cb97  bl	#0xfffffff007d4c990
0xfffffff008a77718: 700240f9  ldr	x16, [x19]
0xfffffff008a7771c: f10313aa  mov	x17, x19
0xfffffff008a77720: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a77724: 301ac1da  autda	x16, x17
0xfffffff008a77728: f10310aa  mov	x17, x16
0xfffffff008a7772c: f147c1da  xpacd	x17
0xfffffff008a77730: 1f0211eb  cmp	x16, x17
0xfffffff008a77734: 40000054  b.eq	#0xfffffff008a7773c
0xfffffff008a77738: 408e38d4  brk	#0xc472
0xfffffff008a7773c: 08c21091  add	x8, x16, #0x430
0xfffffff008a77740: 091a42f9  ldr	x9, [x16, #0x430]
0xfffffff008a77744: 4a809052  mov	w10, #0x8402
0xfffffff008a77748: ea7fbc72  movk	w10, #0xe3ff, lsl #16
0xfffffff008a7774c: 41050051  sub	w1, w10, #1
0xfffffff008a77750: e00313aa  mov	x0, x19
0xfffffff008a77754: e20316aa  mov	x2, x22
0xfffffff008a77758: e30318aa  mov	x3, x24
0xfffffff008a7775c: f10308aa  mov	x17, x8
0xfffffff008a77760: 9178ecf2  movk	x17, #0x63c4, lsl #48
0xfffffff008a77764: 31093fd7  blraa	x9, x17
