; Candidate 10211
; ADRP+ADD at VM 0xfffffff008cc1dd0 (fileoff 0x1cbddd0): page=0x1fe69d000 add_imm=0xe28

0xfffffff008cc1d50: e134ffb0  adrp	x1, #0xfffffff00735e000
0xfffffff008cc1d54: 21043591  add	x1, x1, #0xd41
0xfffffff008cc1d58: e234ffb0  adrp	x2, #0xfffffff00735e000
0xfffffff008cc1d5c: 42503791  add	x2, x2, #0xdd4
0xfffffff008cc1d60: e00313aa  mov	x0, x19
0xfffffff008cc1d64: f10309aa  mov	x17, x9
0xfffffff008cc1d68: 9102e3f2  movk	x17, #0x1814, lsl #48
0xfffffff008cc1d6c: 11093fd7  blraa	x8, x17
0xfffffff008cc1d70: c80240b9  ldr	w8, [x22]
0xfffffff008cc1d74: 68dd2736  tbz	w8, #4, #0xfffffff008cc1920
0xfffffff008cc1d78: 09050012  and	w9, w8, #3
0xfffffff008cc1d7c: 29ddff34  cbz	w9, #0xfffffff008cc1920
0xfffffff008cc1d80: 48020036  tbz	w8, #0, #0xfffffff008cc1dc8
0xfffffff008cc1d84: 5349c897  bl	#0xfffffff007ed42d0
0xfffffff008cc1d88: ff4300f9  str	xzr, [sp, #0x80]
0xfffffff008cc1d8c: e1030291  add	x1, sp, #0x80
0xfffffff008cc1d90: ac4ac897  bl	#0xfffffff007ed4840
0xfffffff008cc1d94: e84340f9  ldr	x8, [sp, #0x80]
0xfffffff008cc1d98: 08fd43d3  lsr	x8, x8, #3
0xfffffff008cc1d9c: e9f99ed2  mov	x9, #0xf7cf
0xfffffff008cc1da0: 696abcf2  movk	x9, #0xe353, lsl #16
0xfffffff008cc1da4: a974d3f2  movk	x9, #0x9ba5, lsl #32
0xfffffff008cc1da8: 8918e4f2  movk	x9, #0x20c4, lsl #48
0xfffffff008cc1dac: 087dc99b  umulh	x8, x8, x9
0xfffffff008cc1db0: 08fd44d3  lsr	x8, x8, #4
0xfffffff008cc1db4: e84f00a9  stp	x8, x19, [sp]
0xfffffff008cc1db8: e034ffb0  adrp	x0, #0xfffffff00735e000
0xfffffff008cc1dbc: 00843791  add	x0, x0, #0xde1
0xfffffff008cc1dc0: e4b5de97  bl	#0xfffffff00846f550
0xfffffff008cc1dc4: c80240b9  ldr	w8, [x22]
0xfffffff008cc1dc8: c8da0f36  tbz	w8, #1, #0xfffffff008cc1920
0xfffffff008cc1dcc: f30300f9  str	x19, [sp]
0xfffffff008cc1dd0: e034ffb0  adrp	x0, #0xfffffff00735e000
0xfffffff008cc1dd4: 00a03891  add	x0, x0, #0xe28
0xfffffff008cc1dd8: d1feff17  b	#0xfffffff008cc191c
0xfffffff008cc1ddc: 9f2403d5  bti	j
0xfffffff008cc1de0: f6031baa  mov	x22, x27
0xfffffff008cc1de4: 090177f2  ands	x9, x8, #0x200
0xfffffff008cc1de8: f9179f1a  cset	w25, eq
0xfffffff008cc1dec: 48162837  tbnz	w8, #5, #0xfffffff008cc20b4
0xfffffff008cc1df0: 3f0100f1  cmp	x9, #0
0xfffffff008cc1df4: e8079f1a  cset	w8, ne
0xfffffff008cc1df8: 29fd49d3  lsr	x9, x9, #9
0xfffffff008cc1dfc: 350140d2  eor	x21, x9, #1
0xfffffff008cc1e00: d4010014  b	#0xfffffff008cc2550
0xfffffff008cc1e04: 9f2403d5  bti	j
0xfffffff008cc1e08: e80316aa  mov	x8, x22
0xfffffff008cc1e0c: f6031baa  mov	x22, x27
0xfffffff008cc1e10: 150080d2  mov	x21, #0
0xfffffff008cc1e14: 090140b9  ldr	w9, [x8]
0xfffffff008cc1e18: 39008052  mov	w25, #1
0xfffffff008cc1e1c: 89392036  tbz	w9, #4, #0xfffffff008cc254c
0xfffffff008cc1e20: e80315aa  mov	x8, x21
0xfffffff008cc1e24: 2a050012  and	w10, w9, #3
0xfffffff008cc1e28: 4a390034  cbz	w10, #0xfffffff008cc2550
0xfffffff008cc1e2c: 89020036  tbz	w9, #0, #0xfffffff008cc1e7c
0xfffffff008cc1e30: 2849c897  bl	#0xfffffff007ed42d0
0xfffffff008cc1e34: ff4300f9  str	xzr, [sp, #0x80]
0xfffffff008cc1e38: e1030291  add	x1, sp, #0x80
0xfffffff008cc1e3c: 814ac897  bl	#0xfffffff007ed4840
0xfffffff008cc1e40: e84340f9  ldr	x8, [sp, #0x80]
0xfffffff008cc1e44: 08fd43d3  lsr	x8, x8, #3
0xfffffff008cc1e48: e9f99ed2  mov	x9, #0xf7cf
0xfffffff008cc1e4c: 696abcf2  movk	x9, #0xe353, lsl #16
