; Candidate 2365
; ADRP+ADD at VM 0xfffffff00862ab10 (fileoff 0x1626b10): page=0x1feae2000 add_imm=0xe29

0xfffffff00862aa90: c0e5ffb4  cbz	x0, #0xfffffff00862a748
0xfffffff00862aa94: 100040f9  ldr	x16, [x0]
0xfffffff00862aa98: f10300aa  mov	x17, x0
0xfffffff00862aa9c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00862aaa0: 301ac1da  autda	x16, x17
0xfffffff00862aaa4: 11cd80d2  mov	x17, #0x668
0xfffffff00862aaa8: 1002118b  add	x16, x16, x17
0xfffffff00862aaac: 080240f9  ldr	x8, [x16]
0xfffffff00862aab0: e90310aa  mov	x9, x16
0xfffffff00862aab4: e10314aa  mov	x1, x20
0xfffffff00862aab8: f10309aa  mov	x17, x9
0xfffffff00862aabc: b1d0e1f2  movk	x17, #0xe85, lsl #48
0xfffffff00862aac0: 11093fd7  blraa	x8, x17
0xfffffff00862aac4: 20e4ff34  cbz	w0, #0xfffffff00862a748
0xfffffff00862aac8: e01300f9  str	x0, [sp, #0x20]
0xfffffff00862aacc: 0857ffd0  adrp	x8, #0xfffffff00710c000
0xfffffff00862aad0: 08392f91  add	x8, x8, #0xbce
0xfffffff00862aad4: 69738052  mov	w9, #0x39b
0xfffffff00862aad8: 0a57ffd0  adrp	x10, #0xfffffff00710c000
0xfffffff00862aadc: 4ad10291  add	x10, x10, #0xb4
0xfffffff00862aae0: 0b57ffd0  adrp	x11, #0xfffffff00710c000
0xfffffff00862aae4: 6bdd3791  add	x11, x11, #0xdf7
0xfffffff00862aae8: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff00862aaec: eb2b00a9  stp	x11, x10, [sp]
0xfffffff00862aaf0: e056ffd0  adrp	x0, #0xfffffff007108000
0xfffffff00862aaf4: 00d01491  add	x0, x0, #0x534
0xfffffff00862aaf8: 13ffff17  b	#0xfffffff00862a744
0xfffffff00862aafc: 0857ffd0  adrp	x8, #0xfffffff00710c000
0xfffffff00862ab00: 08392f91  add	x8, x8, #0xbce
0xfffffff00862ab04: 4957ffd0  adrp	x9, #0xfffffff007114000
0xfffffff00862ab08: 29d51d91  add	x9, x9, #0x775
0xfffffff00862ab0c: e92300a9  stp	x9, x8, [sp]
0xfffffff00862ab10: 0057ffd0  adrp	x0, #0xfffffff00710c000
0xfffffff00862ab14: 00a43891  add	x0, x0, #0xe29
0xfffffff00862ab18: 0bffff17  b	#0xfffffff00862a744
0xfffffff00862ab1c: 0c000000  udf	#0xc
0xfffffff00862ab20: 74000000  udf	#0x74
0xfffffff00862ab24: b8000000  udf	#0xb8
0xfffffff00862ab28: 14010000  udf	#0x114
0xfffffff00862ab2c: 3c010000  udf	#0x13c
0xfffffff00862ab30: 7f2303d5  pacibsp	
0xfffffff00862ab34: ffc300d1  sub	sp, sp, #0x30
0xfffffff00862ab38: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff00862ab3c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00862ab40: fd830091  add	x29, sp, #0x20
0xfffffff00862ab44: f30300aa  mov	x19, x0
0xfffffff00862ab48: a8430091  add	x8, x29, #0x10
0xfffffff00862ab4c: e80700f9  str	x8, [sp, #8]
0xfffffff00862ab50: f37d0094  bl	#0xfffffff00864a31c
0xfffffff00862ab54: e20740f9  ldr	x2, [sp, #8]
0xfffffff00862ab58: 40008052  mov	w0, #2
0xfffffff00862ab5c: e10313aa  mov	x1, x19
0xfffffff00862ab60: fa7d0094  bl	#0xfffffff00864a348
0xfffffff00862ab64: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff00862ab68: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff00862ab6c: ffc30091  add	sp, sp, #0x30
0xfffffff00862ab70: ff0f5fd6  retab	
0xfffffff00862ab74: 7f2303d5  pacibsp	
0xfffffff00862ab78: ff8300d1  sub	sp, sp, #0x20
0xfffffff00862ab7c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00862ab80: fd430091  add	x29, sp, #0x10
0xfffffff00862ab84: a8430091  add	x8, x29, #0x10
0xfffffff00862ab88: e80700f9  str	x8, [sp, #8]
0xfffffff00862ab8c: e47d0094  bl	#0xfffffff00864a31c
